Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3),PM2.5 (ug/m^3),TSP (ug/m^3)
01/01/2015,00:00,78,3.6,8.1,0.8,23.6,80.9,0.0,968,11.7,3.9,23.2
01/01/2015,01:00,80,3.8,7.6,0.7,23.2,83.0,0.0,967,13.5,4.8,17.6
01/01/2015,02:00,80,3.1,11.5,0.7,22.8,84.1,0.0,967,15.0,5.2,21.1
01/01/2015,03:00,87,2.2,12.5,0.6,22.4,85.8,0.0,967,17.0,5.4,22.0
01/01/2015,04:00,86,2.3,15.6,0.5,22.1,87.0,0.0,968,15.3,5.5,26.3
01/01/2015,05:00,69,2.1,13.0,0.6,22.1,87.1,0.0,969,16.2,4.3,16.9
01/01/2015,06:00,61,3.8,11.8,1.3,23.9,79.9,0.0,969,17.4,3.6,21.3
01/01/2015,07:00,62,4.5,11.3,1.0,25.1,72.1,0.0,970,14.1,4.8,13.9
01/01/2015,08:00,49,5.0,13.9,1.1,26.7,63.0,0.0,970,13.2,3.8,18.8
01/01/2015,09:00,41,4.9,16.8,1.3,28.1,54.5,0.0,969,9.3,-0.5,8.3
01/01/2015,10:00,45,4.0,17.4,1.5,29.2,48.7,0.0,969,12.4,2.3,18.2
01/01/2015,11:00,42,3.3,24.3,1.0,29.9,46.1,0.0,969,12.2,1.8,15.5
01/01/2015,12:00,64,3.2,24.5,1.3,30.7,44.0,0.0,968,15.5,3.2,69.2
01/01/2015,13:00,85,4.1,19.8,1.4,31.2,40.3,0.0,967,22.6,9.6,25.6
01/01/2015,14:00,319,0.9,103.5,1.5,30.2,42.1,0.0,967,22.1,6.2,39.8
01/01/2015,15:00,72,3.3,44.0,2.2,30.5,42.6,0.0,967,23.1,4.8,40.3
01/01/2015,16:00,31,2.9,161.9,1.3,28.9,50.1,0.0,967,21.0,3.2,34.2
01/01/2015,17:00,35,3.3,20.2,1.0,26.7,58.1,0.0,967,20.7,7.5,26.9
01/01/2015,18:00,66,3.0,12.1,0.9,27.1,57.1,0.0,968,17.4,3.8,28.0
01/01/2015,19:00,81,3.7,8.7,0.8,26.2,63.5,0.0,968,15.9,2.4,35.6
01/01/2015,20:00,86,3.8,10.0,1.1,25.1,69.7,0.0,970,19.5,4.2,31.2
01/01/2015,21:00,95,3.7,9.8,0.9,24.2,74.1,0.0,970,19.5,2.8,29.2
01/01/2015,22:00,94,2.8,11.8,0.9,23.3,76.4,0.0,970,21.4,7.3,29.3
01/01/2015,23:00,71,2.9,8.0,0.6,22.4,79.2,0.0,970,15.4,2.6,14.0
02/01/2015,00:00,70,2.3,11.4,0.7,22.0,82.3,0.0,970,14.1,1.4,19.4
02/01/2015,01:00,78,1.7,13.2,0.6,21.4,84.9,0.0,970,18.4,2.0,17.8
02/01/2015,02:00,79,1.8,13.6,0.5,20.9,86.0,0.0,970,14.8,2.4,19.2
02/01/2015,03:00,128,0.2,103.9,0.4,20.7,86.8,0.0,970,15.9,3.1,23.7
02/01/2015,04:00,154,0.7,42.8,0.3,20.4,88.1,0.0,971,17.3,1.2,15.2
02/01/2015,05:00,98,1.3,25.9,0.5,20.1,88.5,0.0,971,14.0,1.0,20.3
02/01/2015,06:00,104,2.3,11.7,0.7,21.8,83.4,0.0,972,17.9,1.0,35.6
02/01/2015,07:00,69,3.6,13.1,0.9,23.8,73.5,0.0,973,17.2,2.7,15.1
02/01/2015,08:00,40,3.1,20.1,0.9,25.3,65.5,0.0,973,12.4,1.7,21.9
02/01/2015,09:00,35,3.4,16.1,1.1,26.7,56.5,0.0,973,16.0,2.8,13.0
02/01/2015,10:00,55,1.7,43.5,1.1,27.4,52.2,0.0,973,15.6,1.7,19.1
02/01/2015,11:00,55,1.5,66.4,1.3,28.8,45.2,0.0,972,17.4,4.3,9.0
02/01/2015,12:00,51,2.1,54.6,1.4,29.9,39.3,0.0,971,21.1,7.7,16.9
02/01/2015,13:00,51,4.8,24.3,1.8,29.9,42.3,0.0,970,21.0,7.1,38.1
02/01/2015,14:00,117,6.7,17.4,1.6,28.8,46.6,0.0,970,22.5,6.1,103.0
02/01/2015,15:00,99,7.9,12.0,2.2,27.2,55.9,0.0,970,36.9,4.4,145.1
02/01/2015,16:00,77,6.0,11.0,1.4,27.0,53.2,0.0,970,41.2,0.9,16.7
02/01/2015,17:00,72,6.1,10.3,1.5,26.6,54.6,0.0,970,15.5,3.3,30.5
02/01/2015,18:00,84,6.2,9.4,1.6,25.8,60.5,0.0,971,13.6,1.9,31.1
02/01/2015,19:00,82,5.9,10.9,1.4,24.7,67.6,0.0,972,14.8,1.1,21.7
02/01/2015,20:00,79,4.6,8.6,1.2,23.7,72.0,0.0,972,16.8,4.0,22.2
02/01/2015,21:00,72,4.6,8.2,1.2,23.5,73.1,0.0,973,15.1,2.6,17.4
02/01/2015,22:00,69,4.0,11.4,0.9,23.3,73.6,0.0,973,12.7,2.1,17.9
02/01/2015,23:00,74,3.1,13.7,0.8,22.9,75.8,0.0,973,15.6,1.7,22.0
03/01/2015,00:00,88,2.7,13.5,0.7,22.5,78.2,0.0,972,18.0,4.0,20.2
03/01/2015,01:00,83,2.6,8.8,0.6,22.3,79.8,0.0,972,17.1,3.0,14.1
03/01/2015,02:00,87,2.5,12.6,0.6,22.1,79.2,0.0,971,9.1,-0.1,20.1
03/01/2015,03:00,94,2.2,10.1,0.6,22.0,81.1,0.0,972,21.9,2.4,29.3
03/01/2015,04:00,83,2.6,9.7,0.7,22.0,81.4,0.0,972,17.5,3.3,17.0
03/01/2015,05:00,83,3.1,11.7,0.8,22.0,80.8,0.0,972,14.9,2.3,15.8
03/01/2015,06:00,100,2.7,19.2,0.9,22.4,78.9,0.0,973,14.6,2.0,15.6
03/01/2015,07:00,78,3.8,12.5,1.1,23.4,73.8,0.0,974,14.7,2.1,15.0
03/01/2015,08:00,72,3.7,15.2,1.0,24.2,69.2,0.0,974,13.5,2.0,12.2
03/01/2015,09:00,63,3.8,14.7,1.0,25.1,63.5,0.0,974,16.4,6.3,15.4
03/01/2015,10:00,72,4.3,17.5,1.2,26.1,56.3,0.0,974,20.3,5.8,19.9
03/01/2015,11:00,92,5.7,15.3,1.5,26.1,56.3,0.0,973,20.6,5.3,21.5
03/01/2015,12:00,76,7.1,13.1,1.6,26.2,55.7,0.0,973,15.0,-0.2,20.5
03/01/2015,13:00,77,8.0,10.4,1.8,25.2,55.7,0.0,973,12.1,0.1,
03/01/2015,14:00,72,7.1,13.3,1.5,26.2,49.8,0.0,972,12.8,1.8,17.9
03/01/2015,15:00,63,6.9,12.4,1.4,26.9,45.1,0.0,971,9.3,0.0,11.9
03/01/2015,16:00,50,7.1,8.4,1.4,26.1,47.0,0.0,971,13.6,0.5,50.7
03/01/2015,17:00,52,5.2,8.4,1.1,25.3,52.7,0.0,971,17.3,1.1,38.3
03/01/2015,18:00,63,3.8,11.4,0.9,24.4,62.3,0.0,972,16.3,1.7,33.7
03/01/2015,19:00,59,2.6,9.8,0.8,23.2,69.3,0.0,972,16.6,2.0,29.2
03/01/2015,20:00,72,2.5,9.1,0.7,22.2,74.4,0.0,973,18.5,2.4,33.7
03/01/2015,21:00,75,2.9,9.1,0.7,21.7,78.5,0.0,973,18.5,4.2,24.7
03/01/2015,22:00,80,2.5,12.4,0.7,21.3,81.8,0.0,973,17.6,3.4,22.8
03/01/2015,23:00,84,2.5,9.0,0.6,20.7,83.7,0.0,972,22.1,3.2,23.3
04/01/2015,00:00,93,1.7,23.1,0.5,20.0,85.2,0.0,972,25.4,6.3,26.3
04/01/2015,01:00,103,1.3,21.1,0.4,19.6,86.7,0.0,971,17.7,2.9,24.9
04/01/2015,02:00,95,1.0,33.1,0.5,19.1,89.2,0.0,971,24.5,1.5,30.5
04/01/2015,03:00,107,1.2,14.2,0.4,19.0,89.2,0.0,971,23.8,2.3,36.9
04/01/2015,04:00,87,0.9,12.3,0.2,18.7,89.4,0.0,972,24.4,4.8,34.8
04/01/2015,05:00,72,0.8,25.5,0.3,18.6,89.8,0.0,972,21.8,3.7,35.9
04/01/2015,06:00,101,2.2,13.3,0.9,20.6,84.7,0.0,972,29.4,2.1,35.4
04/01/2015,07:00,98,3.7,14.5,1.1,22.3,74.8,0.0,973,16.1,2.7,21.1
04/01/2015,08:00,81,3.8,17.8,1.0,23.3,67.7,0.0,973,22.4,5.0,24.1
04/01/2015,09:00,89,4.2,17.1,1.0,24.6,60.5,0.0,972,24.6,4.1,15.5
04/01/2015,10:00,91,4.0,20.7,1.3,25.8,54.3,0.0,972,22.7,1.8,26.7
04/01/2015,11:00,100,3.9,21.9,1.2,26.4,51.8,0.0,972,23.8,3.9,27.8
04/01/2015,12:00,114,3.4,25.2,1.3,27.3,46.4,0.0,971,24.5,4.6,34.7
04/01/2015,13:00,104,3.6,27.3,1.3,28.0,42.8,0.0,970,24.7,5.8,28.1
04/01/2015,14:00,108,3.8,22.1,1.3,28.3,41.3,0.0,969,21.8,3.9,13.1
04/01/2015,15:00,107,4.1,21.3,1.4,28.8,39.2,0.0,968,17.1,2.8,31.6
04/01/2015,16:00,97,5.0,13.1,1.3,28.4,41.2,0.0,968,19.1,4.8,27.6
04/01/2015,17:00,81,4.6,12.4,1.3,27.8,43.7,0.0,968,22.4,6.6,26.9
04/01/2015,18:00,71,4.4,8.5,1.1,26.7,49.0,0.0,969,14.9,3.6,31.0
04/01/2015,19:00,70,4.1,7.7,0.9,24.9,58.6,0.0,969,16.9,5.2,31.1
04/01/2015,20:00,77,4.0,8.1,0.9,23.6,62.8,0.0,970,18.3,5.3,22.8
04/01/2015,21:00,78,3.7,7.4,0.7,22.5,64.3,0.0,971,17.1,3.1,15.7
04/01/2015,22:00,82,3.5,7.8,0.7,21.6,69.8,0.0,971,12.2,3.0,19.3
04/01/2015,23:00,79,4.0,8.7,0.8,20.9,72.9,0.0,971,16.6,4.5,16.8
05/01/2015,00:00,80,2.5,9.0,0.7,20.2,77.1,0.0,970,18.7,4.3,16.5
05/01/2015,01:00,76,0.8,60.7,0.6,19.5,81.6,0.0,969,12.7,2.5,18.4
05/01/2015,02:00,77,0.6,44.4,0.4,18.6,85.2,0.0,969,20.5,1.8,21.7
05/01/2015,03:00,118,0.7,30.8,0.3,18.6,86.4,0.0,969,25.0,2.6,52.3
05/01/2015,04:00,82,0.7,29.5,0.3,18.2,88.1,0.0,969,19.8,1.8,27.1
05/01/2015,05:00,120,0.9,31.6,0.4,18.2,89.1,0.0,970,21.4,2.8,42.2
05/01/2015,06:00,128,2.0,18.4,0.7,20.0,82.9,0.0,971,27.8,6.0,39.7
05/01/2015,07:00,110,4.0,11.9,1.1,21.6,75.9,0.0,971,23.9,5.4,27.9
05/01/2015,08:00,99,4.2,17.0,1.1,22.9,67.9,0.0,971,19.0,3.4,21.4
05/01/2015,09:00,94,3.9,17.4,1.2,24.3,60.5,0.0,971,8.8,5.3,25.0
05/01/2015,10:00,85,3.2,25.4,1.1,25.6,53.4,0.0,971,19.7,3.6,16.7
05/01/2015,11:00,94,3.0,24.4,1.2,26.4,50.3,0.0,970,13.8,1.4,23.1
05/01/2015,12:00,103,3.8,24.9,1.4,26.9,50.9,0.0,969,16.4,-1.0,64.1
05/01/2015,13:00,85,5.6,18.0,1.4,26.4,55.4,0.0,969,38.7,6.7,40.5
