Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (ug/m^3)
01/01/2015,00:00,94,0.6,46.4,0.3,23.8,9.2
01/01/2015,01:00,93,0.6,36.1,0.3,23.1,6.6
01/01/2015,02:00,139,0.5,80.4,0.5,22.8,7.2
01/01/2015,03:00,181,1.0,20.7,0.5,22.4,9.1
01/01/2015,04:00,180,0.7,28.5,0.4,22.2,12.7
01/01/2015,05:00,159,0.6,34.9,0.3,21.9,16.9
01/01/2015,06:00,111,1.0,23.7,0.5,24.6,20.1
01/01/2015,07:00,95,1.9,25.0,0.9,27.7,12.2
01/01/2015,08:00,74,2.2,29.1,0.9,30.0,6.5
01/01/2015,09:00,92,2.6,30.5,1.2,30.7,7.2
01/01/2015,10:00,84,2.7,32.1,1.2,32.1,6.4
01/01/2015,11:00,100,3.0,30.0,1.3,33.2,10.3
01/01/2015,12:00,103,3.4,24.7,1.4,33.5,8.5
01/01/2015,13:00,98,3.3,26.8,1.4,34.4,7.4
01/01/2015,14:00,88,3.4,31.5,1.4,35.6,6.0
01/01/2015,15:00,92,3.4,22.7,1.6,35.0,7.0
01/01/2015,16:00,77,3.9,20.8,1.5,33.9,12.6
01/01/2015,17:00,71,3.4,19.9,1.3,32.8,8.6
01/01/2015,18:00,65,3.5,18.2,1.3,30.6,11.4
01/01/2015,19:00,66,2.9,17.5,1.2,28.5,10.6
01/01/2015,20:00,70,2.6,16.6,1.1,27.2,11.6
01/01/2015,21:00,78,2.0,17.5,0.7,26.2,8.9
01/01/2015,22:00,67,1.8,17.8,0.7,25.3,9.7
01/01/2015,23:00,77,1.6,19.5,0.9,24.6,7.4
02/01/2015,00:00,108,0.9,30.0,0.4,23.6,8.2
02/01/2015,01:00,107,1.1,15.0,0.4,23.0,7.4
02/01/2015,02:00,136,1.0,22.7,0.3,22.6,12.4
02/01/2015,03:00,158,1.5,12.1,0.4,22.2,16.7
02/01/2015,04:00,147,1.9,16.0,0.5,21.8,8.6
02/01/2015,05:00,136,2.0,11.3,0.4,21.6,8.7
02/01/2015,06:00,137,2.3,12.7,0.8,23.0,9.7
02/01/2015,07:00,123,2.7,17.2,0.9,25.5,10.7
02/01/2015,08:00,120,2.7,25.5,1.1,28.2,10.5
02/01/2015,09:00,118,3.1,23.6,1.2,29.8,12.0
02/01/2015,10:00,106,3.3,24.0,1.2,31.1,13.8
02/01/2015,11:00,98,3.3,26.4,1.2,32.3,12.4
02/01/2015,12:00,95,3.5,25.4,1.3,32.9,8.1
02/01/2015,13:00,89,2.9,27.6,1.3,31.8,8.5
02/01/2015,14:00,97,3.4,31.2,1.6,33.5,12.6
02/01/2015,15:00,107,2.2,54.3,1.5,29.2,8.1
02/01/2015,16:00,115,3.1,20.3,2.0,26.2,10.3
02/01/2015,17:00,70,3.2,19.5,1.3,28.5,5.2
02/01/2015,18:00,66,3.4,17.4,1.2,28.6,16.4
02/01/2015,19:00,64,2.7,19.8,1.0,26.7,11.1
