Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm)
01/01/2015,00:00,199,1.6,26.9,0.4,,,,
01/01/2015,01:00,261,1.7,33.7,0.7,0.023,0.000,0.001,0.001
01/01/2015,02:00,235,1.4,19.2,0.3,0.024,0.000,0.001,0.001
01/01/2015,03:00,133,2.1,11.0,0.5,0.018,0.000,0.002,0.002
01/01/2015,04:00,179,1.4,35.0,0.4,0.015,0.000,0.003,0.003
01/01/2015,05:00,170,1.2,39.4,0.4,0.013,0.000,0.003,0.003
01/01/2015,06:00,152,1.3,28.7,0.4,0.015,0.001,0.000,0.001
01/01/2015,07:00,87,0.9,49.2,0.5,0.016,0.001,0.000,0.001
01/01/2015,08:00,53,1.3,33.1,0.6,0.017,0.000,0.001,0.001
01/01/2015,09:00,75,1.2,46.3,0.7,0.019,0.000,0.001,0.001
01/01/2015,10:00,87,2.1,31.9,1.1,0.021,0.001,0.000,0.001
01/01/2015,11:00,35,1.9,149.6,0.9,0.022,0.001,0.000,0.001
01/01/2015,12:00,16,2.7,18.2,0.9,0.025,0.001,0.000,0.001
01/01/2015,13:00,34,2.5,25.9,0.9,0.030,0.000,0.001,0.001
01/01/2015,14:00,53,3.0,20.3,0.9,0.036,0.001,0.001,0.002
01/01/2015,15:00,29,3.6,15.1,1.0,0.032,0.000,0.002,0.002
01/01/2015,16:00,40,4.6,13.2,1.3,0.026,0.001,0.001,0.002
01/01/2015,17:00,35,4.6,12.6,1.2,0.020,0.001,0.001,0.002
01/01/2015,18:00,37,3.9,14.7,1.2,0.014,0.001,0.001,0.002
01/01/2015,19:00,47,3.1,13.2,0.8,0.011,0.001,0.002,0.003
01/01/2015,20:00,88,2.0,14.2,0.4,0.008,0.002,0.002,0.004
01/01/2015,21:00,77,2.1,10.7,0.5,0.008,0.002,0.002,0.004
01/01/2015,22:00,101,1.4,19.2,0.3,0.006,0.003,0.003,0.006
01/01/2015,23:00,137,1.4,18.6,0.4,0.003,0.003,0.005,0.008
02/01/2015,00:00,146,1.7,9.6,0.4,,,,
02/01/2015,01:00,197,1.1,23.5,0.3,0.004,0.001,0.002,0.003
02/01/2015,02:00,201,1.5,15.3,0.3,0.005,0.001,0.002,0.003
02/01/2015,03:00,164,1.6,16.9,0.5,0.004,0.001,0.003,0.004
02/01/2015,04:00,184,1.5,12.2,0.3,0.004,0.001,0.002,0.003
02/01/2015,05:00,180,1.7,14.4,0.5,0.004,0.001,0.002,0.003
02/01/2015,06:00,161,1.7,20.3,0.4,0.005,0.002,0.001,0.003
02/01/2015,07:00,109,0.6,138.5,0.8,0.008,0.001,0.001,0.002
02/01/2015,08:00,2,0.9,153.6,0.7,0.012,0.001,0.001,0.002
02/01/2015,09:00,37,1.2,45.4,0.7,0.017,0.001,0.001,0.002
02/01/2015,10:00,113,2.2,38.8,1.5,0.023,0.001,0.001,0.002
02/01/2015,11:00,126,2.6,27.4,1.0,0.025,0.001,0.001,0.002
02/01/2015,12:00,111,4.2,20.2,1.3,0.025,0.001,0.001,0.002
02/01/2015,13:00,81,3.9,28.9,1.3,0.025,0.001,0.001,0.002
02/01/2015,14:00,9,3.1,166.9,1.0,0.021,0.001,0.002,0.003
02/01/2015,15:00,36,3.7,12.0,1.0,0.016,0.001,0.002,0.003
02/01/2015,16:00,52,3.8,13.2,1.0,0.014,0.001,0.001,0.002
02/01/2015,17:00,63,3.7,14.2,1.1,0.015,0.001,0.001,0.002
02/01/2015,18:00,80,3.3,13.5,1.1,0.012,0.001,0.001,0.002
02/01/2015,19:00,90,2.1,11.9,0.5,0.009,0.002,0.001,0.003
02/01/2015,20:00,88,1.5,13.9,0.5,0.008,0.001,0.002,0.003
02/01/2015,21:00,114,1.3,23.4,0.4,0.006,0.002,0.002,0.004
02/01/2015,22:00,145,1.9,9.5,0.5,0.006,0.002,0.003,0.005
02/01/2015,23:00,136,1.9,12.3,0.4,0.007,0.001,0.002,0.003
03/01/2015,00:00,143,1.9,10.8,0.3,,,,
03/01/2015,01:00,156,2.3,6.3,0.3,0.004,0.001,0.002,0.003
03/01/2015,02:00,149,2.2,6.6,0.3,0.004,0.001,0.002,0.003
03/01/2015,03:00,150,2.2,7.1,0.3,0.005,0.001,0.002,0.003
03/01/2015,04:00,167,1.4,27.1,0.6,0.004,0.001,0.003,0.004
03/01/2015,05:00,147,2.6,8.9,0.5,0.005,0.001,0.002,0.003
03/01/2015,06:00,127,2.9,11.1,0.6,0.007,0.001,0.002,0.003
03/01/2015,07:00,110,3.0,11.3,0.7,0.010,0.001,0.001,0.002
03/01/2015,08:00,86,3.3,18.6,0.8,0.012,0.001,0.001,0.002
03/01/2015,09:00,34,1.9,134.8,0.9,0.015,0.001,0.000,0.001
03/01/2015,10:00,349,2.0,27.2,0.8,0.020,0.001,0.001,0.002
03/01/2015,11:00,8,1.9,177.2,1.3,0.022,0.001,0.000,0.001
03/01/2015,12:00,354,2.9,161.4,1.0,0.024,0.001,0.001,0.002
