Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm)
01/01/2015,00:00,44,0.1,98.2,0.3,25.1,83.4,0.0,1009,,,,
01/01/2015,01:00,272,0.3,110.9,0.4,24.5,87.0,0.0,1009,0.009,0.000,0.005,0.005
01/01/2015,02:00,117,1.5,49.9,1.3,23.8,84.5,0.0,1009,0.016,0.000,0.003,0.003
01/01/2015,03:00,80,1.0,32.9,0.4,23.1,83.6,0.0,1009,0.023,0.000,0.000,0.000
01/01/2015,04:00,56,0.2,112.1,0.3,22.5,87.3,0.0,1010,0.018,0.000,0.002,0.002
01/01/2015,05:00,286,0.5,51.6,0.3,22.4,88.4,0.0,1010,0.013,0.000,0.003,0.003
01/01/2015,06:00,220,0.6,36.8,0.3,23.8,83.4,0.0,1011,0.018,0.000,0.002,0.002
01/01/2015,07:00,80,1.5,40.7,1.0,26.3,77.1,0.0,1011,0.017,0.000,0.001,0.001
01/01/2015,08:00,76,2.6,21.2,0.9,27.5,72.5,0.0,1011,0.016,0.000,0.000,0.000
01/01/2015,09:00,65,2.4,26.3,1.1,28.5,67.3,0.0,1011,0.019,0.000,0.000,0.000
01/01/2015,10:00,59,2.3,35.3,1.3,29.7,58.7,0.0,1011,0.023,0.000,0.000,0.000
01/01/2015,11:00,52,0.4,102.3,1.1,29.3,61.4,0.0,1011,0.025,0.000,0.001,0.001
01/01/2015,12:00,75,2.3,45.2,1.4,29.8,58.0,0.0,1010,0.024,0.000,0.000,0.000
01/01/2015,13:00,69,2.6,31.9,1.2,30.7,52.4,0.0,1009,0.025,0.000,0.000,0.000
01/01/2015,14:00,72,3.8,24.8,1.3,31.0,52.9,0.0,1009,0.024,0.000,0.000,0.000
01/01/2015,15:00,78,4.1,18.0,1.4,30.5,56.6,0.0,1008,0.019,0.000,0.000,0.000
01/01/2015,16:00,77,4.9,13.3,1.3,29.5,60.2,0.0,1008,0.017,0.000,0.000,0.000
01/01/2015,17:00,79,4.4,10.3,1.1,28.6,62.0,0.0,1009,0.015,0.000,0.000,0.000
01/01/2015,18:00,74,3.9,11.8,0.9,27.5,67.5,0.0,1010,0.013,0.000,0.000,0.000
01/01/2015,19:00,86,2.3,13.1,0.9,26.1,75.3,0.0,1011,0.009,0.000,0.001,0.001
01/01/2015,20:00,92,1.5,14.5,0.5,25.4,78.7,0.0,1012,0.008,0.000,0.001,0.001
01/01/2015,21:00,84,1.5,16.1,0.6,24.9,81.7,0.0,1012,0.007,0.000,0.001,0.001
01/01/2015,22:00,140,0.3,55.1,0.4,24.0,85.1,0.0,1012,0.004,0.001,0.003,0.003
01/01/2015,23:00,185,0.1,92.9,0.3,23.0,89.3,0.0,1012,0.002,0.001,0.003,0.004
02/01/2015,00:00,209,0.2,104.8,0.4,22.7,90.5,0.0,1012,,,,
02/01/2015,01:00,298,0.6,41.5,0.4,22.2,91.3,0.0,1011,0.001,0.004,0.004,0.008
02/01/2015,02:00,220,0.5,36.2,0.3,22.1,92.0,0.0,1011,0.001,0.006,0.002,0.008
02/01/2015,03:00,232,0.5,14.3,0.2,22.1,92.3,0.0,1011,0.001,0.007,0.002,0.009
02/01/2015,04:00,270,0.7,25.7,0.3,21.8,92.6,0.0,1012,0.001,0.008,0.002,0.010
02/01/2015,05:00,222,0.8,17.6,0.2,22.0,93.0,0.0,1013,0.002,0.008,0.001,0.009
02/01/2015,06:00,239,0.4,73.5,0.4,23.7,90.2,0.0,1013,0.003,0.004,0.002,0.006
02/01/2015,07:00,74,1.4,29.5,0.9,26.4,75.6,0.0,1014,0.009,0.001,0.001,0.002
02/01/2015,08:00,38,1.1,46.1,0.7,27.2,67.6,0.0,1014,0.013,0.000,0.000,0.000
02/01/2015,09:00,68,1.4,50.0,0.9,28.5,62.3,0.0,1014,0.017,0.000,0.000,0.000
02/01/2015,10:00,79,3.5,20.6,1.3,29.2,56.8,0.0,1014,0.021,0.000,0.000,0.000
02/01/2015,11:00,82,4.1,15.3,1.2,29.1,55.9,0.0,1014,0.020,0.000,0.000,0.000
02/01/2015,12:00,79,4.2,15.3,1.5,29.2,53.9,0.0,1013,0.022,0.000,0.000,0.000
02/01/2015,13:00,78,5.0,17.3,1.5,29.3,58.6,0.0,1012,0.017,0.000,0.000,0.000
02/01/2015,14:00,77,5.1,14.8,1.4,29.0,57.7,0.0,1012,0.017,0.000,0.000,0.000
02/01/2015,15:00,72,4.5,11.7,1.1,28.0,62.0,0.0,1012,0.015,0.000,0.000,0.000
02/01/2015,16:00,84,4.6,11.3,1.3,27.4,65.6,0.0,1012,0.016,0.000,0.000,0.000
02/01/2015,17:00,80,4.5,10.5,1.0,26.8,66.6,0.0,1013,0.013,0.000,0.000,0.000
02/01/2015,18:00,83,3.2,9.5,0.9,26.3,69.7,0.0,1014,0.012,0.000,0.000,0.000
02/01/2015,19:00,87,2.0,10.2,0.5,25.4,74.9,0.0,1014,0.010,0.000,0.000,0.000
02/01/2015,20:00,95,0.8,16.6,0.4,24.7,79.4,0.0,1015,0.007,0.000,0.001,0.001
02/01/2015,21:00,97,0.6,31.6,0.4,24.1,82.6,0.0,1015,0.005,0.000,0.002,0.002
02/01/2015,22:00,129,0.1,81.2,0.1,23.6,84.7,0.0,1015,0.004,0.000,0.003,0.003
02/01/2015,23:00,250,0.3,61.0,0.2,23.3,86.5,0.0,1015,0.002,0.001,0.004,0.005
03/01/2015,00:00,227,0.3,69.5,0.3,22.8,88.5,0.0,1014,,,,
03/01/2015,01:00,243,0.6,20.8,0.2,22.6,90.2,0.0,1013,0.001,0.004,0.003,0.007
03/01/2015,02:00,246,0.5,33.9,0.2,22.3,91.0,0.0,1013,0.001,0.005,0.004,0.009
03/01/2015,03:00,258,0.6,30.4,0.3,22.2,91.6,0.0,1013,0.001,0.006,0.003,0.009
03/01/2015,04:00,236,0.4,51.4,0.3,22.3,91.8,0.0,1014,0.001,0.005,0.003,0.008
03/01/2015,05:00,234,1.0,36.5,0.5,22.5,91.3,0.0,1014,0.001,0.005,0.002,0.007
03/01/2015,06:00,194,0.6,59.0,0.5,23.6,87.7,0.0,1015,0.004,0.002,0.002,0.004
03/01/2015,07:00,121,1.2,29.4,0.6,25.3,79.2,0.0,1015,0.009,0.000,0.001,0.001
03/01/2015,08:00,78,3.4,16.4,1.2,26.2,72.9,0.0,1015,0.013,0.000,0.001,0.001
03/01/2015,09:00,85,3.5,19.2,1.5,26.9,67.7,0.0,1015,0.017,0.000,0.000,0.000
03/01/2015,10:00,86,3.4,19.4,1.2,27.8,62.2,0.0,1015,0.019,0.000,0.000,0.000
03/01/2015,11:00,83,4.1,17.1,1.4,28.2,59.2,0.0,1015,0.021,0.000,0.000,0.000
03/01/2015,12:00,74,4.4,17.5,1.3,28.7,56.5,0.0,1014,0.021,0.000,0.000,0.000
03/01/2015,13:00,72,3.6,19.3,1.3,28.7,54.9,0.0,1014,0.022,0.000,0.000,0.000
03/01/2015,14:00,80,3.9,17.0,1.4,29.2,52.3,0.0,1013,0.023,0.000,0.000,0.000
03/01/2015,15:00,79,3.9,15.2,1.1,29.0,52.5,0.0,1013,0.022,0.000,0.000,0.000
03/01/2015,16:00,84,4.2,15.1,1.5,28.4,54.4,0.0,1013,0.022,0.000,0.000,0.000
03/01/2015,17:00,89,3.5,12.0,1.3,26.8,62.4,0.0,1013,0.019,0.000,0.000,0.000
03/01/2015,18:00,88,2.8,12.6,0.9,25.9,66.6,0.0,1014,0.017,0.000,0.000,0.000
03/01/2015,19:00,85,2.1,9.1,0.4,24.9,73.5,0.0,1014,0.015,0.000,0.001,0.001
03/01/2015,20:00,83,1.0,33.7,0.6,24.2,77.4,0.0,1015,0.012,0.000,0.001,0.001
03/01/2015,21:00,201,0.2,61.8,0.2,23.4,81.6,0.0,1015,0.007,0.000,0.002,0.002
03/01/2015,22:00,76,1.0,33.9,0.5,23.1,84.0,0.0,1015,0.009,0.000,0.002,0.002
