Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Sulfur Dioxide (ppm)
01/01/2015,00:00,39,2.7,7.3,0.6,26.3,86.1,0.6,,0.001
01/01/2015,01:00,50,2.5,8.6,1.5,25.8,86.4,0.0,,
01/01/2015,02:00,56,2.0,11.4,0.5,25.8,84.9,0.0,,0.001
01/01/2015,03:00,100,0.7,42.9,0.4,25.5,84.1,0.0,,0.001
01/01/2015,04:00,173,1.2,14.2,0.4,23.7,92.8,0.0,,0.001
01/01/2015,05:00,207,1.4,8.7,0.2,21.6,97.2,0.0,,0.001
01/01/2015,06:00,194,1.2,12.1,0.2,23.5,92.4,0.0,,0.001
01/01/2015,07:00,113,1.7,38.2,0.9,27.7,75.3,0.0,,0.001
01/01/2015,08:00,72,2.8,21.2,0.8,28.7,70.9,0.0,,0.001
01/01/2015,09:00,140,2.3,48.7,1.3,26.7,82.1,0.8,,0.001
01/01/2015,10:00,95,1.3,67.8,1.0,25.7,87.0,0.2,,0.001
01/01/2015,11:00,110,3.2,19.2,1.4,27.6,77.8,0.4,,0.001
01/01/2015,12:00,114,5.1,10.1,0.9,28.3,73.7,0.0,,0.001
01/01/2015,13:00,110,5.5,11.6,0.9,28.6,69.7,0.0,,0.001
01/01/2015,14:00,88,5.3,12.6,1.2,29.3,66.2,0.0,,0.001
01/01/2015,15:00,96,4.8,10.7,1.1,29.3,61.9,0.0,,0.001
01/01/2015,16:00,95,4.6,10.2,0.8,28.9,63.8,0.0,,0.001
01/01/2015,17:00,100,4.6,9.7,0.9,28.5,67.7,0.0,,0.001
01/01/2015,18:00,108,5.1,8.5,1.0,27.6,73.0,0.0,,0.001
01/01/2015,19:00,107,4.1,8.8,0.9,27.0,78.7,0.0,,0.001
01/01/2015,20:00,112,3.3,9.5,0.8,26.5,81.8,0.0,,0.001
01/01/2015,21:00,121,2.9,7.9,0.6,26.2,81.3,0.0,,0.001
01/01/2015,22:00,122,2.2,9.4,0.5,25.7,83.5,0.0,,0.001
01/01/2015,23:00,145,1.3,22.9,0.4,25.1,86.3,0.0,,0.001
02/01/2015,00:00,183,1.6,13.9,0.4,23.5,93.0,0.0,,0.001
02/01/2015,01:00,183,2.4,7.8,0.5,,,0.0,,
02/01/2015,02:00,180,1.7,23.0,0.5,,,0.2,,0.001
02/01/2015,03:00,177,1.9,10.3,0.4,,,0.0,,0.001
02/01/2015,04:00,196,2.2,7.2,0.5,,,0.0,,0.001
02/01/2015,05:00,129,1.1,57.1,0.9,,,0.2,,0.001
02/01/2015,06:00,230,0.7,94.4,0.7,,,0.2,,0.001
02/01/2015,07:00,184,2.2,24.3,0.7,,,0.0,,0.001
02/01/2015,08:00,108,3.4,32.4,1.7,,,0.0,,0.001
02/01/2015,09:00,76,3.1,20.7,0.9,,,0.0,,0.001
02/01/2015,10:00,111,3.5,24.3,2.2,,,1.6,,0.001
02/01/2015,11:00,125,4.7,12.0,1.0,,,0.0,,0.001
02/01/2015,12:00,94,3.6,26.0,1.1,,,0.0,,0.001
02/01/2015,13:00,82,4.2,24.3,1.2,,,0.0,,0.001
02/01/2015,14:00,89,4.8,20.8,1.3,,,0.0,,0.001
02/01/2015,15:00,110,6.6,13.2,1.3,,,0.0,,0.001
02/01/2015,16:00,100,6.6,11.3,1.2,,,0.0,,0.001
02/01/2015,17:00,108,5.3,10.9,1.1,,,0.0,,0.001
02/01/2015,18:00,117,4.0,8.5,0.8,,,0.0,,0.001
02/01/2015,19:00,120,2.8,7.7,0.7,,,0.0,,0.001
02/01/2015,20:00,168,2.8,21.3,0.8,,,0.0,,0.001
02/01/2015,21:00,164,2.5,55.2,1.9,,,4.0,,0.001
02/01/2015,22:00,171,0.9,49.0,0.7,,,1.2,,0.001
02/01/2015,23:00,175,1.4,19.6,0.5,,,0.0,,0.001
03/01/2015,00:00,150,2.1,16.4,0.6,,,0.0,,0.001
03/01/2015,01:00,155,2.9,8.9,0.6,,,0.0,,
03/01/2015,02:00,165,2.6,14.0,0.6,,,0.2,,0.001
03/01/2015,03:00,175,2.7,9.6,0.4,,,0.0,,0.001
03/01/2015,04:00,185,2.4,10.7,0.4,,,0.0,,0.001
