Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Sulfur Dioxide (ppm),PM10 (ug/m^3)
01/01/2015,00:00,,,,,31.7,,6.5
01/01/2015,01:00,,,,,32.1,0.001,11.7
01/01/2015,02:00,,,,,31.2,0.001,35.3
01/01/2015,03:00,,,,,30.5,0.002,26.1
01/01/2015,04:00,,,,,29.7,0.004,21.8
01/01/2015,05:00,,,,,29.4,0.021,41.4
01/01/2015,06:00,,,,,29.0,0.002,10.6
01/01/2015,07:00,,,,,29.8,0.002,6.3
01/01/2015,08:00,,,,,32.1,0.002,
01/01/2015,09:00,,,,,35.2,0.001,
01/01/2015,10:00,,,,,35.9,0.001,8.3
01/01/2015,11:00,,,,,38.5,0.001,7.9
01/01/2015,12:00,,,,,38.2,0.001,7.5
01/01/2015,13:00,,,,,40.0,0.000,6.0
01/01/2015,14:00,,,,,41.0,0.003,9.0
01/01/2015,15:00,,,,,42.2,0.004,8.9
01/01/2015,16:00,,,,,41.2,0.042,14.7
01/01/2015,17:00,,,,,40.3,0.024,16.9
01/01/2015,18:00,,,,,37.6,0.008,22.9
01/01/2015,19:00,,,,,34.9,0.002,108.6
01/01/2015,20:00,,,,,30.8,0.001,26.5
01/01/2015,21:00,,,,,29.9,0.001,10.7
01/01/2015,22:00,,,,,29.3,0.001,9.4
01/01/2015,23:00,,,,,29.0,0.001,6.9
02/01/2015,00:00,,,,,28.7,,14.0
02/01/2015,01:00,,,,,28.7,0.001,14.1
02/01/2015,02:00,,,,,29.0,0.001,6.7
02/01/2015,03:00,,,,,28.7,0.001,3.9
02/01/2015,04:00,,,,,28.7,0.001,6.6
02/01/2015,05:00,,,,,28.3,0.001,5.6
02/01/2015,06:00,,,,,28.4,0.001,12.9
02/01/2015,07:00,,,,,28.6,0.001,20.2
02/01/2015,08:00,,,,,31.0,0.001,14.7
02/01/2015,09:00,,,,,32.7,0.001,9.6
02/01/2015,10:00,,,,,35.3,0.001,8.5
02/01/2015,11:00,,,,,37.3,0.001,6.9
02/01/2015,12:00,,,,,38.0,0.001,
02/01/2015,13:00,,,,,37.7,0.001,10.3
02/01/2015,14:00,,,,,35.6,0.001,48.2
02/01/2015,15:00,,,,,31.8,0.016,114.6
02/01/2015,16:00,,,,,32.3,0.070,61.7
02/01/2015,17:00,,,,,31.2,0.013,27.8
02/01/2015,18:00,,,,,29.4,0.005,14.9
02/01/2015,19:00,,,,,25.9,0.002,21.3
02/01/2015,20:00,,,,,25.0,0.001,14.0
02/01/2015,21:00,,,,,23.9,0.001,4.3
02/01/2015,22:00,,,,,23.9,0.001,6.2
02/01/2015,23:00,,,,,23.8,0.001,5.0
03/01/2015,00:00,,,,,23.9,,4.3
03/01/2015,01:00,,,,,24.0,0.001,2.2
03/01/2015,02:00,,,,,24.1,0.001,4.4
03/01/2015,03:00,,,,,24.2,0.001,7.7
03/01/2015,04:00,,,,,24.0,0.001,7.5
03/01/2015,05:00,,,,,23.4,0.001,3.4
03/01/2015,06:00,,,,,23.0,0.001,7.3
03/01/2015,07:00,,,,,23.9,0.001,9.6
03/01/2015,08:00,,,,,25.0,0.001,11.5
03/01/2015,09:00,,,,,25.7,0.001,
03/01/2015,10:00,,,,,28.1,0.001,9.1
03/01/2015,11:00,,,,,29.9,0.001,7.0
03/01/2015,12:00,,,,,33.5,0.001,2.8
03/01/2015,13:00,,,,,35.8,0.001,
03/01/2015,14:00,,,,,36.8,0.001,
03/01/2015,15:00,,,,,37.1,0.001,3.1
03/01/2015,16:00,,,,,36.9,0.001,
03/01/2015,17:00,,,,,37.0,0.001,4.4
03/01/2015,18:00,,,,,36.1,0.001,6.1
03/01/2015,19:00,,,,,31.6,0.001,7.2
03/01/2015,20:00,,,,,30.3,0.001,9.5
03/01/2015,21:00,,,,,29.6,0.001,9.0
03/01/2015,22:00,,,,,28.9,0.001,8.0
03/01/2015,23:00,,,,,28.5,0.001,5.8
04/01/2015,00:00,,,,,27.9,,5.0
04/01/2015,01:00,,,,,27.5,0.001,8.2
04/01/2015,02:00,,,,,27.1,0.001,8.8
04/01/2015,03:00,,,,,26.5,0.001,9.9
04/01/2015,04:00,,,,,25.9,0.001,8.8
04/01/2015,05:00,,,,,25.5,0.001,11.7
04/01/2015,06:00,,,,,26.7,0.001,17.3
04/01/2015,07:00,,,,,30.0,0.001,13.5
04/01/2015,08:00,,,,,31.6,0.001,7.5
04/01/2015,09:00,,,,,33.1,0.001,5.3
04/01/2015,10:00,,,,,35.4,0.001,
04/01/2015,11:00,,,,,37.3,0.001,2.8
04/01/2015,12:00,,,,,38.6,0.001,3.8
04/01/2015,13:00,,,,,32.0,0.008,46.3
04/01/2015,14:00,,,,,28.0,0.004,24.1
04/01/2015,15:00,,,,,27.7,0.003,35.0
04/01/2015,16:00,,,,,29.9,0.007,17.7
04/01/2015,17:00,,,,,32.4,0.005,12.9
04/01/2015,18:00,,,,,31.8,0.003,13.2
04/01/2015,19:00,,,,,30.0,0.003,15.2
04/01/2015,20:00,,,,,29.4,0.002,11.8
04/01/2015,21:00,,,,,28.0,0.002,9.9
04/01/2015,22:00,,,,,26.8,0.001,
04/01/2015,23:00,,,,,26.2,0.001,6.1
05/01/2015,00:00,,,,,25.7,,1.4
05/01/2015,01:00,,,,,25.3,0.001,1.3
05/01/2015,02:00,,,,,25.2,0.001,1.9
05/01/2015,03:00,,,,,24.8,0.001,3.5
05/01/2015,04:00,,,,,24.6,0.001,3.2
05/01/2015,05:00,,,,,24.8,0.001,4.6
05/01/2015,06:00,,,,,25.1,0.001,7.3
05/01/2015,07:00,,,,,26.3,0.001,8.4
05/01/2015,08:00,,,,,27.5,0.001,8.0
05/01/2015,09:00,,,,,30.8,0.001,5.7
05/01/2015,10:00,,,,,32.1,0.001,5.2
05/01/2015,11:00,,,,,34.0,0.001,6.1
05/01/2015,12:00,,,,,33.8,0.001,4.1
05/01/2015,13:00,,,,,33.4,0.001,5.5
05/01/2015,14:00,,,,,33.0,0.027,12.7
05/01/2015,15:00,,,,,33.2,0.054,26.8
05/01/2015,16:00,,,,,32.7,0.040,14.4
05/01/2015,17:00,,,,,31.0,0.007,16.8
05/01/2015,18:00,,,,,31.4,0.006,16.0
05/01/2015,19:00,,,,,29.7,0.003,12.4
05/01/2015,20:00,,,,,28.9,0.001,10.7
05/01/2015,21:00,,,,,28.6,0.001,8.8
05/01/2015,22:00,,,,,28.1,0.001,9.8
05/01/2015,23:00,,,,,27.5,0.001,4.2
06/01/2015,00:00,,,,,27.3,,5.0
06/01/2015,01:00,,,,,27.1,0.001,5.9
06/01/2015,02:00,,,,,23.3,0.001,
06/01/2015,03:00,,,,,22.9,0.001,4.8
06/01/2015,04:00,,,,,23.0,0.001,1.8
06/01/2015,05:00,,,,,23.1,0.001,5.2
06/01/2015,06:00,,,,,23.3,0.001,14.0
06/01/2015,07:00,,,,,24.3,0.001,19.0
06/01/2015,08:00,,,,,26.6,0.001,51.5
06/01/2015,09:00,,,,,28.1,0.001,45.9
06/01/2015,10:00,,,,,29.7,0.001,38.7
06/01/2015,11:00,,,,,31.5,0.001,49.6
06/01/2015,12:00,,,,,34.1,0.001,59.0
06/01/2015,13:00,,,,,34.3,0.001,26.2
06/01/2015,14:00,,,,,35.4,0.001,32.9
06/01/2015,15:00,,,,,36.5,0.001,43.2
06/01/2015,16:00,,,,,29.9,0.001,66.3
06/01/2015,17:00,,,,,24.5,0.001,10.2
06/01/2015,18:00,,,,,23.6,0.001,5.2
06/01/2015,19:00,,,,,23.8,0.001,9.9
06/01/2015,20:00,,,,,24.5,0.136,30.0
06/01/2015,21:00,,,,,23.7,0.018,
06/01/2015,22:00,,,,,23.3,0.003,
06/01/2015,23:00,,,,,23.5,0.002,
07/01/2015,00:00,,,,,23.5,,
