Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (ug/m^3),TSP (ug/m^3)
01/01/2015,00:00,9,2.8,12.5,0.8,30.9,12.2,12.6
01/01/2015,01:00,17,2.6,16.5,0.9,30.8,8.1,8.3
01/01/2015,02:00,23,2.6,17.2,0.9,30.8,6.9,7.8
01/01/2015,03:00,37,3.3,10.4,0.8,30.6,8.6,9.3
01/01/2015,04:00,47,2.7,9.5,0.5,30.5,,
01/01/2015,05:00,57,2.9,8.8,0.6,30.6,3.0,
01/01/2015,06:00,62,2.3,11.8,0.4,30.7,19.0,25.8
01/01/2015,07:00,63,2.3,13.9,0.5,31.1,12.5,14.6
01/01/2015,08:00,55,3.5,11.5,0.8,31.8,12.2,17.4
01/01/2015,09:00,46,4.2,10.8,1.0,32.2,16.9,24.4
01/01/2015,10:00,46,4.4,11.9,1.1,31.9,10.2,15.1
01/01/2015,11:00,54,4.7,11.4,0.9,32.0,8.9,10.4
01/01/2015,12:00,50,4.9,10.8,0.8,32.0,14.3,21.8
01/01/2015,13:00,56,5.1,11.7,1.0,31.4,12.5,19.3
01/01/2015,14:00,58,5.1,9.5,0.9,31.4,11.0,17.1
01/01/2015,15:00,56,4.5,9.8,0.9,31.4,13.0,17.0
01/01/2015,16:00,54,4.4,11.0,0.8,31.2,8.5,9.8
01/01/2015,17:00,60,4.2,12.6,0.9,31.2,10.2,13.0
01/01/2015,18:00,55,4.9,10.0,0.9,31.1,17.0,22.1
01/01/2015,19:00,60,5.7,8.8,1.1,30.6,19.9,26.3
01/01/2015,20:00,63,4.7,10.3,1.1,30.4,15.8,19.0
01/01/2015,21:00,63,4.2,14.2,1.5,30.3,14.6,20.1
01/01/2015,22:00,63,5.1,10.8,1.3,30.4,8.4,11.3
01/01/2015,23:00,62,4.5,10.9,1.0,30.4,8.9,11.4
