Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Carbon Monoxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3)
01/01/2015,00:00,49,1.2,37.1,0.7,26.2,85.3,,,,,14.4,5.9
01/01/2015,01:00,44,1.6,22.8,0.7,26.2,86.4,0.009,0.007,0.016,0.1,14.0,2.3
01/01/2015,02:00,66,1.0,28.7,0.4,26.0,86.9,0.010,0.008,0.018,0.1,11.6,2.2
01/01/2015,03:00,71,0.6,28.1,0.3,25.6,88.1,0.012,0.007,0.019,0.1,10.6,2.4
01/01/2015,04:00,111,0.5,58.2,0.4,25.5,88.8,0.010,0.008,0.018,0.2,12.9,3.4
01/01/2015,05:00,133,0.9,26.3,0.4,25.2,88.1,0.008,0.004,0.012,0.1,12.1,4.9
01/01/2015,06:00,93,0.9,36.6,0.5,26.4,85.0,0.009,0.003,0.012,0.1,8.2,1.6
01/01/2015,07:00,7,0.9,48.2,0.7,26.6,85.9,0.005,0.003,0.008,0.0,13.7,4.8
01/01/2015,08:00,33,2.1,31.0,1.0,29.4,72.3,0.007,0.002,0.009,0.0,12.9,3.3
01/01/2015,09:00,33,1.9,34.2,1.1,30.4,65.9,0.009,0.003,0.012,0.0,13.0,4.9
01/01/2015,10:00,54,2.1,36.5,0.9,30.9,63.6,0.009,0.005,0.014,0.0,13.6,3.8
01/01/2015,11:00,48,2.2,33.6,0.9,31.1,63.5,0.011,0.007,0.018,0.1,15.3,7.5
01/01/2015,12:00,53,2.7,30.8,1.1,31.7,61.2,0.011,0.005,0.016,0.1,21.2,9.8
01/01/2015,13:00,53,2.9,25.9,1.1,31.4,61.1,0.008,0.003,0.011,0.1,16.1,6.4
01/01/2015,14:00,57,3.0,27.6,1.1,30.6,64.1,0.011,0.004,0.015,0.2,33.2,16.9
01/01/2015,15:00,51,3.0,25.5,1.1,29.8,64.6,0.012,0.005,0.017,0.1,15.1,6.0
01/01/2015,16:00,51,2.9,25.9,1.2,29.2,65.7,0.009,0.003,0.012,0.1,16.2,7.1
01/01/2015,17:00,64,3.1,20.5,1.0,27.9,70.6,0.008,0.001,0.009,0.1,16.1,4.5
01/01/2015,18:00,65,2.8,20.7,0.9,27.2,74.6,0.009,0.003,0.012,0.1,15.4,5.3
01/01/2015,19:00,50,2.3,23.8,0.8,26.7,76.6,0.011,0.002,0.013,0.1,9.8,2.3
01/01/2015,20:00,53,1.9,22.7,0.8,26.4,77.3,0.009,0.004,0.013,0.1,10.7,2.0
01/01/2015,21:00,51,1.6,22.0,0.6,26.2,77.6,0.012,0.003,0.015,0.1,10.7,1.7
01/01/2015,22:00,54,1.6,22.6,0.6,26.1,78.5,0.008,0.004,0.012,0.0,9.2,1.4
01/01/2015,23:00,50,1.2,29.5,0.5,25.8,80.2,0.015,0.005,0.020,0.1,10.9,2.9
02/01/2015,00:00,42,1.2,24.0,0.6,25.6,81.7,,,,,13.0,3.8
02/01/2015,01:00,43,1.2,25.4,0.5,25.4,82.6,0.003,0.002,0.005,0.0,9.9,1.3
02/01/2015,02:00,49,1.4,20.5,0.5,25.3,83.2,0.001,0.002,0.003,0.0,8.6,-1.1
02/01/2015,03:00,60,0.8,26.6,0.4,25.1,84.2,0.008,0.005,0.013,0.0,13.4,3.5
02/01/2015,04:00,46,1.0,27.4,0.5,25.0,83.6,0.011,0.006,0.017,0.0,13.2,1.9
02/01/2015,05:00,76,0.4,53.2,0.3,25.3,82.8,0.029,0.011,0.040,0.2,14.5,3.3
02/01/2015,06:00,88,0.7,52.3,0.4,26.4,79.7,0.032,0.009,0.041,0.2,17.1,4.5
02/01/2015,07:00,54,1.9,30.3,0.9,29.2,67.8,0.026,0.009,0.035,0.1,23.2,9.6
02/01/2015,08:00,42,2.1,37.4,1.0,29.7,65.1,0.022,0.008,0.030,0.1,22.5,10.0
02/01/2015,09:00,60,2.2,38.9,1.0,29.8,63.9,0.024,0.008,0.032,0.1,24.0,9.1
02/01/2015,10:00,54,2.4,31.0,1.0,30.7,60.5,0.022,0.009,0.031,0.1,26.0,13.1
02/01/2015,11:00,66,2.6,31.6,1.1,31.3,57.5,0.024,0.008,0.032,0.1,27.9,13.7
02/01/2015,12:00,56,3.2,28.1,1.2,30.9,60.2,0.020,0.006,0.026,0.1,22.0,9.7
02/01/2015,13:00,74,3.3,29.3,1.3,30.3,61.8,0.019,0.005,0.024,0.1,29.6,12.2
02/01/2015,14:00,66,3.4,24.0,1.2,28.6,67.9,0.019,0.008,0.027,0.2,14.8,6.3
02/01/2015,15:00,66,3.1,24.1,1.1,28.1,70.6,0.022,0.008,0.030,0.2,15.0,5.0
02/01/2015,16:00,65,3.3,22.7,1.1,28.2,67.6,0.020,0.006,0.026,0.1,17.8,4.6
02/01/2015,17:00,69,3.2,22.9,1.2,27.6,69.2,0.018,0.006,0.024,0.1,15.6,6.4
02/01/2015,18:00,69,2.6,23.2,1.0,26.9,72.3,0.016,0.005,0.021,0.1,12.5,1.6
02/01/2015,19:00,73,2.4,26.2,1.0,26.4,75.3,0.012,0.005,0.017,0.0,12.8,1.7
02/01/2015,20:00,77,2.0,26.0,0.8,26.2,76.7,0.009,0.004,0.013,0.0,12.0,1.3
02/01/2015,21:00,63,2.4,20.6,0.9,26.2,76.1,0.009,0.001,0.010,0.0,13.2,2.9
02/01/2015,22:00,71,1.8,24.9,0.7,26.0,77.8,0.009,0.003,0.012,0.0,11.7,0.7
02/01/2015,23:00,79,1.1,32.8,0.6,25.3,82.7,0.011,0.004,0.015,0.1,14.8,2.4
03/01/2015,00:00,67,1.3,27.1,0.5,25.4,79.9,,,,,14.3,1.9
03/01/2015,01:00,95,1.1,30.3,0.6,25.3,79.9,0.004,0.001,0.005,0.0,12.7,-0.3
03/01/2015,02:00,86,0.6,52.9,0.3,25.1,81.8,0.004,0.001,0.005,0.0,12.6,1.3
03/01/2015,03:00,76,1.4,25.3,0.6,25.3,80.0,0.005,0.002,0.007,0.0,11.3,0.2
03/01/2015,04:00,86,1.0,34.8,0.6,25.3,80.8,0.004,0.002,0.006,0.0,13.8,1.6
03/01/2015,05:00,75,1.2,34.6,0.5,25.6,78.4,0.013,0.006,0.019,0.0,16.0,3.6
03/01/2015,06:00,134,1.6,24.6,0.9,24.6,85.2,0.009,0.004,0.013,0.0,12.3,0.5
03/01/2015,07:00,118,1.2,30.8,0.6,24.7,87.6,0.016,0.005,0.021,0.1,9.5,-0.3
03/01/2015,08:00,103,1.7,23.9,0.7,25.8,81.4,0.017,0.006,0.023,0.1,16.5,1.8
03/01/2015,09:00,81,2.0,31.2,1.0,26.7,77.0,0.019,0.008,0.027,0.1,21.6,5.6
03/01/2015,10:00,61,2.4,28.3,1.0,27.4,71.2,0.018,0.008,0.026,0.1,19.3,3.2
03/01/2015,11:00,61,2.6,27.4,1.0,27.8,70.0,0.019,0.009,0.028,0.1,19.7,2.2
03/01/2015,12:00,51,2.7,26.4,1.1,28.2,67.6,0.020,0.007,0.027,0.1,22.8,5.6
03/01/2015,13:00,50,2.6,25.9,1.1,28.6,64.4,0.015,0.008,0.023,0.1,26.7,8.8
03/01/2015,14:00,55,2.7,27.4,1.0,28.6,63.5,0.017,0.006,0.023,0.1,25.4,8.4
03/01/2015,15:00,29,2.7,28.2,1.2,28.3,64.2,0.014,0.006,0.020,0.1,22.8,5.6
03/01/2015,16:00,45,2.6,27.5,1.1,28.0,64.7,0.014,0.008,0.022,0.2,25.0,7.8
03/01/2015,17:00,59,2.6,22.3,1.1,27.1,67.7,0.013,0.006,0.019,0.1,25.4,8.1
03/01/2015,18:00,59,2.3,25.7,0.9,26.4,71.4,0.010,0.007,0.017,0.1,25.6,8.6
03/01/2015,19:00,69,1.7,21.5,0.6,25.8,73.8,0.012,0.008,0.020,0.1,24.9,6.8
03/01/2015,20:00,103,1.2,29.1,0.6,25.4,75.8,0.013,0.008,0.021,0.1,21.1,5.5
03/01/2015,21:00,99,1.1,29.0,0.5,25.1,77.3,0.014,0.008,0.022,0.2,15.9,1.1
03/01/2015,22:00,105,1.3,28.2,0.9,24.5,79.3,0.014,0.008,0.022,0.1,18.0,2.0
03/01/2015,23:00,113,0.5,82.6,0.8,22.3,91.9,0.012,0.009,0.021,0.1,15.1,1.6
04/01/2015,00:00,155,0.6,28.7,0.3,22.6,90.9,,,,,11.0,3.2
04/01/2015,01:00,152,0.9,16.6,0.4,22.2,89.7,0.003,0.004,0.007,0.0,12.4,2.1
04/01/2015,02:00,160,0.9,19.5,0.3,22.1,89.2,0.002,0.004,0.006,0.0,7.1,-1.6
04/01/2015,03:00,156,0.6,23.2,0.2,22.0,88.7,0.003,0.006,0.009,0.0,13.8,0.0
04/01/2015,04:00,158,0.6,26.1,0.4,22.2,87.2,0.003,0.005,0.008,0.0,16.5,4.0
04/01/2015,05:00,149,0.7,22.3,0.3,22.9,83.6,0.006,0.004,0.010,0.0,18.3,3.5
04/01/2015,06:00,133,0.9,27.2,0.5,25.7,71.4,0.008,0.004,0.012,0.0,17.2,3.6
04/01/2015,07:00,90,1.3,37.7,0.7,27.4,61.2,0.010,0.004,0.014,0.0,18.7,4.3
04/01/2015,08:00,102,1.5,43.8,0.8,28.1,58.3,0.008,0.002,0.010,0.0,17.2,3.9
04/01/2015,09:00,111,1.7,39.0,0.8,28.9,55.2,0.013,0.005,0.018,0.0,19.3,7.9
04/01/2015,10:00,117,1.7,40.9,0.9,29.2,54.1,0.009,0.006,0.015,0.0,20.6,8.9
04/01/2015,11:00,130,1.8,40.4,0.9,29.4,53.5,0.011,0.004,0.015,0.0,16.9,5.8
04/01/2015,12:00,112,1.9,36.2,0.9,29.4,52.7,0.013,0.006,0.019,0.0,18.0,5.9
04/01/2015,13:00,101,2.0,41.6,1.1,30.2,50.3,0.010,0.005,0.015,0.0,13.8,4.6
04/01/2015,14:00,74,2.8,28.6,1.0,29.1,52.9,0.009,0.006,0.015,0.0,18.0,6.0
04/01/2015,15:00,87,2.8,29.3,1.1,28.4,54.5,0.015,0.008,0.023,0.0,15.6,5.1
04/01/2015,16:00,94,2.7,32.1,1.2,27.7,56.6,0.015,0.007,0.022,0.0,12.5,2.3
04/01/2015,17:00,102,2.4,30.0,1.0,27.2,57.3,0.014,0.004,0.018,0.0,15.2,4.5
04/01/2015,18:00,107,2.3,24.8,1.0,25.9,65.2,0.009,0.006,0.015,0.0,14.3,2.6
04/01/2015,19:00,109,1.5,29.3,0.6,24.9,70.7,0.011,0.006,0.017,0.1,15.5,1.6
04/01/2015,20:00,101,1.3,29.6,0.6,24.5,72.3,0.011,0.008,0.019,0.0,15.6,2.6
04/01/2015,21:00,122,0.7,33.7,0.4,24.0,74.6,0.018,0.011,0.029,0.1,16.2,3.4
04/01/2015,22:00,146,0.9,22.2,0.4,23.5,77.3,0.014,0.011,0.025,0.1,15.9,3.3
04/01/2015,23:00,199,0.4,42.8,0.2,23.1,79.4,0.005,0.008,0.013,0.0,4.1,-4.7
05/01/2015,00:00,159,0.6,44.0,0.4,22.9,81.1,,,,,14.7,1.3
05/01/2015,01:00,245,0.5,36.6,0.3,22.7,82.4,0.000,0.003,0.003,0.0,14.9,2.2
05/01/2015,02:00,264,0.6,33.2,0.3,22.2,84.2,0.001,0.007,0.008,0.0,6.0,-1.5
05/01/2015,03:00,251,0.7,34.8,0.4,21.7,85.3,0.001,0.006,0.007,0.0,3.8,-2.6
05/01/2015,04:00,246,0.6,39.5,0.3,21.6,84.4,0.005,0.008,0.013,0.0,12.3,0.4
05/01/2015,05:00,200,1.2,33.3,0.7,22.2,81.5,0.006,0.009,0.015,0.0,11.4,0.3
05/01/2015,06:00,181,1.7,21.5,0.7,24.1,75.2,0.014,0.007,0.021,0.0,8.0,-1.3
05/01/2015,07:00,181,1.7,28.9,0.7,25.8,72.0,0.013,0.007,0.020,0.1,13.3,0.7
05/01/2015,08:00,146,1.8,30.2,0.9,26.9,70.0,0.024,0.012,0.036,0.1,21.0,8.4
05/01/2015,09:00,120,2.1,29.3,1.0,26.5,71.7,0.032,0.012,0.044,0.1,22.0,10.5
05/01/2015,10:00,145,1.4,52.4,0.9,22.7,86.8,0.021,0.011,0.032,0.1,18.1,10.0
05/01/2015,11:00,185,1.5,29.2,0.8,23.6,86.8,0.019,0.009,0.028,0.1,11.8,4.5
05/01/2015,12:00,107,0.1,119.2,0.6,23.3,89.9,0.035,0.016,0.051,0.2,9.7,1.2
05/01/2015,13:00,220,0.7,55.5,0.8,24.2,86.5,0.018,0.008,0.026,0.2,14.4,3.8
05/01/2015,14:00,184,1.0,69.4,1.2,22.8,90.1,0.021,0.011,0.032,0.2,6.8,-0.1
05/01/2015,15:00,178,0.6,40.3,0.3,23.9,85.8,0.043,0.014,0.057,0.5,8.9,1.5
05/01/2015,16:00,128,0.7,56.9,0.6,25.3,81.6,0.059,0.021,0.080,0.7,17.5,6.9
05/01/2015,17:00,125,1.5,23.7,0.7,25.5,79.5,0.048,0.012,0.060,0.5,23.1,8.4
05/01/2015,18:00,125,1.3,24.6,0.7,24.9,80.2,0.030,0.009,0.039,0.3,21.3,5.9
05/01/2015,19:00,131,1.0,30.4,0.6,23.3,87.7,0.024,0.009,0.033,0.3,18.8,5.6
05/01/2015,20:00,161,1.1,21.9,0.5,23.0,87.9,0.018,0.008,0.026,0.2,13.1,3.2
05/01/2015,21:00,170,1.1,21.7,0.4,22.7,88.4,0.012,0.010,0.022,0.2,12.4,0.4
05/01/2015,22:00,149,0.4,70.8,0.4,22.8,90.3,0.019,0.008,0.027,0.2,9.9,-0.7
05/01/2015,23:00,232,0.4,45.0,0.3,22.6,90.9,0.008,0.008,0.016,0.1,14.5,1.7
06/01/2015,00:00,171,0.8,49.3,0.5,22.4,90.8,,,,,14.7,3.7
06/01/2015,01:00,183,0.8,28.0,0.4,22.0,91.5,0.003,0.004,0.007,0.0,16.7,2.2
06/01/2015,02:00,186,0.8,34.1,0.4,22.0,89.9,0.001,0.002,0.003,0.0,10.7,-0.4
06/01/2015,03:00,166,1.1,53.3,0.9,21.6,91.3,0.003,0.002,0.005,0.0,15.6,3.3
06/01/2015,04:00,164,1.5,27.1,0.8,21.5,90.8,0.006,0.005,0.011,0.0,7.6,-1.0
06/01/2015,05:00,143,1.3,28.2,0.6,21.4,90.1,0.033,0.010,0.043,0.1,12.6,4.2
06/01/2015,06:00,145,0.5,100.7,0.6,22.6,88.3,0.074,0.019,0.093,0.5,16.7,7.5
06/01/2015,07:00,177,0.6,69.5,0.7,24.6,83.5,0.029,0.011,0.040,0.2,18.2,7.4
