Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa)
01/01/2016,00:00,128,0.9,44.2,0.7,22.4,57.8,0.0,1006
01/01/2016,01:00,181,0.8,33.2,0.4,21.7,58.9,0.0,1006
01/01/2016,02:00,162,0.6,43.8,0.6,20.6,63.3,0.0,1005
01/01/2016,03:00,159,1.2,32.4,0.7,21.0,62.3,0.0,1005
01/01/2016,04:00,167,1.3,29.3,0.6,20.9,64.0,0.0,1005
01/01/2016,05:00,179,1.3,21.6,0.5,20.6,66.9,0.0,1006
01/01/2016,06:00,178,1.1,32.2,0.6,21.3,64.3,0.0,1006
01/01/2016,07:00,140,1.3,45.8,0.9,23.3,57.1,0.0,1006
01/01/2016,08:00,156,1.5,53.9,1.0,24.8,51.3,0.0,1006
01/01/2016,09:00,121,0.7,84.2,1.0,26.4,44.1,0.0,1006
01/01/2016,10:00,87,0.7,80.6,1.0,27.8,39.2,0.0,1005
01/01/2016,11:00,93,1.1,77.8,1.2,28.6,37.6,0.0,1004
01/01/2016,12:00,120,2.0,45.7,1.2,29.5,35.4,0.0,1003
01/01/2016,13:00,74,4.7,19.4,1.8,29.5,37.5,0.0,1002
01/01/2016,14:00,70,6.8,11.9,1.6,28.1,44.3,0.0,1002
01/01/2016,15:00,70,5.0,17.7,1.5,27.8,45.6,0.0,1002
01/01/2016,16:00,40,5.6,12.7,1.3,27.0,47.6,0.0,1002
01/01/2016,17:00,50,4.0,17.2,1.1,26.3,49.9,0.0,1002
01/01/2016,18:00,50,2.9,22.1,1.0,25.4,54.6,0.0,1003
01/01/2016,19:00,39,1.7,41.7,1.0,24.5,57.9,0.0,1004
01/01/2016,20:00,69,2.3,23.4,1.2,24.4,58.1,0.0,1005
01/01/2016,21:00,82,1.5,29.0,0.8,23.9,65.2,0.0,1005
01/01/2016,22:00,76,2.5,14.6,1.0,24.0,67.7,0.0,1005
01/01/2016,23:00,72,1.9,29.8,1.0,23.8,67.7,0.0,1005
02/01/2016,00:00,102,0.4,58.8,0.5,23.0,71.1,0.0,1004
02/01/2016,01:00,216,0.8,44.9,0.5,22.1,72.5,0.0,1004
02/01/2016,02:00,221,0.7,15.0,0.3,21.8,73.3,0.0,1004
02/01/2016,03:00,279,0.3,129.4,0.4,21.7,74.1,0.0,1004
02/01/2016,04:00,73,0.7,41.2,0.4,21.3,75.7,0.0,1004
02/01/2016,05:00,225,0.5,37.0,0.3,20.4,79.2,0.0,1004
02/01/2016,06:00,189,0.4,56.7,0.3,22.7,67.3,0.0,1005
02/01/2016,07:00,85,1.5,41.1,0.8,24.9,58.6,0.0,1005
02/01/2016,08:00,,,,,,,,
02/01/2016,09:00,,,,,,,,
02/01/2016,10:00,71,0.7,149.9,1.2,28.1,47.1,0.0,1003
02/01/2016,11:00,36,1.5,147.5,1.2,28.6,47.6,0.0,1002
02/01/2016,12:00,64,4.0,25.0,1.5,28.7,50.0,0.0,1001
02/01/2016,13:00,46,4.1,25.5,1.3,28.8,50.0,0.0,1001
02/01/2016,14:00,24,3.9,166.2,1.3,29.0,47.5,0.0,1000
02/01/2016,15:00,27,4.6,22.1,1.4,28.9,46.2,0.0,1000
