Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3)
01/01/2016,00:00,134,3.1,11.9,0.9,22.6,57.3,0.0,1008,10.9
01/01/2016,01:00,141,2.6,16.8,0.8,22.0,59.8,0.0,1008,13.7
01/01/2016,02:00,153,2.3,17.5,0.8,21.6,61.1,0.0,1007,14.1
01/01/2016,03:00,141,3.1,13.5,0.9,21.4,61.6,0.0,1007,16.9
01/01/2016,04:00,135,3.5,10.5,0.9,21.4,63.8,0.0,1007,21.4
01/01/2016,05:00,141,3.0,14.9,0.8,21.4,65.5,0.0,1007,24.7
01/01/2016,06:00,138,3.4,14.6,0.9,22.0,63.8,0.0,1008,25.5
01/01/2016,07:00,129,3.3,16.6,1.0,23.5,57.3,0.0,1008,22.0
01/01/2016,08:00,98,5.0,14.2,1.2,24.9,49.5,0.0,1008,17.5
01/01/2016,09:00,83,5.2,13.5,1.2,25.4,48.6,0.0,1008,23.6
01/01/2016,10:00,66,5.2,9.5,0.8,25.4,48.9,0.0,1007,16.5
01/01/2016,11:00,74,4.9,13.0,1.1,26.1,47.3,0.0,1006,22.3
01/01/2016,12:00,82,4.3,13.7,1.4,26.5,49.2,0.0,1006,23.6
01/01/2016,13:00,77,6.9,7.7,1.0,25.7,52.4,0.0,1005,19.8
01/01/2016,14:00,68,7.6,7.2,1.2,25.7,52.2,0.0,1004,15.7
01/01/2016,15:00,75,6.7,10.6,1.7,25.8,52.0,0.0,1004,17.4
01/01/2016,16:00,69,2.9,29.5,1.5,25.7,55.0,0.0,1004,25.8
01/01/2016,17:00,44,1.5,35.7,1.2,25.4,56.2,0.0,1005,20.9
01/01/2016,18:00,72,3.2,20.1,1.3,25.2,55.1,0.0,1006,13.4
01/01/2016,19:00,77,5.3,9.2,0.8,25.1,56.8,0.0,1006,22.2
01/01/2016,20:00,72,5.3,9.6,1.0,24.8,63.3,0.0,1007,34.2
01/01/2016,21:00,76,5.4,10.5,1.0,24.5,67.1,0.0,1007,30.1
01/01/2016,22:00,77,5.1,11.2,1.0,24.5,65.6,0.0,1007,27.7
01/01/2016,23:00,74,5.3,11.1,0.9,24.4,65.8,0.0,1007,26.9
02/01/2016,00:00,74,5.0,10.8,0.9,24.2,65.4,0.0,1006,23.2
02/01/2016,01:00,73,4.6,10.6,0.9,24.2,63.6,0.0,1006,17.9
02/01/2016,02:00,92,3.7,10.2,0.9,24.0,60.4,0.0,1005,21.4
02/01/2016,03:00,126,2.1,12.4,0.5,22.8,68.2,0.0,1005,29.0
02/01/2016,04:00,125,1.8,8.1,0.3,22.3,68.1,0.0,1006,19.8
02/01/2016,05:00,124,2.0,10.5,0.4,21.9,68.3,0.0,1006,21.6
02/01/2016,06:00,119,2.1,13.8,0.7,23.4,62.7,0.0,1007,28.5
02/01/2016,07:00,95,2.3,20.9,0.6,24.6,59.3,0.0,1007,29.1
02/01/2016,08:00,76,2.7,15.7,0.8,25.0,58.5,0.0,1007,27.9
02/01/2016,09:00,73,3.1,17.8,0.8,25.5,58.2,0.0,1006,30.2
02/01/2016,10:00,74,4.1,11.7,0.8,25.4,58.6,0.0,1006,24.8
02/01/2016,11:00,79,3.8,20.1,1.3,26.2,57.7,0.0,1005,32.4
02/01/2016,12:00,56,2.4,30.9,1.5,26.0,60.6,0.0,1004,32.0
02/01/2016,13:00,45,1.7,31.5,1.3,25.6,62.3,0.0,1004,28.7
02/01/2016,14:00,48,2.3,28.0,1.5,25.7,62.7,0.0,1003,27.7
02/01/2016,15:00,50,2.7,25.7,1.7,25.7,61.2,0.0,1003,21.1
02/01/2016,16:00,47,2.1,30.2,1.4,25.5,62.8,0.0,1002,24.4
02/01/2016,17:00,42,1.6,34.3,1.1,25.3,63.4,0.0,1003,21.1
02/01/2016,18:00,40,1.5,36.2,1.0,25.0,65.9,0.0,1003,25.3
02/01/2016,19:00,37,1.1,33.6,0.8,24.8,66.1,0.0,1004,21.6
02/01/2016,20:00,37,1.0,39.1,0.8,24.7,65.7,0.0,1004,20.2
02/01/2016,21:00,15,0.9,167.9,0.6,24.6,65.3,0.0,1005,18.3
02/01/2016,22:00,3,0.8,34.4,0.5,24.5,64.9,0.0,1005,17.5
02/01/2016,23:00,10,0.7,182.0,0.5,24.6,65.1,0.0,1004,19.9
03/01/2016,00:00,4,0.7,171.5,0.5,24.3,67.0,0.0,1004,18.4
03/01/2016,01:00,45,1.0,35.1,0.8,24.3,67.2,0.0,1003,15.9
03/01/2016,02:00,75,2.2,23.5,0.9,24.5,66.5,0.0,1003,13.0
03/01/2016,03:00,80,3.8,11.1,1.1,24.5,66.6,0.0,1002,13.8
03/01/2016,04:00,80,4.4,9.2,1.0,24.4,68.2,0.0,1003,14.9
03/01/2016,05:00,75,5.5,7.4,1.0,24.4,69.1,0.0,1003,16.4
03/01/2016,06:00,73,5.8,8.1,0.8,24.7,66.9,0.0,1004,12.0
03/01/2016,07:00,80,5.6,8.8,1.2,25.0,64.5,0.0,1005,13.7
03/01/2016,08:00,84,5.5,8.9,1.2,25.6,62.2,0.0,1005,11.0
03/01/2016,09:00,82,5.4,11.5,1.5,25.9,59.0,0.0,1005,6.7
03/01/2016,10:00,82,6.3,8.9,1.4,26.0,58.7,0.0,1005,11.5
03/01/2016,11:00,83,5.1,11.7,1.5,25.9,58.9,0.0,1004,9.9
03/01/2016,12:00,82,4.6,13.7,1.4,25.5,61.4,0.0,1004,13.7
03/01/2016,13:00,80,5.2,11.4,1.6,25.1,63.8,0.0,1003,16.3
03/01/2016,14:00,77,6.4,9.2,1.1,25.2,62.3,0.0,1003,9.8
03/01/2016,15:00,76,6.2,10.0,1.1,25.2,61.6,0.0,1002,11.4
03/01/2016,16:00,72,7.0,9.3,1.1,25.1,61.2,0.0,1002,15.9
03/01/2016,17:00,74,6.9,10.0,1.1,25.0,63.7,0.0,1003,16.6
03/01/2016,18:00,78,6.9,9.6,1.1,24.8,67.0,0.0,1003,23.2
03/01/2016,19:00,78,7.5,8.3,1.3,24.9,67.7,0.0,1003,18.0
03/01/2016,20:00,77,7.1,9.8,1.2,25.0,68.3,0.0,1004,20.2
03/01/2016,21:00,79,7.1,9.2,1.5,25.2,69.2,0.0,1004,19.1
03/01/2016,22:00,82,7.8,7.5,1.5,24.9,71.6,0.0,1004,20.0
03/01/2016,23:00,96,5.1,12.1,1.5,23.8,79.3,0.0,1004,24.3
04/01/2016,00:00,87,6.7,12.2,1.7,23.8,80.7,0.0,1004,20.0
04/01/2016,01:00,79,6.7,9.9,1.4,21.8,92.4,0.0,1003,12.2
04/01/2016,02:00,90,5.6,9.2,1.1,22.3,88.4,0.0,1003,8.2
04/01/2016,03:00,92,6.7,7.6,1.4,22.7,86.1,0.0,1002,13.9
04/01/2016,04:00,85,7.9,7.6,1.6,22.8,88.4,0.0,1002,13.2
04/01/2016,05:00,86,7.6,8.3,1.4,23.1,88.5,0.0,1003,15.2
04/01/2016,06:00,88,7.5,8.3,1.5,23.0,90.5,0.0,1003,15.8
04/01/2016,07:00,91,7.8,7.0,1.5,23.5,88.2,0.0,1003,12.9
04/01/2016,08:00,88,8.2,7.3,1.7,23.5,90.5,0.0,1004,20.9
04/01/2016,09:00,83,9.3,7.9,1.6,23.7,89.7,0.0,1004,12.5
