Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,51,1.0,20.0,0.4,27.4,24.4,
01/01/2016,01:00,51,0.7,20.5,0.3,26.9,22.4,27
01/01/2016,02:00,61,1.0,14.8,0.3,26.7,19.5,26
01/01/2016,03:00,60,0.9,25.0,0.3,26.6,19.5,28
01/01/2016,04:00,108,0.6,29.3,0.3,26.3,26.6,28
01/01/2016,05:00,77,0.9,16.3,0.3,26.0,20.5,29
01/01/2016,06:00,76,1.7,13.9,0.6,27.7,23.7,30
01/01/2016,07:00,78,2.3,19.2,1.0,30.3,22.6,30
01/01/2016,08:00,82,3.3,22.5,1.2,31.4,13.6,25
01/01/2016,09:00,85,3.5,18.2,1.0,32.3,10.6,20
01/01/2016,10:00,72,3.4,21.8,1.2,32.8,18.8,20
01/01/2016,11:00,60,3.1,23.8,1.3,32.7,18.2,20
01/01/2016,12:00,53,2.9,24.8,1.2,33.3,8.8,19
01/01/2016,13:00,50,2.7,29.9,1.3,33.4,17.6,18
01/01/2016,14:00,51,2.7,25.6,1.2,33.5,21.8,18
01/01/2016,15:00,52,2.8,25.4,1.2,32.8,19.3,20
01/01/2016,16:00,56,2.9,22.9,1.3,32.3,22.6,21
01/01/2016,17:00,46,2.1,26.2,1.0,31.5,26.7,25
01/01/2016,18:00,46,1.7,21.4,0.8,30.1,28.5,29
01/01/2016,19:00,39,1.0,23.8,0.4,29.2,26.2,31
01/01/2016,20:00,29,0.9,28.4,0.5,28.9,25.1,33
01/01/2016,21:00,49,1.0,19.2,0.4,28.2,28.9,32
01/01/2016,22:00,50,0.7,24.3,0.4,27.6,36.4,32
01/01/2016,23:00,30,0.6,22.3,0.3,27.5,29.1,30
02/01/2016,00:00,32,1.0,22.4,0.4,27.8,18.3,
02/01/2016,01:00,32,0.7,22.3,0.3,27.4,15.9,27
02/01/2016,02:00,26,0.8,23.0,0.4,27.6,15.4,28
02/01/2016,03:00,30,0.7,21.8,0.4,27.4,20.8,29
02/01/2016,04:00,29,0.6,21.8,0.3,27.1,22.6,28
02/01/2016,05:00,20,0.7,22.4,0.4,27.7,22.6,28
02/01/2016,06:00,20,0.8,25.7,0.4,28.5,22.9,27
02/01/2016,07:00,45,1.6,26.9,0.8,30.0,29.2,27
02/01/2016,08:00,52,2.6,23.0,1.2,30.8,20.1,26
02/01/2016,09:00,58,2.7,21.4,1.1,31.6,17.5,24
02/01/2016,10:00,54,2.9,25.0,1.2,32.3,20.6,22
02/01/2016,11:00,56,3.3,23.9,1.3,32.4,18.2,21
02/01/2016,12:00,52,2.7,26.6,1.2,32.6,16.0,22
02/01/2016,13:00,54,3.3,22.5,1.5,32.8,26.8,23
02/01/2016,14:00,44,2.8,26.1,1.3,32.4,18.3,22
02/01/2016,15:00,54,3.5,20.3,1.5,32.2,15.7,23
02/01/2016,16:00,53,2.8,22.3,1.2,31.5,21.7,26
02/01/2016,17:00,55,2.8,20.4,1.2,30.8,21.3,26
02/01/2016,18:00,56,2.2,20.4,1.0,30.1,22.8,27
02/01/2016,19:00,54,1.6,19.7,0.7,29.5,32.1,26
02/01/2016,20:00,56,1.8,18.4,0.7,29.3,31.7,26
02/01/2016,21:00,59,2.4,17.5,0.9,29.5,26.9,26
02/01/2016,22:00,61,2.9,17.8,1.0,29.4,29.0,28
02/01/2016,23:00,56,2.5,18.0,1.1,28.7,32.2,30
03/01/2016,00:00,50,2.6,20.7,1.0,29.0,25.6,
03/01/2016,01:00,39,2.8,26.4,1.4,28.9,25.9,30
03/01/2016,02:00,25,2.4,28.0,1.3,28.5,21.6,31
03/01/2016,03:00,11,1.9,27.6,1.1,29.2,24.7,27
03/01/2016,04:00,14,1.7,27.3,0.9,29.3,24.0,26
03/01/2016,05:00,325,0.5,85.0,0.8,27.8,,20
03/01/2016,06:00,360,0.7,164.7,0.8,28.2,34.5,20
03/01/2016,07:00,325,1.5,42.3,1.1,31.5,33.9,30
03/01/2016,08:00,329,1.6,40.9,1.1,32.9,22.2,28
03/01/2016,09:00,341,1.5,39.6,1.1,33.3,20.1,26
03/01/2016,10:00,335,1.8,38.9,1.3,34.4,7.8,22
03/01/2016,11:00,336,2.1,36.9,1.3,35.3,,17
03/01/2016,12:00,342,2.3,37.0,1.3,35.3,6.2,17
03/01/2016,13:00,356,2.3,35.1,1.5,35.5,19.8,18
03/01/2016,14:00,354,2.2,36.1,1.3,35.2,14.6,19
03/01/2016,15:00,344,1.9,40.8,1.3,35.3,25.0,18
03/01/2016,16:00,345,1.8,41.3,1.3,34.6,26.7,21
03/01/2016,17:00,354,1.9,37.1,1.3,33.3,40.4,29
03/01/2016,18:00,360,1.8,39.6,1.2,31.9,29.9,34
03/01/2016,19:00,349,1.2,41.9,0.8,31.0,25.1,33
03/01/2016,20:00,338,1.2,44.6,0.9,31.1,41.2,47
03/01/2016,21:00,333,1.0,45.6,0.7,31.0,40.1,55
03/01/2016,22:00,338,0.9,46.6,0.7,30.9,35.7,55
03/01/2016,23:00,321,0.8,41.0,0.6,30.9,20.1,36
04/01/2016,00:00,216,2.2,36.2,1.1,29.3,,
04/01/2016,01:00,212,1.4,25.9,0.7,28.1,,8
04/01/2016,02:00,243,0.8,41.8,0.7,27.6,,5
04/01/2016,03:00,236,0.9,29.6,0.4,27.4,,5
04/01/2016,04:00,250,1.5,24.8,0.7,27.5,,6
04/01/2016,05:00,236,2.3,23.0,1.1,27.4,,5
04/01/2016,06:00,241,2.5,24.5,1.2,27.3,,4
04/01/2016,07:00,238,2.6,23.8,1.3,28.7,,4
04/01/2016,08:00,224,2.8,27.2,1.3,30.9,,4
04/01/2016,09:00,223,2.5,31.2,1.2,33.1,,3
04/01/2016,10:00,251,2.8,30.3,1.2,34.8,3.9,4
04/01/2016,11:00,247,2.4,34.9,1.2,35.7,3.9,5
04/01/2016,12:00,255,1.9,32.1,1.1,36.6,3.2,6
04/01/2016,13:00,256,1.4,45.2,0.9,37.3,9.7,7
04/01/2016,14:00,275,1.6,46.7,1.1,37.5,4.2,8
04/01/2016,15:00,1,1.5,35.5,0.9,35.4,5.9,6
04/01/2016,16:00,345,1.3,44.4,0.9,35.6,11.9,7
04/01/2016,17:00,346,1.3,40.1,0.9,34.4,12.6,8
04/01/2016,18:00,354,1.1,45.3,0.8,32.5,13.0,7
04/01/2016,19:00,346,0.8,47.3,0.6,31.4,22.2,8
04/01/2016,20:00,337,0.9,45.6,0.7,30.8,18.3,9
04/01/2016,21:00,329,1.0,41.7,0.7,30.6,22.1,10
04/01/2016,22:00,324,1.1,41.5,0.8,30.5,23.4,12
04/01/2016,23:00,318,1.2,31.9,0.7,30.3,16.9,12
05/01/2016,00:00,318,1.0,35.7,0.6,30.1,11.6,
