Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,141,1.5,18.8,0.6,,,,,,,,,
01/01/2016,01:00,147,1.1,30.0,0.6,,,0.000,0.008,0.008,0.000,,,
01/01/2016,02:00,160,2.0,17.6,0.8,,,0.000,0.004,0.004,0.000,,,
01/01/2016,03:00,161,2.6,16.9,1.0,,,0.001,0.004,0.004,0.000,,,
01/01/2016,04:00,158,2.1,18.3,0.8,,,0.000,0.003,0.003,0.000,,,
01/01/2016,05:00,162,2.6,16.8,0.9,,,0.001,0.004,0.005,0.000,,,
01/01/2016,06:00,156,2.9,19.1,0.9,,,0.001,0.002,0.002,0.000,,,
01/01/2016,07:00,149,3.1,22.3,1.0,,,0.002,0.003,0.005,0.000,,,
01/01/2016,08:00,123,2.8,29.5,1.1,,,0.001,0.003,0.004,0.001,,,
01/01/2016,09:00,93,2.7,42.6,1.3,,,0.010,0.009,0.019,0.012,,,
01/01/2016,10:00,67,3.9,18.2,1.2,,,0.001,0.002,0.002,0.002,,,
01/01/2016,11:00,74,3.8,18.4,1.0,,,0.000,0.001,0.001,0.002,,,
01/01/2016,12:00,89,4.6,17.2,1.1,,,0.000,0.001,0.001,0.002,,,
01/01/2016,13:00,83,5.0,17.0,1.5,,,0.000,0.001,0.001,0.000,,,
01/01/2016,14:00,82,4.7,16.8,1.3,,,0.000,0.001,0.001,0.001,,,
01/01/2016,15:00,74,4.0,18.4,1.2,,,0.000,0.001,0.001,0.001,,,
01/01/2016,16:00,66,3.5,18.5,1.2,,,0.000,0.001,0.001,0.000,,,
01/01/2016,17:00,34,2.6,23.5,1.0,,,0.001,0.002,0.002,0.000,,,
01/01/2016,18:00,60,2.3,19.4,0.8,,,0.000,0.002,0.002,0.000,,,
01/01/2016,19:00,63,1.8,16.6,0.8,,,0.000,0.001,0.001,0.000,,,
01/01/2016,20:00,68,1.5,18.9,0.6,,,0.000,0.001,0.001,0.000,,,
01/01/2016,21:00,88,2.5,14.0,0.7,,,0.000,0.001,0.001,0.000,,,
01/01/2016,22:00,93,2.5,14.7,0.8,,,0.000,0.001,0.001,0.000,,,
01/01/2016,23:00,84,2.0,17.8,0.8,,,0.000,0.002,0.002,0.001,,,
02/01/2016,00:00,78,2.0,20.1,0.8,,,,,,,,,
02/01/2016,01:00,76,2.1,17.9,0.8,,,0.000,0.001,0.001,0.000,,,
02/01/2016,02:00,97,2.4,15.8,0.7,,,0.000,0.002,0.002,0.001,,,
02/01/2016,03:00,131,2.0,13.2,0.5,,,0.000,0.005,0.005,0.001,,,
02/01/2016,04:00,143,0.7,28.8,0.4,,,0.001,0.007,0.008,0.001,,,
02/01/2016,05:00,151,0.9,24.1,0.4,,,0.009,0.013,0.022,0.001,,,
02/01/2016,06:00,140,1.5,14.0,0.5,,,0.001,0.005,0.006,0.005,,,
02/01/2016,07:00,108,1.5,34.5,0.8,,,0.002,0.004,0.006,0.005,,,
02/01/2016,08:00,84,2.4,23.6,0.8,,,0.000,0.002,0.002,0.001,,,
02/01/2016,09:00,79,2.8,23.5,0.9,,,0.001,0.002,0.002,0.001,,,
02/01/2016,10:00,77,3.6,18.9,1.0,,,0.000,0.002,0.002,0.001,,,
02/01/2016,11:00,85,4.5,17.3,1.1,,,0.000,0.001,0.001,0.001,,,
02/01/2016,12:00,88,4.9,16.9,1.2,,,0.000,0.001,0.001,0.001,,,
02/01/2016,13:00,61,3.7,29.8,1.4,,,0.000,0.002,0.002,0.001,,,
02/01/2016,14:00,45,3.3,24.5,1.3,,,0.000,0.002,0.002,0.001,,,
02/01/2016,15:00,39,3.4,21.5,1.1,,,0.000,0.002,0.002,0.001,,,
02/01/2016,16:00,39,2.9,21.9,1.1,,,0.001,0.001,0.002,0.001,,,
02/01/2016,17:00,37,2.6,19.4,0.9,,,0.000,0.001,0.001,0.000,,,
02/01/2016,18:00,26,2.2,20.7,1.0,,,0.000,0.001,0.001,0.000,,,
02/01/2016,19:00,19,1.7,24.7,0.8,,,0.000,0.001,0.001,0.000,,,
02/01/2016,20:00,14,1.2,22.3,0.5,,,0.000,0.001,0.001,0.000,,,
02/01/2016,21:00,6,0.9,24.8,0.4,,,0.000,0.001,0.001,0.000,,,
02/01/2016,22:00,323,0.7,16.5,0.3,,,0.002,0.008,0.009,0.000,,,
