Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa)
01/01/2016,00:00,120,2.6,10.8,0.5,24.5,71.7,0.0,1009
01/01/2016,01:00,128,2.7,3.8,0.3,24.1,72.3,0.0,1008
01/01/2016,02:00,126,3.2,3.4,0.3,23.8,73.7,0.0,1008
01/01/2016,03:00,129,3.1,3.9,0.3,23.8,73.2,0.0,1007
01/01/2016,04:00,131,3.5,4.9,0.4,23.9,72.5,0.0,1007
01/01/2016,05:00,129,3.5,4.0,0.5,24.1,71.4,0.0,1008
01/01/2016,06:00,124,3.4,5.0,0.6,24.5,69.4,0.0,1009
01/01/2016,07:00,107,3.7,14.9,1.0,26.0,64.1,0.0,1009
01/01/2016,08:00,65,4.5,18.6,1.2,26.9,57.7,0.0,1010
01/01/2016,09:00,57,4.7,15.1,1.3,27.6,51.9,0.0,1009
01/01/2016,10:00,44,5.8,14.9,1.2,27.9,52.2,0.0,1009
01/01/2016,11:00,44,5.8,14.7,1.3,28.1,51.6,0.0,1008
01/01/2016,12:00,39,5.7,16.1,1.1,28.1,51.0,0.0,1008
01/01/2016,13:00,38,5.7,14.5,1.3,28.1,51.3,0.0,1007
01/01/2016,14:00,39,5.5,15.2,1.4,27.9,54.2,0.0,1006
01/01/2016,15:00,40,5.2,18.2,1.2,27.4,56.7,0.3,1006
01/01/2016,16:00,38,5.3,15.6,1.3,27.3,57.3,0.0,1006
01/01/2016,17:00,41,4.9,13.5,0.9,27.1,59.7,0.0,1006
01/01/2016,18:00,49,4.6,10.2,0.7,26.7,59.9,0.0,1007
01/01/2016,19:00,44,3.5,6.5,0.5,26.4,56.1,0.0,1007
01/01/2016,20:00,36,2.9,5.4,0.3,26.1,56.7,0.0,1008
01/01/2016,21:00,36,2.7,4.7,0.3,26.0,56.8,0.0,1009
01/01/2016,22:00,50,2.7,7.4,0.3,25.7,59.4,0.0,1008
01/01/2016,23:00,54,3.1,5.7,0.5,25.6,61.9,0.0,1008
02/01/2016,00:00,40,2.4,7.6,0.3,25.4,64.1,0.0,1007
02/01/2016,01:00,34,2.3,10.5,0.2,25.2,65.2,0.0,1007
02/01/2016,02:00,41,2.2,12.7,0.4,25.1,66.5,0.0,1006
02/01/2016,03:00,34,1.7,15.9,0.6,25.3,65.9,0.0,1006
02/01/2016,04:00,46,1.6,17.3,0.5,25.1,67.0,0.0,1006
02/01/2016,05:00,34,2.2,7.4,0.3,25.5,65.8,0.0,1007
02/01/2016,06:00,28,2.9,8.1,0.7,26.2,63.6,0.0,1007
02/01/2016,07:00,31,3.3,14.6,0.8,27.0,59.2,0.0,1007
02/01/2016,08:00,35,4.0,15.4,1.0,27.4,56.8,0.0,1008
02/01/2016,09:00,41,4.5,16.0,1.0,27.3,57.6,0.0,1008
02/01/2016,10:00,44,4.5,21.1,1.2,27.9,54.9,0.0,1007
02/01/2016,11:00,34,5.2,16.6,1.4,28.2,54.1,0.0,1007
02/01/2016,12:00,28,5.3,16.2,1.3,28.1,55.5,0.0,1006
02/01/2016,13:00,24,5.3,17.9,1.0,28.0,56.8,0.0,1005
02/01/2016,14:00,37,5.7,18.8,1.3,28.0,55.8,0.0,1004
02/01/2016,15:00,31,5.8,16.6,1.3,27.7,57.8,0.0,1004
02/01/2016,16:00,26,5.5,14.4,1.1,27.5,60.5,0.0,1004
02/01/2016,17:00,38,5.6,9.6,0.9,27.2,61.9,0.0,1004
02/01/2016,18:00,43,4.9,6.9,0.9,26.9,65.1,0.0,1004
02/01/2016,19:00,42,5.0,7.2,0.7,26.7,66.7,0.0,1004
02/01/2016,20:00,42,4.5,5.7,0.8,26.7,66.9,0.0,1005
02/01/2016,21:00,42,4.4,6.6,0.6,26.7,66.2,0.0,1005
02/01/2016,22:00,43,4.6,4.8,0.6,26.7,64.1,0.0,1005
02/01/2016,23:00,40,4.9,5.7,0.8,26.7,66.4,0.0,1004
03/01/2016,00:00,49,5.3,6.1,0.8,26.8,71.1,0.0,1003
03/01/2016,01:00,48,5.9,6.7,0.8,26.7,72.6,0.0,1002
03/01/2016,02:00,55,7.1,7.0,1.4,25.9,78.8,0.1,1001
03/01/2016,03:00,53,7.5,8.4,1.8,25.5,84.7,0.7,1001
03/01/2016,04:00,27,6.2,22.5,2.5,26.2,82.3,0.5,1001
03/01/2016,05:00,29,6.8,8.5,1.1,26.3,82.4,0.0,1002
03/01/2016,06:00,250,2.8,85.4,3.2,24.7,83.8,1.3,1003
03/01/2016,07:00,231,4.2,39.1,2.3,22.2,87.6,20.2,1003
03/01/2016,08:00,216,3.0,41.2,1.3,23.2,87.0,9.2,1003
03/01/2016,09:00,204,2.2,48.0,1.5,23.9,89.2,27.2,1003
