Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),Carbon Monoxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,164,2.2,13.5,0.6,22.8,65.0,,,,,,17.0,4.6,
01/01/2016,01:00,172,2.3,13.0,0.6,22.5,66.2,0.000,0.000,0.000,0.000,0.0,21.1,9.0,16
01/01/2016,02:00,180,1.9,13.4,0.6,22.1,67.6,0.000,0.000,0.000,0.000,0.0,16.9,3.9,18
01/01/2016,03:00,178,2.0,11.5,0.5,21.9,69.0,0.000,0.000,0.000,0.000,0.0,16.8,4.4,21
01/01/2016,04:00,171,2.0,13.5,0.6,21.7,71.2,0.000,0.000,0.000,0.000,0.1,20.6,6.7,24
01/01/2016,05:00,164,2.0,13.3,0.5,21.8,72.4,0.000,0.000,0.000,0.000,0.1,18.6,4.2,25
01/01/2016,06:00,163,2.1,19.4,0.8,24.3,65.1,0.000,0.000,0.000,0.000,0.1,21.9,6.1,26
01/01/2016,07:00,152,2.9,16.6,1.0,26.6,54.9,0.000,0.000,0.000,0.000,0.1,24.3,8.7,22
01/01/2016,08:00,142,2.3,22.7,0.9,28.7,48.0,0.000,0.000,0.000,0.000,0.1,23.9,10.0,17
01/01/2016,09:00,100,1.7,52.0,0.9,29.1,47.4,0.000,0.000,0.000,0.000,0.1,20.9,6.5,15
01/01/2016,10:00,48,3.1,19.3,0.9,27.7,53.3,0.001,0.000,0.001,0.001,0.1,24.0,8.1,16
01/01/2016,11:00,57,3.6,17.3,1.2,27.8,56.1,0.000,0.001,0.001,0.000,0.1,23.8,7.3,17
01/01/2016,12:00,59,4.1,13.9,1.2,27.7,56.2,0.000,0.000,0.000,0.000,0.1,16.4,-1.9,16
01/01/2016,13:00,67,4.1,18.3,1.3,28.1,55.4,0.000,0.000,0.000,0.000,0.1,20.4,4.6,16
01/01/2016,14:00,60,3.9,17.4,1.2,28.1,55.0,0.000,0.000,0.000,0.000,0.1,15.3,0.8,15
01/01/2016,15:00,61,4.1,13.8,1.2,27.9,54.5,0.000,0.000,0.000,0.000,0.1,18.0,2.8,14
01/01/2016,16:00,59,3.4,18.2,1.1,27.8,57.6,0.000,0.000,0.000,0.000,0.1,18.7,3.3,16
01/01/2016,17:00,54,2.8,18.4,1.1,27.1,57.6,0.000,0.000,0.000,0.001,0.1,17.1,3.6,15
01/01/2016,18:00,53,2.5,19.3,0.9,26.3,58.7,0.000,0.000,0.000,0.000,0.1,13.2,1.9,13
01/01/2016,19:00,74,2.6,16.9,1.0,25.8,65.4,0.000,0.000,0.000,0.000,0.1,10.6,-0.7,18
01/01/2016,20:00,84,2.9,16.3,1.0,25.5,70.9,0.000,0.000,0.000,0.000,0.1,13.9,-0.6,25
01/01/2016,21:00,86,2.7,18.0,1.0,25.4,70.5,0.000,0.000,0.000,0.000,0.1,22.5,4.9,28
01/01/2016,22:00,88,2.6,19.0,1.0,25.3,71.0,0.000,0.000,0.000,0.000,0.1,29.8,10.4,31
01/01/2016,23:00,87,2.7,17.6,1.0,25.3,70.6,0.000,0.000,0.000,0.000,0.1,26.1,5.6,32
02/01/2016,00:00,99,2.1,20.6,0.8,25.2,69.0,,,,,,29.3,8.6,
