Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,184,0.7,56.2,0.7,20.9,,,,17.1,
01/01/2016,01:00,192,0.4,89.5,0.5,20.0,,,,17.0,18
01/01/2016,02:00,196,0.4,85.9,0.6,19.7,,,,18.0,20
01/01/2016,03:00,190,0.4,80.9,0.5,19.3,,,,17.1,18
01/01/2016,04:00,180,0.4,87.5,0.5,19.0,,,,15.8,15
01/01/2016,05:00,177,0.3,86.7,0.4,20.5,,,,17.6,15
01/01/2016,06:00,195,0.6,78.6,0.6,23.3,,,,19.1,14
01/01/2016,07:00,183,0.8,73.0,0.8,26.2,,,,21.3,13
01/01/2016,08:00,189,1.9,36.5,1.1,26.7,,,,18.6,13
01/01/2016,09:00,192,1.6,41.3,1.0,27.1,,,,22.0,13
01/01/2016,10:00,184,1.2,57.0,1.0,28.2,,,,18.0,13
01/01/2016,11:00,182,1.1,55.8,0.8,29.4,,,,17.3,13
01/01/2016,12:00,161,0.8,75.7,0.9,30.5,,,,17.5,12
01/01/2016,13:00,165,0.9,67.8,0.8,31.3,,,,17.9,13
01/01/2016,14:00,146,0.4,114.5,0.8,33.0,,,,29.7,15
01/01/2016,15:00,117,1.8,47.1,1.1,29.6,,,,30.0,18
01/01/2016,16:00,126,1.8,48.9,1.2,27.3,,,,26.1,17
01/01/2016,17:00,119,1.5,43.8,0.9,25.0,,,,27.8,17
01/01/2016,18:00,120,1.4,40.3,0.7,23.7,,,,25.1,19
01/01/2016,19:00,112,1.2,45.9,0.7,22.6,,,,23.5,20
01/01/2016,20:00,112,1.1,43.9,0.6,22.0,,,,24.9,19
01/01/2016,21:00,124,0.8,53.8,0.6,21.4,,,,27.6,20
01/01/2016,22:00,137,0.8,47.8,0.5,20.6,,,,22.7,20
01/01/2016,23:00,172,0.7,49.8,0.5,20.4,,,,21.3,18
02/01/2016,00:00,175,0.3,85.0,0.4,20.2,,,,19.7,
02/01/2016,01:00,173,0.2,99.9,0.4,19.7,,,,17.0,17
02/01/2016,02:00,194,0.2,114.7,0.4,19.2,,,,18.3,17
02/01/2016,03:00,165,0.2,104.4,0.3,19.0,,,,18.1,17
02/01/2016,04:00,169,0.3,91.5,0.4,18.9,,,,18.6,17
02/01/2016,05:00,,0.0,145.4,0.3,19.6,,,,18.8,17
02/01/2016,06:00,173,0.6,70.4,0.5,23.4,,,,20.7,16
02/01/2016,07:00,178,0.8,64.1,0.6,26.1,,,,20.0,15
02/01/2016,08:00,171,0.7,66.5,0.5,28.6,,,,18.2,15
02/01/2016,09:00,173,0.3,111.9,0.5,29.8,,,,17.7,15
02/01/2016,10:00,311,0.1,132.5,0.6,31.1,,,,13.6,15
02/01/2016,11:00,119,0.4,101.4,0.6,31.7,,,,26.5,16
02/01/2016,12:00,50,1.3,55.6,0.9,29.9,,,,27.9,17
02/01/2016,13:00,63,1.5,48.7,0.9,30.7,,,,30.7,17
02/01/2016,14:00,48,1.5,55.2,1.0,29.8,,,,35.0,18
02/01/2016,15:00,44,1.4,57.0,1.1,29.6,,,,22.7,16
02/01/2016,16:00,71,1.4,49.9,0.9,27.1,,,,22.4,16
02/01/2016,17:00,83,1.3,49.7,0.9,25.2,,,,34.1,17
02/01/2016,18:00,101,1.4,43.5,0.7,24.0,,,,23.8,17
02/01/2016,19:00,106,1.1,47.6,0.5,22.9,,,,20.8,18
02/01/2016,20:00,97,1.1,41.1,0.5,22.6,,,,22.5,18
02/01/2016,21:00,107,1.0,41.6,0.5,22.4,,,,23.5,21
02/01/2016,22:00,115,1.0,43.3,0.5,22.1,,,,20.0,23
02/01/2016,23:00,135,0.9,43.0,0.6,22.0,,,,23.8,37
03/01/2016,00:00,120,1.0,38.0,0.5,22.1,,,,17.8,
03/01/2016,01:00,145,0.9,44.6,0.5,21.9,,,,16.5,17
03/01/2016,02:00,184,1.1,33.9,0.7,21.4,,,,16.1,16
03/01/2016,03:00,184,0.8,39.9,0.5,21.1,,,,15.6,16
03/01/2016,04:00,184,0.5,66.0,0.5,21.1,,,,20.5,18
03/01/2016,05:00,173,0.5,73.6,0.5,20.7,,,,21.1,19
03/01/2016,06:00,170,0.5,74.1,0.5,21.3,,,,19.6,18
03/01/2016,07:00,193,0.5,73.5,0.5,21.7,,,,22.7,19
03/01/2016,08:00,150,0.2,113.2,0.4,23.6,,,,17.5,18
03/01/2016,09:00,166,0.5,78.5,0.5,25.6,,,,19.8,17
03/01/2016,10:00,159,1.0,54.3,0.7,28.0,,,,20.2,16
03/01/2016,11:00,100,1.0,59.5,0.7,27.8,,,,13.4,16
03/01/2016,12:00,128,1.0,54.8,0.7,28.0,,,,14.9,14
03/01/2016,13:00,109,0.9,63.7,0.7,28.1,,,,19.8,14
03/01/2016,14:00,85,1.2,46.2,0.8,27.2,,,,17.7,14
03/01/2016,15:00,109,1.2,49.5,0.7,26.9,,,,15.6,13
03/01/2016,16:00,153,1.5,47.6,0.9,25.5,,,,14.1,12
03/01/2016,17:00,147,1.8,41.0,1.0,24.0,,,,18.2,16
03/01/2016,18:00,155,1.7,42.0,0.9,22.8,,,,16.6,11
03/01/2016,19:00,180,1.3,40.6,0.8,22.1,,,,14.1,13
03/01/2016,20:00,189,1.0,65.1,0.9,21.3,,,,11.5,13
03/01/2016,21:00,196,1.1,50.1,0.8,20.4,,,,,11
03/01/2016,22:00,195,1.0,45.7,0.7,19.7,,,,6.0,8
03/01/2016,23:00,172,0.8,53.7,0.5,19.5,,,,6.3,8
04/01/2016,00:00,190,1.3,31.8,0.7,19.1,,,,1.6,
04/01/2016,01:00,182,0.4,80.0,0.5,19.0,,,,8.7,7
04/01/2016,02:00,194,0.7,67.2,0.6,18.4,,,,,6
04/01/2016,03:00,202,0.6,72.4,0.5,18.0,,,,3.1,5
04/01/2016,04:00,204,0.7,58.0,0.6,18.1,,,,6.2,5
04/01/2016,05:00,185,0.5,71.8,0.5,18.5,,,,6.4,5
04/01/2016,06:00,193,0.8,59.9,0.6,20.0,,,,6.4,5
04/01/2016,07:00,191,0.8,62.4,0.6,22.0,,,,14.5,7
