Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3),PM2.5 (ug/m^3),TSP (ug/m^3)
01/01/2016,00:00,225,1.7,11.9,0.5,21.1,59.4,0.0,1013,14.5,6.3,23.4
01/01/2016,01:00,241,2.0,8.7,0.5,20.7,59.1,0.0,1012,19.4,9.2,15.3
01/01/2016,02:00,241,2.4,10.9,0.6,20.3,60.4,0.0,1011,19.7,5.9,20.1
01/01/2016,03:00,246,2.3,14.3,0.6,19.8,62.2,0.0,1011,16.0,6.0,19.9
01/01/2016,04:00,240,1.6,16.5,0.4,19.4,64.7,0.0,1012,16.5,5.1,23.7
01/01/2016,05:00,245,1.8,13.8,0.6,19.8,64.1,0.0,1012,15.0,4.2,21.5
01/01/2016,06:00,241,2.7,12.1,0.6,21.2,59.8,0.0,1012,21.2,7.4,25.5
01/01/2016,07:00,233,2.8,17.8,0.9,23.1,53.8,0.0,1012,15.7,5.6,28.9
01/01/2016,08:00,206,2.4,30.2,1.0,24.4,48.8,0.0,1012,14.2,4.5,24.6
01/01/2016,09:00,203,2.2,34.1,0.9,25.2,46.1,0.0,1012,20.4,4.7,29.6
01/01/2016,10:00,227,2.3,30.3,0.9,25.6,43.8,0.0,1012,25.2,10.1,21.2
01/01/2016,11:00,217,1.6,47.9,0.9,26.8,38.9,0.0,1011,21.4,9.0,23.4
01/01/2016,12:00,161,1.8,40.8,0.9,27.7,37.2,0.0,1010,25.6,12.4,31.4
01/01/2016,13:00,144,1.9,37.2,1.0,28.1,36.6,0.0,1010,33.6,20.6,35.1
01/01/2016,14:00,122,3.1,22.4,1.2,27.8,43.7,0.0,1009,27.1,14.4,47.1
01/01/2016,15:00,119,3.8,23.3,1.2,27.6,42.5,0.0,1009,24.9,10.9,32.5
01/01/2016,16:00,126,3.9,18.6,1.3,26.9,42.7,0.0,1009,24.8,11.8,34.3
01/01/2016,17:00,141,2.8,22.9,1.1,25.6,46.0,0.0,1009,25.3,10.5,35.3
01/01/2016,18:00,133,2.5,20.6,1.0,24.5,48.4,0.0,1010,17.0,3.6,49.1
01/01/2016,19:00,136,1.9,22.5,0.9,23.6,51.1,0.0,1010,12.7,-0.1,31.0
01/01/2016,20:00,137,1.8,20.6,0.8,23.0,54.1,0.0,1011,15.6,2.8,31.6
01/01/2016,21:00,150,1.2,24.3,0.6,22.3,56.9,0.0,1011,16.6,3.9,37.9
01/01/2016,22:00,159,1.2,29.0,0.6,21.6,58.9,0.0,1011,14.0,1.0,29.3
01/01/2016,23:00,230,0.7,26.0,0.4,20.9,60.2,0.0,1011,15.4,5.6,23.9
02/01/2016,00:00,233,0.9,15.6,0.4,20.2,62.8,0.0,1010,15.3,4.6,26.2
02/01/2016,01:00,246,1.6,8.9,0.3,19.9,63.3,0.0,1010,15.3,3.3,20.4
02/01/2016,02:00,247,1.5,15.2,0.5,19.4,64.3,0.0,1009,16.6,7.5,19.4
02/01/2016,03:00,246,1.2,33.1,0.7,19.0,67.3,0.0,1009,19.4,10.1,23.6
02/01/2016,04:00,245,1.6,11.4,0.5,18.7,69.3,0.0,1010,16.6,7.2,23.3
02/01/2016,05:00,239,1.5,9.7,0.4,18.8,69.4,0.0,1010,16.2,5.0,23.7
02/01/2016,06:00,231,1.6,19.7,0.5,20.6,63.2,0.0,1010,21.8,12.4,26.9
02/01/2016,07:00,231,1.8,29.6,0.8,22.9,55.0,0.0,1011,15.4,8.1,23.8
02/01/2016,08:00,209,1.0,61.2,0.7,24.5,48.1,0.0,1010,17.2,7.4,21.5
02/01/2016,09:00,160,0.3,109.4,0.7,25.9,41.0,0.0,1010,18.2,5.0,17.2
02/01/2016,10:00,33,0.7,134.6,0.8,27.1,39.4,0.0,1010,23.0,11.5,33.2
02/01/2016,11:00,71,2.4,33.1,1.1,27.3,41.5,0.0,1009,27.6,16.8,37.4
02/01/2016,12:00,94,3.1,20.9,1.1,27.2,40.5,0.0,1008,29.6,17.9,26.6
02/01/2016,13:00,89,3.5,15.9,0.9,26.7,44.8,0.0,1008,26.7,14.2,48.7
02/01/2016,14:00,89,3.7,19.8,1.1,27.0,45.3,0.0,1007,25.3,10.2,32.4
02/01/2016,15:00,89,3.6,19.3,1.0,27.0,43.7,0.0,1007,21.3,5.9,26.4
02/01/2016,16:00,101,3.4,15.7,0.9,26.5,45.2,0.0,1007,18.9,4.3,31.6
02/01/2016,17:00,108,3.2,16.3,0.9,25.4,51.5,0.0,1007,20.9,8.3,47.8
