Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,150,2.0,18.3,0.8,22.9,55.4,0.0,1010,,,,,20.6,6.6,
01/01/2016,01:00,173,1.6,20.2,0.6,22.4,57.2,0.0,1009,0.001,0.001,0.002,0.000,20.0,6.9,17
01/01/2016,02:00,179,1.8,11.2,0.5,21.9,59.0,0.0,1009,0.001,0.001,0.002,0.000,21.6,7.9,17
01/01/2016,03:00,169,2.0,15.0,0.6,21.6,60.3,0.0,1009,0.001,0.001,0.002,0.000,17.6,3.9,20
01/01/2016,04:00,158,2.6,13.7,0.8,21.9,61.5,0.0,1009,0.002,0.001,0.003,0.000,15.1,0.6,21
01/01/2016,05:00,172,2.0,17.0,0.7,21.7,62.7,0.0,1009,0.002,0.001,0.002,0.000,17.1,2.0,22
01/01/2016,06:00,163,2.0,25.5,0.8,22.3,61.6,0.0,1010,0.002,0.001,0.003,0.000,19.6,3.9,23
01/01/2016,07:00,145,3.5,14.8,0.9,23.6,55.2,0.0,1010,0.003,0.001,0.004,0.000,21.5,5.4,19
01/01/2016,08:00,118,3.5,22.3,1.1,25.2,47.3,0.0,1010,0.002,0.001,0.003,0.001,20.4,4.5,14
01/01/2016,09:00,117,2.7,44.4,1.5,26.3,44.2,0.0,1010,0.002,0.001,0.003,0.002,18.9,3.8,13
01/01/2016,10:00,53,3.6,29.6,1.3,26.8,42.3,0.0,1009,0.005,0.004,0.009,0.005,23.8,9.3,13
01/01/2016,11:00,42,4.8,16.8,1.1,27.2,41.8,0.0,1008,0.003,0.004,0.007,0.003,22.6,7.5,14
01/01/2016,12:00,38,5.2,17.6,1.0,27.2,44.4,0.0,1008,0.001,0.002,0.003,0.001,18.3,0.7,15
01/01/2016,13:00,67,5.4,16.8,1.1,27.1,46.5,0.0,1007,0.000,0.001,0.001,0.001,22.2,6.4,16
01/01/2016,14:00,77,6.5,11.7,0.8,26.7,47.7,0.0,1006,0.000,0.001,0.001,0.001,20.2,6.4,16
01/01/2016,15:00,69,6.0,12.9,1.1,26.7,46.6,0.0,1006,0.000,0.001,0.001,0.001,14.2,2.1,12
01/01/2016,16:00,45,5.4,17.8,0.9,26.5,50.2,0.0,1006,0.001,0.001,0.002,0.001,16.2,4.0,13
01/01/2016,17:00,35,5.0,12.0,1.0,26.0,52.8,0.0,1007,0.000,0.001,0.001,0.001,16.2,4.0,14
01/01/2016,18:00,50,4.4,13.8,0.8,25.7,52.0,0.0,1008,0.000,0.001,0.001,0.001,15.9,4.3,14
01/01/2016,19:00,66,3.7,10.1,0.6,25.6,53.0,0.0,1008,0.001,0.001,0.002,0.000,16.9,5.2,15
01/01/2016,20:00,82,3.5,8.7,0.7,25.2,59.1,0.0,1009,0.001,0.001,0.002,0.001,13.2,1.1,19
01/01/2016,21:00,83,3.9,9.8,0.9,25.0,63.9,0.0,1009,0.001,0.002,0.003,0.001,19.0,2.3,24
01/01/2016,22:00,89,3.1,9.9,0.6,24.8,63.3,0.0,1009,0.002,0.002,0.003,0.001,17.5,-1.9,25
01/01/2016,23:00,84,3.3,11.8,0.7,24.7,63.5,0.0,1009,0.002,0.002,0.004,0.001,24.0,3.2,28
02/01/2016,00:00,81,3.6,10.2,0.7,24.7,63.0,0.0,1008,,,,,23.6,2.8,
02/01/2016,01:00,81,3.1,10.2,0.5,24.6,62.2,0.0,1008,0.002,0.001,0.003,0.001,21.2,0.2,21
02/01/2016,02:00,119,2.7,23.2,0.8,24.1,63.1,0.0,1007,0.002,0.001,0.003,0.001,21.9,2.2,27
02/01/2016,03:00,152,1.9,12.0,0.6,22.7,69.2,0.0,1007,0.002,0.001,0.003,0.001,23.0,6.4,27
02/01/2016,04:00,151,1.6,12.0,0.6,22.1,69.0,0.0,1008,0.002,0.001,0.003,0.000,19.2,2.5,26
02/01/2016,05:00,156,1.1,14.3,0.3,21.8,68.8,0.0,1008,0.002,0.002,0.004,0.000,18.9,2.7,26
02/01/2016,06:00,147,1.8,14.9,0.5,23.5,61.3,0.0,1009,0.003,0.002,0.005,0.002,22.2,5.4,24
