Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm)
01/01/2016,00:00,186,2.1,16.9,0.7,,,,
01/01/2016,01:00,207,1.8,15.2,0.5,0.013,0.000,0.004,0.004
01/01/2016,02:00,203,2.2,12.9,0.7,0.012,0.000,0.004,0.004
01/01/2016,03:00,211,2.7,11.5,0.8,0.014,0.000,0.002,0.002
01/01/2016,04:00,221,1.8,13.4,0.6,0.013,0.000,0.003,0.003
01/01/2016,05:00,215,2.2,12.4,0.6,0.013,0.000,0.002,0.002
01/01/2016,06:00,208,2.8,13.8,0.8,0.015,0.000,0.002,0.002
01/01/2016,07:00,194,3.2,19.4,1.0,0.017,0.000,0.002,0.002
01/01/2016,08:00,174,3.1,23.9,1.2,0.020,0.000,0.002,0.002
01/01/2016,09:00,167,2.5,33.6,1.0,0.022,0.000,0.002,0.002
01/01/2016,10:00,156,2.5,27.9,1.2,0.023,0.000,0.002,0.002
01/01/2016,11:00,141,2.8,27.6,1.1,0.024,0.000,0.001,0.001
01/01/2016,12:00,110,2.6,29.1,1.3,0.025,0.000,0.001,0.001
01/01/2016,13:00,82,3.3,19.5,1.2,0.024,0.000,0.001,0.001
01/01/2016,14:00,99,3.4,21.9,1.4,0.024,0.000,0.001,0.001
01/01/2016,15:00,92,3.2,23.8,1.3,0.023,0.000,0.000,0.000
01/01/2016,16:00,101,3.4,23.3,1.3,0.023,0.000,0.001,0.001
01/01/2016,17:00,114,3.3,19.9,1.2,0.022,0.000,0.000,0.000
01/01/2016,18:00,126,3.2,17.2,1.1,0.022,0.000,0.001,0.001
01/01/2016,19:00,127,2.8,16.2,1.0,0.020,0.000,0.001,0.001
01/01/2016,20:00,126,2.7,16.3,1.0,0.020,0.000,0.001,0.001
01/01/2016,21:00,138,2.0,16.3,1.0,0.019,0.000,0.001,0.001
01/01/2016,22:00,175,1.1,31.8,0.5,0.017,0.000,0.002,0.002
01/01/2016,23:00,210,1.7,11.4,0.3,0.012,0.000,0.006,0.006
02/01/2016,00:00,210,1.9,9.4,0.4,,,,
02/01/2016,01:00,223,1.4,12.4,0.4,0.011,0.000,0.006,0.006
02/01/2016,02:00,227,1.4,9.9,0.3,0.010,0.000,0.005,0.005
02/01/2016,03:00,227,1.6,11.5,0.4,0.011,0.000,0.004,0.004
02/01/2016,04:00,229,1.6,11.1,0.4,0.011,0.000,0.004,0.004
02/01/2016,05:00,226,1.4,11.1,0.3,0.011,0.001,0.004,0.005
02/01/2016,06:00,201,2.2,19.1,0.7,0.014,0.001,0.004,0.004
02/01/2016,07:00,204,2.1,22.5,0.8,0.018,0.000,0.002,0.002
