Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,191,0.7,50.2,0.6,18.6,67.5,,,,,,,,13.5,
01/01/2016,01:00,266,0.4,47.0,0.3,17.6,72.6,,,0.005,0.004,0.010,0.013,0.001,14.6,18
01/01/2016,02:00,224,1.1,29.8,0.3,17.5,74.8,,,0.010,0.001,0.004,0.005,0.001,15.1,18
01/01/2016,03:00,194,1.7,16.2,0.6,19.1,67.6,,,0.015,0.001,0.001,0.002,0.001,12.4,15
01/01/2016,04:00,206,0.4,72.7,0.4,18.1,71.7,,,0.012,0.001,0.002,0.003,0.001,13.2,16
01/01/2016,05:00,238,0.3,87.1,0.5,17.7,75.1,,,0.008,0.002,0.005,0.006,0.001,17.0,17
01/01/2016,06:00,299,0.3,99.0,0.4,19.5,70.3,,,0.009,0.003,0.004,0.006,0.001,17.0,17
01/01/2016,07:00,211,1.8,30.5,1.0,23.1,54.1,,,0.016,0.001,0.000,0.001,0.000,13.0,15
01/01/2016,08:00,179,1.5,48.9,1.2,25.2,44.7,,,0.019,0.000,0.000,0.000,0.001,10.7,13
01/01/2016,09:00,138,1.3,44.5,0.9,26.4,40.8,,,0.020,0.001,0.001,0.001,0.001,19.5,14
01/01/2016,10:00,209,2.5,34.2,1.4,26.9,37.9,,,0.020,0.001,0.000,0.001,0.001,65.5,21
01/01/2016,11:00,201,1.4,55.6,1.2,28.1,35.0,,,0.020,0.000,0.001,0.001,0.000,15.6,12
01/01/2016,12:00,199,1.1,87.5,1.4,28.6,34.1,,,0.021,0.001,0.000,0.001,0.001,13.9,12
01/01/2016,13:00,135,0.8,72.1,1.0,29.8,31.8,,,0.022,0.001,0.000,0.001,0.001,15.7,12
01/01/2016,14:00,159,1.1,56.7,1.0,30.3,29.7,,,0.023,0.000,0.001,0.001,0.001,11.9,12
01/01/2016,15:00,136,0.8,59.2,0.7,30.2,29.2,,,0.023,0.001,0.000,0.001,0.001,11.9,11
01/01/2016,16:00,112,1.0,47.5,1.0,30.1,29.5,,,0.024,0.001,0.000,0.001,0.001,18.5,12
01/01/2016,17:00,74,3.0,16.9,1.0,27.7,41.1,,,0.027,0.001,0.003,0.004,0.001,41.0,20
01/01/2016,18:00,67,2.9,17.9,0.9,25.3,46.9,,,0.023,0.001,0.003,0.004,0.001,28.5,22
01/01/2016,19:00,66,2.4,14.4,0.7,23.7,51.1,,,0.019,0.001,0.003,0.004,0.001,26.0,24
01/01/2016,20:00,69,2.1,13.9,0.7,22.6,55.2,,,0.016,0.002,0.004,0.006,0.001,26.1,24
01/01/2016,21:00,64,1.0,20.4,0.4,21.5,58.4,,,0.014,0.001,0.006,0.007,0.001,24.8,26
01/01/2016,22:00,76,0.9,22.6,0.4,20.1,64.1,,,0.013,0.001,0.007,0.008,0.001,21.3,23
01/01/2016,23:00,88,0.7,34.7,0.4,19.1,69.3,,,0.008,0.002,0.010,0.011,0.001,20.7,24
02/01/2016,00:00,164,0.3,35.1,0.2,18.0,73.8,,,,,,,,17.1,
02/01/2016,01:00,210,0.1,70.6,0.1,17.6,75.8,,,0.005,0.001,0.009,0.010,0.001,17.0,21
02/01/2016,02:00,186,0.2,67.3,0.2,16.8,79.8,,,0.004,0.003,0.009,0.012,0.001,15.8,22
02/01/2016,03:00,219,0.7,32.0,0.4,16.7,80.5,,,0.007,0.001,0.006,0.007,0.001,18.0,22
02/01/2016,04:00,208,0.2,123.0,0.3,16.1,83.1,,,0.005,0.002,0.007,0.008,0.001,14.9,22
02/01/2016,05:00,311,0.1,98.3,0.2,16.0,83.7,,,0.002,0.010,0.007,0.017,0.001,16.1,21
02/01/2016,06:00,236,0.7,47.9,0.6,19.5,71.5,,,0.011,0.004,0.004,0.008,0.000,22.2,22
02/01/2016,07:00,246,1.3,29.8,0.5,22.2,61.8,,,0.017,0.002,0.001,0.003,0.001,22.6,21
02/01/2016,08:00,285,0.5,74.2,0.5,25.0,51.0,,,0.020,0.001,0.001,0.002,0.001,13.1,19
02/01/2016,09:00,299,0.5,92.2,0.6,26.6,41.3,,,0.023,0.001,0.002,0.003,0.001,8.4,15
02/01/2016,10:00,269,0.3,95.1,0.7,27.5,37.1,,,0.025,0.001,0.001,0.002,0.001,6.6,14
02/01/2016,11:00,258,0.6,115.3,0.9,29.4,31.8,,,0.027,0.001,0.001,0.002,0.001,11.0,14
02/01/2016,12:00,136,0.5,87.5,1.0,31.0,28.3,,,0.023,0.001,0.000,0.001,0.001,,12
02/01/2016,13:00,129,0.9,66.9,0.9,32.2,26.8,,,0.021,0.001,0.000,0.001,0.001,14.6,12
02/01/2016,14:00,75,2.1,56.7,1.9,32.1,28.2,,,0.030,0.001,0.002,0.002,0.001,26.1,15
02/01/2016,15:00,59,4.1,17.8,1.3,29.6,35.6,,,0.036,0.001,0.003,0.004,0.001,33.6,18
02/01/2016,16:00,73,3.9,17.9,1.3,28.4,40.1,,,0.030,0.002,0.003,0.005,0.001,33.6,18
02/01/2016,17:00,83,3.7,17.7,1.3,26.3,47.8,,,0.026,0.002,0.004,0.005,0.001,36.0,22
02/01/2016,18:00,82,3.5,17.8,1.2,24.6,55.2,,,0.023,0.002,0.003,0.005,0.001,28.7,23
02/01/2016,19:00,79,3.1,16.3,1.1,23.5,59.4,,,0.019,0.001,0.003,0.004,0.001,25.4,24
02/01/2016,20:00,76,2.7,15.1,0.9,22.9,62.5,,,0.019,0.001,0.003,0.004,0.001,24.8,23
02/01/2016,21:00,79,2.3,17.3,0.8,22.7,64.2,,,0.017,0.001,0.004,0.005,0.001,23.6,25
02/01/2016,22:00,82,2.2,17.1,0.8,22.3,64.0,,,0.018,0.001,0.003,0.004,0.001,17.6,23
02/01/2016,23:00,109,0.7,31.3,0.5,22.0,64.5,,,0.017,0.000,0.003,0.003,0.001,17.6,22
03/01/2016,00:00,189,0.3,72.9,0.3,21.9,64.5,,,,,,,,18.7,
03/01/2016,01:00,193,0.6,27.9,0.4,21.9,64.6,,,0.016,0.001,0.002,0.003,0.001,20.2,24
03/01/2016,02:00,144,0.4,41.5,0.3,21.5,66.9,,,0.015,0.000,0.002,0.002,0.001,18.6,24
03/01/2016,03:00,170,0.3,39.6,0.3,21.1,68.5,,,0.013,0.000,0.003,0.003,0.001,18.6,22
03/01/2016,04:00,129,0.3,47.2,0.2,20.9,69.5,,,0.014,0.000,0.003,0.003,0.001,17.3,21
03/01/2016,05:00,190,0.8,18.6,0.4,20.6,71.7,,,0.012,0.001,0.003,0.003,0.001,19.5,20
03/01/2016,06:00,180,0.7,31.5,0.4,20.9,72.2,,,0.013,0.001,0.001,0.002,0.001,17.8,20
03/01/2016,07:00,151,0.6,33.0,0.4,21.6,71.0,,,0.015,0.001,0.001,0.002,0.001,16.7,18
03/01/2016,08:00,137,0.9,40.9,0.6,23.3,62.0,,,0.017,0.001,0.001,0.001,0.001,13.0,16
03/01/2016,09:00,86,0.8,41.1,0.5,23.8,61.1,,,0.018,0.001,0.001,0.002,0.001,15.8,16
03/01/2016,10:00,97,0.9,44.5,0.6,24.8,58.9,,,0.018,0.001,0.001,0.002,0.001,19.4,16
