Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3),PM2.5 (ug/m^3),TSP (ug/m^3)
01/01/2016,00:00,85,3.9,6.5,0.7,18.4,63.8,0.0,968,,,12.0
01/01/2016,01:00,87,3.9,5.8,0.8,17.6,66.4,0.0,968,,,12.6
01/01/2016,02:00,82,2.5,7.3,0.7,17.0,70.9,0.0,968,,,14.5
01/01/2016,03:00,84,1.2,51.7,0.8,16.0,75.8,0.0,967,,,13.4
01/01/2016,04:00,76,1.7,15.6,0.4,15.3,78.2,0.0,968,,,10.0
01/01/2016,05:00,68,0.7,158.0,0.7,15.7,75.9,0.0,968,,,15.7
01/01/2016,06:00,344,0.8,148.3,0.4,17.9,65.9,0.0,968,,,15.5
01/01/2016,07:00,112,1.0,137.5,1.2,19.4,58.5,0.0,969,,,27.6
01/01/2016,08:00,78,2.5,38.4,1.2,20.8,53.4,0.0,969,,,21.6
01/01/2016,09:00,90,2.6,36.6,1.4,22.2,48.0,0.0,969,,,19.5
01/01/2016,10:00,96,3.0,25.5,1.3,23.3,44.0,0.0,968,,,19.9
01/01/2016,11:00,94,3.1,23.6,1.3,24.6,39.6,0.0,967,,,18.0
01/01/2016,12:00,100,2.8,38.0,1.3,26.1,34.8,0.0,966,,,17.2
01/01/2016,13:00,88,3.0,37.0,1.4,27.2,32.3,0.0,965,,,22.5
01/01/2016,14:00,90,3.2,16.8,1.2,28.1,29.4,0.0,964,,,15.1
01/01/2016,15:00,77,2.9,26.9,1.1,28.6,28.5,0.0,964,,,23.7
01/01/2016,16:00,73,3.4,13.6,1.1,28.8,29.2,0.0,964,,,24.6
01/01/2016,17:00,63,3.9,22.6,1.2,28.6,30.6,0.0,964,,,29.4
01/01/2016,18:00,68,3.1,12.0,1.0,26.9,36.3,0.0,965,,,38.1
01/01/2016,19:00,74,3.7,9.0,0.6,24.2,44.1,0.0,965,,,44.3
01/01/2016,20:00,72,3.1,14.8,0.7,22.7,49.4,0.0,966,,,27.6
01/01/2016,21:00,71,3.8,8.9,1.1,21.1,58.8,0.0,966,,,32.9
