Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa)
01/01/2016,00:00,199,2.3,17.8,0.8,18.8,68.2,0.0,1002
01/01/2016,01:00,194,2.4,17.5,0.8,18.8,68.3,0.0,1001
01/01/2016,02:00,193,2.6,17.8,1.1,19.1,68.2,0.0,1001
01/01/2016,03:00,198,2.4,16.0,0.9,18.9,69.4,0.0,1001
01/01/2016,04:00,201,2.5,11.9,0.8,18.7,69.6,0.0,1001
01/01/2016,05:00,193,2.3,11.3,0.6,18.6,70.3,0.0,1001
01/01/2016,06:00,191,2.7,16.8,1.0,20.1,66.0,0.0,1001
01/01/2016,07:00,188,3.2,21.4,1.4,21.6,57.6,0.0,1002
01/01/2016,08:00,196,3.3,19.4,1.2,22.6,52.1,0.0,1002
01/01/2016,09:00,198,3.3,24.6,1.4,23.5,50.8,0.0,1001
01/01/2016,10:00,196,3.0,25.7,1.2,24.0,49.3,0.0,1001
01/01/2016,11:00,200,2.7,24.7,1.1,25.1,46.0,0.0,1001
01/01/2016,12:00,187,2.8,29.1,1.2,25.8,43.3,0.0,1000
01/01/2016,13:00,199,3.2,22.9,1.2,26.5,41.6,0.0,999
01/01/2016,14:00,187,2.3,32.6,1.2,27.0,39.9,0.0,998
01/01/2016,15:00,197,2.5,30.7,1.3,27.5,39.0,0.0,998
01/01/2016,16:00,196,2.5,25.8,1.2,27.5,37.6,0.0,998
01/01/2016,17:00,205,2.4,17.3,1.0,26.7,39.5,0.0,998
01/01/2016,18:00,188,1.4,47.5,0.9,25.1,43.9,0.0,999
01/01/2016,19:00,11,1.3,170.4,0.7,23.0,55.5,0.0,999
01/01/2016,20:00,198,1.4,31.7,0.8,21.5,60.3,0.0,1000
01/01/2016,21:00,180,1.7,27.1,0.7,20.6,62.6,0.0,1001
01/01/2016,22:00,177,1.5,25.8,0.7,19.8,65.2,0.0,1001
01/01/2016,23:00,189,0.9,48.4,0.6,18.6,70.9,0.0,1000
02/01/2016,00:00,199,1.4,18.1,0.5,18.3,72.6,0.0,1000
02/01/2016,01:00,201,1.0,17.4,0.3,18.6,73.0,0.0,999
02/01/2016,02:00,190,1.2,26.1,0.5,19.1,71.6,0.0,998
02/01/2016,03:00,194,0.9,52.0,0.7,18.6,73.9,0.0,998
02/01/2016,04:00,133,0.2,121.2,0.3,18.5,74.3,0.0,999
02/01/2016,05:00,177,0.3,94.2,0.5,17.2,80.5,0.0,999
02/01/2016,06:00,174,0.5,67.4,0.5,19.6,71.1,0.0,1000
02/01/2016,07:00,158,1.5,39.3,1.0,21.4,61.4,0.0,1000
02/01/2016,08:00,131,1.8,32.4,0.8,22.6,54.3,0.0,1000
02/01/2016,09:00,139,1.0,60.7,0.8,24.1,44.5,0.0,999
02/01/2016,10:00,320,0.5,70.8,0.6,25.8,41.6,0.0,999
02/01/2016,11:00,322,0.5,146.9,0.7,26.7,40.1,0.0,998
02/01/2016,12:00,175,0.7,76.1,0.9,27.3,33.8,0.0,997
02/01/2016,13:00,121,1.3,57.7,1.0,27.9,31.9,0.0,996
02/01/2016,14:00,108,1.4,53.1,1.1,28.7,30.9,0.0,995
02/01/2016,15:00,66,2.2,20.3,1.0,27.5,43.7,0.0,995
02/01/2016,16:00,63,2.1,20.3,1.0,26.4,49.0,0.0,995
02/01/2016,17:00,56,1.7,17.5,0.8,25.3,53.0,0.0,996
02/01/2016,18:00,48,1.4,19.8,0.7,23.6,58.5,0.0,997
02/01/2016,19:00,31,0.9,22.2,0.5,22.3,63.7,0.0,998
02/01/2016,20:00,35,0.6,155.3,0.4,21.8,66.1,0.0,998
02/01/2016,21:00,99,0.4,64.0,0.4,21.4,65.9,0.0,999
02/01/2016,22:00,185,1.2,30.7,0.6,20.6,71.1,0.0,998
02/01/2016,23:00,206,0.9,27.4,0.4,20.4,67.7,0.0,999
03/01/2016,00:00,196,0.9,29.6,0.3,20.0,69.0,0.0,998
03/01/2016,01:00,198,1.1,20.3,0.4,20.1,68.3,0.0,998
03/01/2016,02:00,192,1.8,16.6,0.7,20.1,69.1,0.0,998
03/01/2016,03:00,204,1.4,22.0,0.6,19.7,71.3,0.0,997
03/01/2016,04:00,204,1.9,12.3,0.5,19.6,71.7,0.0,998
03/01/2016,05:00,195,1.5,15.8,0.5,19.5,72.6,0.0,998
03/01/2016,06:00,197,1.4,13.8,0.4,19.6,73.7,0.0,999
03/01/2016,07:00,195,2.2,16.8,0.7,19.7,75.3,0.0,999
03/01/2016,08:00,205,2.3,17.6,0.9,21.1,71.3,0.0,999
03/01/2016,09:00,195,1.8,27.3,0.8,22.4,65.0,0.0,999
03/01/2016,10:00,195,1.9,24.7,0.8,22.9,62.2,0.0,999
03/01/2016,11:00,174,1.3,36.4,0.7,23.4,61.2,0.0,999
03/01/2016,12:00,188,1.9,27.5,0.9,22.8,67.0,0.0,999
03/01/2016,13:00,186,2.4,25.0,1.0,22.3,72.6,0.0,998
03/01/2016,14:00,201,2.6,19.8,1.1,23.1,68.3,0.0,998
03/01/2016,15:00,184,2.2,26.6,1.1,22.7,71.3,0.6,998
03/01/2016,16:00,188,2.0,20.3,0.8,20.3,85.9,0.0,998
03/01/2016,17:00,198,2.1,16.0,0.7,19.8,87.3,0.3,999
03/01/2016,18:00,192,1.4,22.7,0.6,19.5,88.1,0.2,999
03/01/2016,19:00,200,2.0,15.1,0.6,19.3,87.0,0.0,1000
03/01/2016,20:00,200,2.4,13.0,0.6,19.3,86.6,0.7,1001
03/01/2016,21:00,202,2.5,23.1,0.9,18.8,87.1,1.3,1001
03/01/2016,22:00,188,2.1,17.4,0.7,18.2,86.9,0.1,1000
03/01/2016,23:00,203,2.0,22.1,0.6,17.9,85.8,0.0,1000
04/01/2016,00:00,208,2.6,19.7,0.8,17.6,86.9,0.0,1000
04/01/2016,01:00,204,2.1,18.3,0.8,17.8,84.5,0.0,999
04/01/2016,02:00,208,2.3,14.7,0.5,17.5,85.5,0.0,999
04/01/2016,03:00,206,2.5,22.1,0.7,17.5,85.2,0.0,999
04/01/2016,04:00,196,2.9,13.5,0.8,17.7,82.9,0.0,999
04/01/2016,05:00,192,2.6,13.4,0.8,18.0,81.6,0.0,999
04/01/2016,06:00,190,2.9,13.8,0.9,18.5,80.3,0.0,1000
04/01/2016,07:00,197,3.4,14.6,1.1,19.9,76.1,0.0,1000
04/01/2016,08:00,202,3.4,14.3,1.1,21.2,72.0,0.0,1000
04/01/2016,09:00,197,1.8,23.2,0.9,22.3,69.5,0.0,1000
04/01/2016,10:00,169,2.0,28.1,1.0,24.1,64.0,0.0,1000
04/01/2016,11:00,173,1.4,46.4,0.8,25.5,59.3,0.0,999
04/01/2016,12:00,177,2.2,38.8,1.3,26.0,58.4,0.0,998
04/01/2016,13:00,169,1.6,34.9,0.9,24.4,67.2,0.0,998
04/01/2016,14:00,172,1.8,27.5,0.9,24.6,66.4,0.0,998
04/01/2016,15:00,146,1.6,26.7,0.7,23.9,70.3,0.0,998
04/01/2016,16:00,128,2.0,22.6,0.9,23.5,74.6,0.0,998
04/01/2016,17:00,171,1.6,26.3,0.8,22.9,76.1,0.0,998
04/01/2016,18:00,185,1.1,29.6,0.4,21.9,82.4,0.0,999
04/01/2016,19:00,190,0.3,90.8,0.4,21.5,84.2,0.0,1000
04/01/2016,20:00,245,0.3,87.9,0.3,21.5,85.1,0.0,1000
04/01/2016,21:00,210,0.8,42.3,0.5,21.4,85.6,0.0,1000
04/01/2016,22:00,173,1.3,24.5,0.6,21.0,89.0,0.1,1000
04/01/2016,23:00,181,1.3,23.7,0.5,20.8,90.2,0.2,1000
05/01/2016,00:00,136,0.2,83.4,0.4,20.8,90.8,0.0,999
05/01/2016,01:00,329,0.6,77.7,0.5,20.7,91.1,0.2,998
05/01/2016,02:00,187,1.0,29.1,0.4,20.6,91.3,0.2,997
05/01/2016,03:00,176,1.3,18.0,0.5,20.5,91.7,0.0,997
05/01/2016,04:00,176,1.1,28.5,0.5,20.5,91.9,0.0,997
05/01/2016,05:00,209,1.3,20.1,0.5,20.5,91.9,0.0,998
05/01/2016,06:00,280,1.1,67.0,0.7,20.3,91.3,0.1,998
05/01/2016,07:00,218,0.6,76.0,0.7,20.3,91.5,1.6,999
05/01/2016,08:00,174,0.3,94.8,0.4,20.4,91.4,0.5,999
05/01/2016,09:00,153,0.8,42.9,0.4,20.9,91.1,0.2,999
05/01/2016,10:00,49,0.9,27.9,0.5,21.3,89.3,0.1,998
05/01/2016,11:00,31,0.9,33.2,0.6,21.9,86.1,0.1,998
05/01/2016,12:00,42,1.2,27.2,0.6,22.6,80.6,0.0,997
05/01/2016,13:00,122,0.8,50.9,0.6,23.1,77.7,0.0,997
05/01/2016,14:00,89,1.3,36.0,0.7,22.6,80.0,0.1,996
05/01/2016,15:00,96,1.1,32.2,0.7,22.3,82.4,0.1,995
05/01/2016,16:00,16,1.4,25.8,0.6,21.9,85.0,0.0,995
05/01/2016,17:00,12,1.5,177.0,0.8,21.7,85.3,0.0,995
05/01/2016,18:00,28,0.2,87.0,0.3,21.5,86.9,0.0,995
05/01/2016,19:00,182,0.3,110.7,0.5,21.3,88.8,0.2,996
05/01/2016,20:00,177,0.4,56.1,0.3,21.1,90.6,0.0,996
05/01/2016,21:00,195,1.2,31.5,0.5,21.0,91.3,0.0,996
05/01/2016,22:00,177,1.0,19.9,0.5,20.9,91.8,0.0,996
05/01/2016,23:00,158,0.4,45.5,0.2,20.9,92.0,0.0,996
06/01/2016,00:00,170,0.5,32.2,0.2,20.9,92.1,0.0,995
06/01/2016,01:00,179,0.7,38.2,0.3,20.7,92.1,0.0,994
06/01/2016,02:00,175,1.7,21.8,0.7,20.5,92.1,0.0,992
06/01/2016,03:00,245,0.8,52.7,0.6,20.3,92.2,0.0,992
06/01/2016,04:00,256,0.8,58.9,0.6,20.2,91.9,0.0,992
06/01/2016,05:00,170,0.1,123.2,0.2,19.9,92.1,0.0,993
06/01/2016,06:00,190,0.8,33.6,0.4,20.5,91.6,0.0,994
06/01/2016,07:00,191,1.3,43.0,0.9,22.5,80.6,0.0,994
06/01/2016,08:00,172,1.2,45.4,0.7,24.5,69.1,0.0,994
06/01/2016,09:00,176,1.0,53.0,0.7,26.1,59.5,0.0,994
06/01/2016,10:00,356,0.8,160.4,0.7,27.5,55.7,0.0,994
06/01/2016,11:00,296,0.9,67.5,0.9,28.5,46.2,0.0,993
06/01/2016,12:00,257,1.1,62.8,1.1,29.5,44.3,0.0,993
06/01/2016,13:00,278,1.7,40.3,1.3,30.2,41.7,0.0,992
06/01/2016,14:00,265,2.5,29.3,1.3,30.5,40.7,0.0,992
06/01/2016,15:00,292,4.1,19.7,1.5,30.7,39.8,0.0,992
06/01/2016,16:00,280,4.2,19.0,1.5,30.5,38.5,0.0,992
06/01/2016,17:00,276,2.8,21.8,1.4,30.2,38.7,0.0,992
06/01/2016,18:00,278,1.4,23.5,1.0,29.1,41.4,0.0,993
06/01/2016,19:00,283,1.6,20.9,0.6,27.4,47.7,0.0,994
06/01/2016,20:00,339,0.8,57.8,0.6,25.7,60.8,0.0,995
06/01/2016,21:00,6,0.3,186.5,0.3,23.8,76.8,0.0,996
06/01/2016,22:00,345,0.9,39.8,0.5,23.1,82.1,0.0,996
06/01/2016,23:00,353,1.0,22.4,0.5,22.6,85.4,0.0,996
07/01/2016,00:00,210,0.4,94.8,0.5,22.0,87.8,0.0,996
07/01/2016,01:00,189,1.4,11.5,0.4,20.9,89.2,0.0,995
07/01/2016,02:00,178,1.3,14.1,0.3,20.3,89.2,0.0,995
07/01/2016,03:00,181,1.0,33.7,0.5,19.5,89.7,0.0,995
07/01/2016,04:00,179,1.1,21.7,0.4,19.0,89.6,0.0,996
07/01/2016,05:00,192,1.3,14.8,0.5,18.8,89.4,0.0,997
07/01/2016,06:00,162,1.0,31.7,0.5,20.8,80.4,0.0,997
07/01/2016,07:00,172,1.2,37.9,0.7,23.3,67.4,0.0,998
07/01/2016,08:00,162,1.7,38.6,1.0,25.2,52.6,0.0,998
07/01/2016,09:00,198,1.5,43.5,0.9,26.4,45.7,0.0,998
07/01/2016,10:00,43,0.6,160.6,0.8,27.5,42.1,0.0,998
07/01/2016,11:00,329,0.9,61.2,0.7,28.2,41.2,0.0,998
07/01/2016,12:00,27,0.6,165.4,0.7,28.8,40.0,0.0,998
07/01/2016,13:00,344,0.8,76.5,0.8,29.9,37.4,0.0,997
07/01/2016,14:00,29,1.0,57.3,0.9,29.8,39.0,0.0,997
07/01/2016,15:00,68,2.3,20.3,1.0,28.1,48.0,0.0,997
07/01/2016,16:00,64,2.5,16.7,1.0,27.7,47.9,0.0,997
07/01/2016,17:00,68,2.3,19.6,1.1,26.5,52.1,0.0,998
07/01/2016,18:00,61,1.5,31.0,0.9,24.8,58.0,0.6,1000
07/01/2016,19:00,33,1.1,159.7,0.7,23.6,63.9,0.9,1001
07/01/2016,20:00,334,1.0,29.0,0.4,22.1,74.3,0.0,1002
07/01/2016,21:00,215,1.0,52.4,0.5,21.5,80.0,0.0,1004
07/01/2016,22:00,197,1.2,19.6,0.7,20.8,80.2,0.0,1004
07/01/2016,23:00,188,1.9,15.7,0.7,20.9,70.9,0.0,1004
08/01/2016,00:00,158,1.3,27.8,0.5,20.8,66.1,0.0,1004
08/01/2016,01:00,159,0.8,28.5,0.4,20.2,71.2,0.0,1004
08/01/2016,02:00,166,0.6,39.0,0.3,19.7,69.7,0.0,1003
08/01/2016,03:00,192,1.0,15.6,0.2,19.0,74.6,0.0,1004
08/01/2016,04:00,196,1.0,17.6,0.4,18.5,75.0,0.0,1004
08/01/2016,05:00,189,0.8,20.2,0.4,18.3,73.5,0.0,1005
08/01/2016,06:00,177,1.0,28.9,0.6,20.5,63.2,0.0,1006
08/01/2016,07:00,188,2.1,21.2,0.9,22.2,54.6,0.0,1006
08/01/2016,08:00,186,2.6,23.7,1.1,23.5,42.2,0.0,1006
08/01/2016,09:00,197,2.5,24.4,1.2,24.5,38.3,0.0,1007
08/01/2016,10:00,196,2.1,30.9,1.1,25.7,36.6,0.0,1006
08/01/2016,11:00,190,1.7,39.7,1.0,26.7,37.0,0.0,1006
08/01/2016,12:00,170,1.0,62.6,0.9,27.2,37.1,0.0,1005
08/01/2016,13:00,156,0.8,76.3,0.9,27.8,36.2,0.0,1005
08/01/2016,14:00,171,0.6,70.4,0.6,28.5,35.1,0.0,1004
08/01/2016,15:00,54,1.9,24.0,0.9,27.2,45.1,0.0,1004
08/01/2016,16:00,69,2.5,18.8,1.0,26.2,48.3,0.0,1004
08/01/2016,17:00,61,2.0,15.8,1.0,25.4,51.6,0.0,1005
08/01/2016,18:00,87,2.2,22.3,1.2,24.0,51.3,0.0,1006
08/01/2016,19:00,36,1.0,160.8,0.5,22.8,55.1,0.0,1007
08/01/2016,20:00,340,0.4,89.6,0.4,21.9,57.8,0.0,1008
08/01/2016,21:00,114,0.1,128.0,0.3,21.3,60.3,0.0,1008
08/01/2016,22:00,179,0.8,46.8,0.5,20.5,65.2,0.0,1008
08/01/2016,23:00,183,1.0,18.0,0.4,19.0,73.3,0.0,1008
09/01/2016,00:00,217,1.2,10.9,0.3,19.3,70.6,0.0,1008
09/01/2016,01:00,175,1.1,24.0,0.4,19.0,72.5,0.0,1008
09/01/2016,02:00,186,1.2,16.8,0.2,18.2,76.8,0.0,1007
09/01/2016,03:00,194,1.5,9.5,0.3,17.4,80.6,0.0,1007
09/01/2016,04:00,183,1.4,23.2,0.5,16.7,84.6,0.0,1007
09/01/2016,05:00,176,1.0,23.3,0.3,16.8,84.7,0.0,1008
09/01/2016,06:00,178,1.0,25.2,0.4,18.3,80.3,0.0,1008
09/01/2016,07:00,158,1.3,34.5,0.6,21.0,71.5,0.0,1009
09/01/2016,08:00,136,1.1,47.5,0.7,23.2,61.4,0.0,1009
09/01/2016,09:00,314,0.8,60.9,0.6,24.8,54.1,0.0,1009
09/01/2016,10:00,27,1.0,54.5,0.7,25.7,50.4,0.0,1008
09/01/2016,11:00,280,1.0,53.9,0.7,26.9,46.5,0.0,1007
09/01/2016,12:00,341,0.8,163.2,0.7,27.6,44.8,0.0,1007
09/01/2016,13:00,42,0.5,173.6,0.7,28.3,42.4,0.0,1006
09/01/2016,14:00,342,1.1,34.4,0.7,29.2,39.5,0.0,1005
09/01/2016,15:00,45,2.0,36.4,1.3,28.7,43.2,0.0,1004
09/01/2016,16:00,59,1.8,21.7,1.0,27.1,51.0,0.4,1004
09/01/2016,17:00,78,0.3,131.8,0.6,23.9,68.4,1.1,1006
09/01/2016,18:00,134,0.3,108.7,0.8,21.9,77.6,2.4,1007
09/01/2016,19:00,327,0.6,149.7,0.7,21.3,80.6,0.1,1007
