Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (ug/m^3)
01/01/2016,00:00,61,0.6,27.8,0.3,22.5,23.2
01/01/2016,01:00,92,0.3,24.3,0.2,21.4,25.4
01/01/2016,02:00,84,1.2,12.6,0.4,21.2,24.5
01/01/2016,03:00,129,1.2,18.8,0.4,20.9,25.6
01/01/2016,04:00,128,1.6,13.8,0.5,20.2,30.2
01/01/2016,05:00,140,1.2,17.4,0.4,20.0,45.1
01/01/2016,06:00,136,1.0,24.6,0.4,21.7,45.0
01/01/2016,07:00,92,1.6,31.4,0.6,24.4,38.3
01/01/2016,08:00,72,2.3,28.5,1.1,26.6,21.7
01/01/2016,09:00,77,2.3,29.2,1.0,28.4,23.9
01/01/2016,10:00,75,1.4,56.6,1.0,29.3,23.4
01/01/2016,11:00,85,1.1,63.6,0.9,30.1,18.1
01/01/2016,12:00,108,1.3,67.9,1.1,31.9,10.4
01/01/2016,13:00,153,1.9,50.3,0.9,32.4,18.3
01/01/2016,14:00,103,0.4,99.0,0.8,33.3,13.2
01/01/2016,15:00,62,0.9,82.9,0.9,34.2,23.0
01/01/2016,16:00,99,0.7,84.7,0.8,34.3,17.3
01/01/2016,17:00,115,1.6,34.0,0.8,34.2,25.9
01/01/2016,18:00,130,2.2,13.1,0.7,32.8,38.6
01/01/2016,19:00,73,2.3,38.1,1.5,30.0,66.3
01/01/2016,20:00,42,2.7,18.5,1.1,27.7,44.9
01/01/2016,21:00,40,2.4,17.9,1.0,26.3,35.0
01/01/2016,22:00,38,1.3,25.1,0.6,25.7,30.5
01/01/2016,23:00,27,1.8,19.9,0.8,25.4,29.5
02/01/2016,00:00,17,1.3,21.3,0.5,24.7,29.8
02/01/2016,01:00,6,1.2,21.9,0.5,24.2,23.0
02/01/2016,02:00,13,0.7,169.0,0.3,23.9,20.1
02/01/2016,03:00,10,0.9,176.2,0.4,23.8,20.5
02/01/2016,04:00,53,0.5,48.1,0.2,23.5,26.5
02/01/2016,05:00,348,0.4,27.9,0.2,23.3,34.2
02/01/2016,06:00,338,1.3,24.1,0.6,24.1,20.0
02/01/2016,07:00,29,1.0,32.0,0.6,24.9,15.6
02/01/2016,08:00,40,1.7,31.6,0.8,26.8,15.1
02/01/2016,09:00,54,2.0,38.5,1.0,28.6,11.6
02/01/2016,10:00,43,0.9,166.5,0.9,30.3,10.0
