Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),PM10 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,209,2.1,20.0,0.8,20.1,,,,,22.1,
01/01/2016,01:00,219,1.9,17.3,0.7,19.2,,0.000,0.002,0.002,18.8,15
01/01/2016,02:00,217,2.2,22.2,0.8,19.2,,0.000,0.002,0.002,17.4,14
01/01/2016,03:00,201,2.3,21.5,0.9,19.5,,0.000,0.002,0.002,18.9,14
01/01/2016,04:00,210,2.2,20.1,0.9,18.9,,0.000,0.002,0.002,15.0,13
01/01/2016,05:00,212,1.9,19.5,0.8,19.0,,0.000,0.001,0.001,14.6,11
01/01/2016,06:00,199,2.6,25.0,1.1,20.9,,0.000,0.001,0.001,16.6,10
01/01/2016,07:00,186,2.3,36.7,1.3,23.4,,0.001,0.000,0.001,22.2,12
01/01/2016,08:00,185,2.3,35.9,1.3,25.4,,0.001,0.000,0.001,22.8,13
01/01/2016,09:00,179,2.3,36.8,1.3,25.2,,0.001,0.001,0.002,23.9,13
01/01/2016,10:00,162,2.7,35.4,1.6,26.3,,0.001,0.001,0.002,27.2,14
01/01/2016,11:00,149,3.2,31.1,1.6,27.8,,0.002,0.001,0.003,28.2,15
01/01/2016,12:00,137,3.3,29.3,1.5,28.5,,0.001,0.001,0.002,30.9,16
01/01/2016,13:00,131,3.0,27.1,1.4,28.5,,0.001,0.000,0.001,33.4,16
01/01/2016,14:00,129,3.3,25.1,1.4,28.0,,0.001,0.000,0.001,37.7,18
01/01/2016,15:00,124,3.6,22.4,1.5,27.1,,0.001,0.000,0.001,31.1,18
01/01/2016,16:00,130,3.4,22.9,1.7,26.3,,0.001,0.000,0.001,31.8,17
01/01/2016,17:00,133,2.9,24.7,1.4,25.0,,0.001,0.000,0.001,33.7,18
01/01/2016,18:00,134,2.3,23.4,1.0,23.2,,0.001,0.001,0.002,28.2,19
01/01/2016,19:00,141,2.5,23.2,1.2,22.6,,0.001,0.001,0.002,35.0,19
01/01/2016,20:00,137,2.3,24.5,1.1,22.5,,0.000,0.000,0.000,34.4,19
01/01/2016,21:00,145,1.9,28.8,1.0,22.5,,0.000,0.001,0.001,32.9,19
01/01/2016,22:00,142,1.8,27.0,0.9,22.6,,0.000,0.000,0.000,32.6,19
01/01/2016,23:00,188,1.1,45.9,0.6,21.6,,0.000,0.002,0.002,28.9,19
02/01/2016,00:00,229,1.1,23.1,0.4,20.1,,,,,25.2,
02/01/2016,01:00,237,1.2,19.2,0.5,19.9,,0.000,0.002,0.002,23.2,18
02/01/2016,02:00,225,1.6,14.4,0.5,19.2,,0.000,0.001,0.001,20.7,17
02/01/2016,03:00,229,1.5,16.2,0.5,18.6,,0.000,0.002,0.002,20.9,16
02/01/2016,04:00,242,1.4,16.1,0.5,18.4,,0.000,0.002,0.002,19.7,15
02/01/2016,05:00,225,1.1,15.7,0.4,18.3,,0.001,0.001,0.002,19.1,15
02/01/2016,06:00,210,1.4,29.9,0.6,21.1,,0.001,0.001,0.002,21.2,14
02/01/2016,07:00,195,1.7,39.1,1.0,23.9,,0.001,0.000,0.001,22.2,14
02/01/2016,08:00,195,1.0,56.2,0.8,25.3,,0.001,0.000,0.001,25.1,14
02/01/2016,09:00,159,1.0,61.4,0.8,26.7,,0.001,0.001,0.002,30.4,16
02/01/2016,10:00,92,2.5,24.3,1.1,28.1,,0.001,0.001,0.002,27.2,16
02/01/2016,11:00,93,2.7,26.5,1.2,28.6,,0.001,0.002,0.003,24.4,14
02/01/2016,12:00,99,2.7,23.8,1.1,28.5,,0.001,0.002,0.003,31.9,16
02/01/2016,13:00,97,2.7,27.8,1.3,28.3,,0.001,0.001,0.002,29.1,16
02/01/2016,14:00,92,2.8,25.6,1.2,27.9,,0.002,0.001,0.002,27.8,16
02/01/2016,15:00,93,2.4,26.8,1.0,27.6,,0.001,0.001,0.002,27.0,15
02/01/2016,16:00,88,1.9,31.7,0.8,26.7,,0.001,0.001,0.002,23.9,14
02/01/2016,17:00,91,1.7,26.6,0.8,24.7,,0.001,0.001,0.002,25.1,13
02/01/2016,18:00,94,1.4,25.5,0.6,23.7,,0.001,0.002,0.002,27.8,14
02/01/2016,19:00,110,1.3,25.3,0.6,22.5,,0.001,0.003,0.004,23.2,14
02/01/2016,20:00,106,1.1,24.7,0.6,22.2,,0.001,0.003,0.004,23.8,14
02/01/2016,21:00,117,0.9,26.1,0.5,22.3,,0.000,0.003,0.003,22.4,13
02/01/2016,22:00,120,1.2,28.7,0.6,22.6,,0.000,0.002,0.002,18.9,12
