Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm)
01/01/2016,00:00,169,2.8,10.7,0.7,,,,
01/01/2016,01:00,172,2.2,13.8,0.7,0.015,0.001,0.001,0.002
01/01/2016,02:00,180,1.8,15.3,0.5,0.015,0.000,0.001,0.001
01/01/2016,03:00,168,1.7,13.2,0.6,0.013,0.001,0.003,0.004
01/01/2016,04:00,185,1.4,20.8,0.4,0.015,0.001,0.001,0.002
01/01/2016,05:00,157,2.4,11.9,0.7,0.014,0.001,0.002,0.002
01/01/2016,06:00,141,2.2,15.0,0.9,0.014,0.001,0.001,0.002
01/01/2016,07:00,155,4.4,11.3,1.3,0.017,0.001,0.000,0.001
01/01/2016,08:00,152,5.3,13.8,1.4,0.019,0.001,0.001,0.001
01/01/2016,09:00,171,3.6,22.8,1.1,0.019,0.001,0.001,0.001
01/01/2016,10:00,163,3.4,22.8,1.2,0.020,0.001,0.001,0.001
01/01/2016,11:00,168,3.2,27.9,1.2,0.020,0.001,0.001,0.001
01/01/2016,12:00,154,3.0,27.3,1.2,0.020,0.000,0.001,0.001
01/01/2016,13:00,127,2.6,35.2,1.2,0.021,0.001,0.001,0.002
01/01/2016,14:00,131,1.9,44.4,1.3,0.022,0.001,0.001,0.001
01/01/2016,15:00,128,3.4,21.8,1.2,0.022,0.001,0.001,0.002
01/01/2016,16:00,122,3.1,17.1,1.1,0.022,0.001,0.001,0.002
01/01/2016,17:00,125,2.7,11.2,0.8,0.022,0.001,0.002,0.003
01/01/2016,18:00,51,2.3,23.3,0.8,0.024,0.001,0.003,0.004
01/01/2016,19:00,46,2.5,11.0,0.7,0.022,0.001,0.002,0.002
01/01/2016,20:00,49,2.3,14.2,0.8,0.019,0.001,0.003,0.003
01/01/2016,21:00,42,1.5,13.2,0.4,0.017,0.001,0.004,0.004
01/01/2016,22:00,130,0.5,72.4,0.5,0.017,0.000,0.003,0.003
01/01/2016,23:00,222,1.3,12.7,0.2,0.016,0.000,0.003,0.003
02/01/2016,00:00,187,1.5,16.9,0.4,,,,
02/01/2016,01:00,190,1.6,16.2,0.4,0.017,0.000,0.002,0.002
02/01/2016,02:00,209,0.8,41.9,0.4,0.015,0.001,0.002,0.003
02/01/2016,03:00,240,1.4,7.2,0.2,0.013,0.001,0.001,0.002
02/01/2016,04:00,239,0.6,74.4,0.6,0.011,0.001,0.003,0.004
02/01/2016,05:00,111,0.2,56.3,0.2,0.005,0.004,0.006,0.010
02/01/2016,06:00,188,0.4,72.4,0.4,0.012,0.002,0.003,0.004
02/01/2016,07:00,193,0.9,49.3,0.5,0.017,0.001,0.000,0.001
02/01/2016,08:00,149,1.3,41.6,0.7,0.019,0.001,0.001,0.001
02/01/2016,09:00,203,0.8,84.8,0.9,0.021,0.000,0.001,0.001
02/01/2016,10:00,120,0.7,71.9,0.5,0.022,0.001,0.000,0.001
02/01/2016,11:00,113,0.7,85.2,0.9,0.023,0.001,0.000,0.001
02/01/2016,12:00,111,0.3,94.6,0.6,0.022,0.001,0.001,0.001
02/01/2016,13:00,131,1.1,52.3,0.7,0.023,0.001,0.001,0.001
02/01/2016,14:00,125,2.7,26.9,1.3,0.023,0.001,0.001,0.002
02/01/2016,15:00,102,2.3,49.5,1.2,0.027,0.001,0.002,0.003
02/01/2016,16:00,61,3.6,14.2,1.0,0.035,0.001,0.002,0.003
02/01/2016,17:00,51,3.9,13.7,1.2,0.031,0.001,0.002,0.003
02/01/2016,18:00,63,3.4,13.7,1.0,0.026,0.000,0.002,0.002
02/01/2016,19:00,61,2.9,14.3,0.9,0.021,0.001,0.001,0.002
