Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm)
01/01/2016,00:00,270,0.9,45.3,0.5,17.0,74.9,0.0,1010,,,,
01/01/2016,01:00,218,1.5,10.5,0.3,17.5,73.9,0.0,1009,0.003,0.000,0.006,0.006
01/01/2016,02:00,241,1.4,19.9,0.4,17.5,74.8,0.0,1009,0.006,0.001,0.005,0.006
01/01/2016,03:00,219,1.7,20.4,0.4,18.7,71.1,0.0,1009,0.013,0.000,0.002,0.002
01/01/2016,04:00,215,0.8,36.5,0.6,18.5,72.5,0.0,1009,0.012,0.000,0.001,0.001
01/01/2016,05:00,266,0.7,36.9,0.4,18.4,74.6,0.0,1009,0.009,0.001,0.002,0.003
01/01/2016,06:00,217,2.7,12.0,1.0,20.6,65.9,0.0,1009,0.014,0.000,0.001,0.001
01/01/2016,07:00,209,3.3,16.1,1.0,22.0,58.2,0.0,1010,0.018,0.000,0.000,0.000
01/01/2016,08:00,207,2.5,30.0,1.1,23.1,53.4,0.0,1010,0.019,0.000,0.000,0.000
01/01/2016,09:00,233,1.6,44.5,1.0,24.4,49.5,0.0,1009,0.020,0.000,0.000,0.000
01/01/2016,10:00,223,2.8,32.1,1.3,25.7,44.2,0.0,1009,0.021,0.000,0.000,0.000
01/01/2016,11:00,226,3.1,21.9,1.2,26.0,44.8,0.0,1008,0.021,0.000,0.000,0.000
01/01/2016,12:00,207,2.0,46.3,1.3,26.7,42.1,0.0,1008,0.022,0.000,0.000,0.000
01/01/2016,13:00,213,1.8,49.4,1.2,27.5,38.9,0.0,1007,0.023,0.000,0.000,0.000
01/01/2016,14:00,217,1.9,42.1,1.1,28.2,38.4,0.0,1006,0.023,0.000,0.000,0.000
01/01/2016,15:00,86,0.4,96.3,1.3,28.0,40.6,0.0,1006,0.026,0.000,0.000,0.000
01/01/2016,16:00,80,3.9,13.3,1.1,26.2,46.5,0.0,1006,0.027,0.000,0.000,0.000
01/01/2016,17:00,82,3.6,11.0,0.9,25.3,49.0,0.0,1006,0.025,0.000,0.001,0.001
01/01/2016,18:00,78,2.7,9.0,0.6,23.7,52.8,0.0,1007,0.022,0.000,0.001,0.001
01/01/2016,19:00,82,2.6,9.4,0.6,22.4,56.6,0.0,1007,0.019,0.000,0.002,0.002
01/01/2016,20:00,96,1.3,15.9,0.5,21.4,59.4,0.0,1008,0.018,0.000,0.001,0.001
01/01/2016,21:00,131,1.3,17.8,0.6,21.2,58.2,0.0,1009,0.019,0.000,0.001,0.001
01/01/2016,22:00,223,0.7,44.0,0.3,20.0,62.7,0.0,1009,0.015,0.000,0.002,0.002
01/01/2016,23:00,255,0.6,45.2,0.3,18.0,73.6,0.0,1008,0.009,0.000,0.005,0.005
02/01/2016,00:00,244,0.9,28.5,0.3,17.1,77.9,0.0,1008,,,,
02/01/2016,01:00,241,0.8,28.8,0.2,17.2,78.0,0.0,1007,0.005,0.000,0.006,0.006
02/01/2016,02:00,253,0.4,68.4,0.4,16.2,82.9,0.0,1007,0.003,0.000,0.004,0.004
02/01/2016,03:00,272,0.5,54.1,0.3,15.2,86.3,0.0,1007,0.004,0.000,0.004,0.004
02/01/2016,04:00,231,0.6,28.4,0.3,14.9,87.7,0.0,1007,0.002,0.000,0.004,0.004
02/01/2016,05:00,251,0.6,58.8,0.5,14.8,88.6,0.0,1007,0.003,0.002,0.003,0.005
02/01/2016,06:00,90,0.3,87.6,0.5,17.9,80.4,0.0,1008,0.007,0.001,0.003,0.004
02/01/2016,07:00,227,1.1,60.7,0.9,21.3,66.1,0.0,1008,0.015,0.001,0.001,0.002
02/01/2016,08:00,189,0.7,87.5,0.8,23.6,53.6,0.0,1008,0.021,0.000,0.000,0.000
02/01/2016,09:00,77,0.5,101.2,0.9,24.9,46.9,0.0,1007,0.023,0.000,0.000,0.000
02/01/2016,10:00,101,0.7,70.6,0.7,26.3,40.9,0.0,1007,0.024,0.000,0.000,0.000
02/01/2016,11:00,62,1.1,68.0,0.9,27.1,36.9,0.0,1006,0.026,0.000,0.000,0.000
02/01/2016,12:00,61,1.8,38.1,1.0,27.9,34.6,0.0,1005,0.027,0.000,0.000,0.000
02/01/2016,13:00,228,0.4,100.8,1.0,29.2,29.5,0.0,1004,0.027,0.000,0.000,0.000
02/01/2016,14:00,78,4.8,15.3,1.8,27.6,43.7,0.0,1004,0.031,0.000,0.001,0.001
02/01/2016,15:00,75,4.8,15.8,1.2,26.5,47.8,0.0,1003,0.030,0.000,0.001,0.001
02/01/2016,16:00,82,4.6,12.7,1.3,25.8,52.5,0.0,1003,0.028,0.000,0.000,0.000
02/01/2016,17:00,92,3.4,16.6,1.5,24.8,55.7,0.0,1004,0.025,0.000,0.001,0.001
02/01/2016,18:00,84,3.6,10.9,1.0,23.6,60.0,0.0,1005,0.022,0.000,0.001,0.001
02/01/2016,19:00,85,2.3,10.9,0.6,22.7,64.0,0.0,1006,0.020,0.000,0.001,0.001
02/01/2016,20:00,93,1.5,20.1,0.6,22.1,65.7,0.0,1006,0.019,0.000,0.001,0.001
02/01/2016,21:00,110,1.3,23.5,0.7,22.0,64.0,0.0,1007,0.019,0.000,0.001,0.001
02/01/2016,22:00,116,1.2,32.2,0.7,22.0,61.9,0.0,1006,0.020,0.000,0.001,0.001
02/01/2016,23:00,149,0.7,26.3,0.4,21.9,61.1,0.0,1006,0.020,0.000,0.001,0.001
03/01/2016,00:00,132,0.9,38.8,0.6,21.7,62.1,0.0,1006,,,,
