Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3)
01/01/2016,00:00,44,1.1,19.4,0.5,26.3,,,,,,12.4
01/01/2016,01:00,53,1.0,20.6,0.5,26.0,0.013,0.001,0.004,0.005,0.000,20.6
01/01/2016,02:00,53,1.5,20.7,0.7,25.9,0.016,0.000,0.003,0.003,0.000,15.5
01/01/2016,03:00,39,1.3,17.0,0.5,26.0,0.017,0.000,0.001,0.001,0.000,17.4
01/01/2016,04:00,37,1.4,17.4,0.5,26.0,0.017,0.000,0.001,0.001,0.000,22.7
01/01/2016,05:00,26,1.3,14.0,0.5,26.0,0.017,0.000,0.002,0.002,0.000,24.7
01/01/2016,06:00,25,1.5,15.9,0.6,26.4,0.017,0.000,0.001,0.001,0.000,22.7
01/01/2016,07:00,21,2.4,17.3,0.7,27.8,0.018,0.000,0.000,0.000,0.000,21.0
01/01/2016,08:00,30,2.4,22.5,0.7,28.6,0.019,0.000,0.001,0.001,0.000,21.2
01/01/2016,09:00,36,2.4,21.9,0.8,29.1,0.019,0.000,0.000,0.000,0.000,15.3
01/01/2016,10:00,49,2.6,20.2,1.0,29.7,0.020,0.000,0.001,0.001,0.000,12.0
01/01/2016,11:00,48,3.1,21.8,1.0,30.1,0.020,0.000,0.001,0.001,0.000,23.5
01/01/2016,12:00,49,3.1,21.5,1.2,30.5,0.019,0.000,0.001,0.001,0.000,25.4
01/01/2016,13:00,48,3.2,20.9,1.0,30.4,0.018,0.000,0.001,0.001,0.000,19.0
01/01/2016,14:00,53,3.1,19.9,1.1,30.1,0.018,0.000,0.001,0.001,0.000,16.7
01/01/2016,15:00,48,3.4,20.3,1.2,29.5,0.017,0.000,0.001,0.001,0.000,23.0
01/01/2016,16:00,50,3.3,18.5,1.2,29.7,0.017,0.000,0.001,0.001,0.000,15.1
01/01/2016,17:00,45,3.2,18.9,1.1,28.7,0.019,0.000,0.000,0.000,0.000,16.4
01/01/2016,18:00,41,2.6,21.2,1.0,27.8,0.018,0.000,0.001,0.001,0.000,24.5
01/01/2016,19:00,20,2.1,17.6,0.7,27.5,0.017,0.000,0.002,0.002,0.000,20.3
01/01/2016,20:00,30,1.7,16.4,0.6,27.2,0.019,0.000,0.002,0.002,0.000,21.6
01/01/2016,21:00,23,1.9,15.5,0.6,27.1,0.019,0.000,0.001,0.001,0.000,29.2
01/01/2016,22:00,32,1.7,15.9,0.5,26.9,0.020,0.000,0.001,0.001,0.000,20.9
01/01/2016,23:00,30,1.7,15.5,0.5,26.9,0.020,0.000,0.001,0.001,0.000,23.0
02/01/2016,00:00,20,2.2,15.9,0.6,26.9,,,,,,19.1
02/01/2016,01:00,31,1.8,14.8,0.6,26.6,0.019,0.001,0.001,0.001,0.000,23.2
02/01/2016,02:00,24,1.8,13.7,0.6,26.5,0.019,0.000,0.000,0.000,0.000,11.8
02/01/2016,03:00,23,1.3,18.6,0.5,26.4,0.020,0.000,0.002,0.001,0.000,20.0
02/01/2016,04:00,27,1.1,18.8,0.5,26.5,0.021,0.000,0.001,0.001,0.000,22.0
02/01/2016,05:00,35,1.4,20.8,0.5,26.8,0.022,0.000,0.001,0.001,0.000,18.3
02/01/2016,06:00,40,2.1,15.3,0.8,27.1,0.023,0.000,0.001,0.001,0.000,23.9
02/01/2016,07:00,27,3.0,18.5,0.9,28.0,0.023,0.000,0.001,0.001,0.000,27.0
02/01/2016,08:00,45,3.2,20.3,1.1,29.1,0.022,0.000,0.000,0.000,0.000,25.4
02/01/2016,09:00,47,3.5,19.2,1.2,29.0,0.023,0.000,0.001,0.001,0.000,21.2
02/01/2016,10:00,53,3.6,17.7,1.2,29.6,0.022,0.000,0.001,0.001,0.000,24.6
02/01/2016,11:00,45,3.7,19.9,1.3,29.2,0.023,0.000,0.001,0.001,0.000,15.8
02/01/2016,12:00,45,3.6,19.4,1.1,28.8,0.021,0.000,0.001,0.001,0.000,17.6
02/01/2016,13:00,50,3.7,21.1,1.4,29.5,0.019,0.000,0.001,0.001,0.000,23.0
02/01/2016,14:00,45,3.9,17.9,1.3,29.3,0.017,0.000,0.001,0.001,0.000,21.8
02/01/2016,15:00,49,3.6,20.1,1.3,28.8,0.016,0.000,0.001,0.001,0.000,20.8
02/01/2016,16:00,50,3.6,18.3,1.4,28.4,0.015,0.000,0.001,0.001,0.000,21.2
02/01/2016,17:00,53,3.0,18.7,1.2,27.8,0.013,0.000,0.001,0.001,0.000,30.5
02/01/2016,18:00,53,3.0,19.3,1.2,27.3,0.013,0.000,0.002,0.002,0.000,27.4
02/01/2016,19:00,50,2.7,20.0,1.1,27.3,0.012,0.000,0.001,0.001,0.000,23.3
02/01/2016,20:00,52,2.7,20.0,1.2,27.0,0.011,0.000,0.001,0.001,0.000,24.9
02/01/2016,21:00,44,3.7,17.0,1.3,27.4,0.011,0.000,0.001,0.001,0.000,22.9
02/01/2016,22:00,36,3.4,17.4,1.3,27.6,0.012,0.000,0.000,0.000,0.000,18.1
02/01/2016,23:00,18,1.7,173.3,1.1,26.8,0.011,0.000,0.000,0.000,0.000,23.2
03/01/2016,00:00,9,2.2,179.1,0.7,27.2,,,,,,19.1
03/01/2016,01:00,6,2.6,15.9,1.1,27.1,0.017,0.000,0.001,0.001,0.000,6.5
03/01/2016,02:00,6,2.6,178.2,1.3,26.1,0.019,0.000,0.000,0.000,0.000,
03/01/2016,03:00,310,0.5,69.8,0.5,26.0,0.016,0.000,0.000,0.000,0.000,25.0
03/01/2016,04:00,244,0.4,43.7,0.2,25.7,0.013,0.000,0.001,0.001,0.000,
03/01/2016,05:00,134,0.2,65.4,0.2,25.3,0.007,0.000,0.004,0.004,0.000,9.9
