Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),RAD (w/m^2),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,241,1.4,20.5,0.7,20.7,57.3,,1013,0,,,,,32.1,6.1,
01/01/2016,01:00,251,1.3,13.8,0.5,19.8,60.4,,1012,0,0.008,0.001,0.007,0.007,23.5,6.6,21
01/01/2016,02:00,253,2.1,13.2,0.8,19.6,61.6,,1011,0,0.011,0.000,0.003,0.003,23.4,8.9,22
01/01/2016,03:00,261,1.6,18.6,0.8,19.5,62.4,,1011,0,0.012,0.000,0.002,0.002,16.1,4.9,19
01/01/2016,04:00,306,0.9,16.5,0.4,18.7,67.3,,1011,1,0.007,0.004,0.005,0.009,14.3,4.3,18
01/01/2016,05:00,291,0.5,52.6,0.3,19.2,66.5,,1012,81,0.010,0.000,0.003,0.003,13.4,5.5,18
01/01/2016,06:00,230,2.3,19.8,1.2,21.4,58.8,,1012,317,0.013,0.001,0.001,0.002,15.5,3.3,18
01/01/2016,07:00,225,4.0,11.4,1.0,22.7,53.6,,1012,456,0.016,0.000,0.000,0.000,22.3,6.0,14
01/01/2016,08:00,206,3.7,17.7,1.2,23.6,49.4,,1012,656,0.018,0.000,0.000,0.000,21.7,3.6,13
01/01/2016,09:00,192,3.5,24.8,1.3,24.5,46.9,,1012,613,0.019,0.000,0.000,0.000,22.6,7.3,12
01/01/2016,10:00,190,2.3,38.5,1.4,25.4,43.4,,1012,672,0.021,0.000,0.000,0.000,23.1,9.5,13
01/01/2016,11:00,194,2.5,33.2,1.4,26.7,39.2,,1011,883,0.022,0.000,0.000,0.000,21.8,7.3,12
01/01/2016,12:00,172,1.7,56.9,1.1,27.5,37.1,,1010,759,0.023,0.000,0.000,0.000,18.9,5.8,12
01/01/2016,13:00,186,2.1,48.3,1.2,27.9,36.8,,1009,719,0.024,0.000,0.000,0.000,21.8,7.1,12
01/01/2016,14:00,165,2.1,37.1,1.2,28.4,35.2,,1008,540,0.026,0.000,0.000,0.000,22.5,8.5,12
01/01/2016,15:00,133,3.1,27.2,1.8,28.0,39.7,,1008,454,0.028,0.000,0.000,0.000,20.1,8.9,17
01/01/2016,16:00,142,4.9,16.2,1.2,27.2,42.3,,1008,425,0.026,0.000,0.000,0.000,28.9,10.0,19
01/01/2016,17:00,122,4.1,18.4,1.2,25.9,45.0,,1009,119,0.023,0.000,0.000,0.000,24.3,8.2,20
01/01/2016,18:00,127,3.4,15.4,0.9,24.6,47.3,,1009,16,0.020,0.000,0.001,0.001,25.4,6.9,19
01/01/2016,19:00,124,2.6,19.4,0.9,23.5,49.9,,1010,0,0.019,0.000,0.001,0.001,21.9,4.3,20
01/01/2016,20:00,139,2.2,23.6,0.9,22.8,51.2,,1011,0,0.019,0.000,0.001,0.001,22.8,6.0,20
01/01/2016,21:00,162,1.6,22.5,0.7,22.0,53.7,,1011,0,0.017,0.000,0.002,0.002,31.1,5.2,20
01/01/2016,22:00,180,1.4,29.0,0.6,21.4,56.2,,1011,0,0.015,0.000,0.003,0.003,28.1,4.4,20
01/01/2016,23:00,250,1.1,19.7,0.3,20.8,58.6,,1010,0,0.015,0.000,0.002,0.002,15.3,4.4,19
02/01/2016,00:00,274,0.9,23.6,0.3,20.1,61.2,,1010,0,,,,,22.7,5.5,
02/01/2016,01:00,257,0.7,23.8,0.2,19.3,63.9,,1010,0,0.007,0.000,0.008,0.008,14.2,1.9,17
02/01/2016,02:00,338,0.4,95.2,0.5,18.4,69.5,,1009,0,0.009,0.000,0.005,0.005,14.1,4.3,19
02/01/2016,03:00,291,0.4,51.0,0.3,18.1,72.1,,1009,0,0.009,0.000,0.003,0.003,13.1,2.8,19
02/01/2016,04:00,272,1.0,25.8,0.5,17.7,73.7,,1010,1,0.009,0.000,0.003,0.003,11.9,1.6,20
02/01/2016,05:00,246,0.5,51.2,0.4,18.2,71.8,,1010,80,0.011,0.000,0.002,0.002,16.1,3.8,20
02/01/2016,06:00,226,1.1,32.1,0.5,20.6,63.9,,1010,305,0.014,0.001,0.001,0.002,14.4,4.9,20
02/01/2016,07:00,212,2.3,23.3,0.9,22.5,56.6,,1010,569,0.018,0.001,0.001,0.002,18.3,4.1,18
02/01/2016,08:00,217,1.1,59.4,0.7,24.4,48.6,,1010,809,0.021,0.000,0.001,0.001,11.0,4.4,15
02/01/2016,09:00,182,0.6,97.4,0.9,25.8,42.3,,1010,1002,0.024,0.000,0.000,0.000,16.5,5.0,14
02/01/2016,10:00,103,1.0,69.2,0.8,27.0,36.9,,1009,1137,0.028,0.000,0.000,0.000,17.5,5.7,13
02/01/2016,11:00,138,1.1,76.1,1.1,28.3,31.7,,1008,1195,0.034,0.000,0.001,0.001,40.9,9.6,13
02/01/2016,12:00,70,1.4,94.4,1.8,28.4,34.1,,1007,766,0.037,0.000,0.001,0.001,32.4,7.0,15
02/01/2016,13:00,78,4.1,26.6,1.2,27.8,40.0,,1007,1118,0.033,0.001,0.001,0.002,24.7,8.8,17
02/01/2016,14:00,86,3.7,31.5,1.2,27.5,42.5,,1006,809,0.030,0.000,0.001,0.001,29.3,8.6,17
02/01/2016,15:00,91,3.8,22.4,1.1,27.3,41.8,,1006,558,0.029,0.000,0.000,0.000,30.4,8.8,16
02/01/2016,16:00,95,4.0,18.2,1.0,26.5,44.6,,1006,282,0.025,0.000,0.001,0.001,28.4,11.9,16
02/01/2016,17:00,110,4.0,17.9,1.0,25.6,49.5,,1007,154,0.024,0.000,0.000,0.000,13.0,8.0,18
02/01/2016,18:00,115,3.9,16.1,0.8,24.5,53.9,,1008,32,0.022,0.000,0.000,0.000,18.0,6.5,20
02/01/2016,19:00,113,3.1,14.9,0.9,23.7,56.2,,1008,0,0.019,0.000,0.001,0.001,17.1,4.7,19
02/01/2016,20:00,103,2.6,11.8,0.7,23.3,58.3,,1009,0,0.017,0.000,0.001,0.001,17.9,1.6,20
02/01/2016,21:00,117,2.2,19.5,0.6,23.0,59.9,,1009,0,0.017,0.000,0.002,0.002,25.1,2.7,22
02/01/2016,22:00,122,2.3,19.2,0.9,22.7,60.0,,1009,0,0.017,0.000,0.003,0.003,13.1,2.6,23
02/01/2016,23:00,157,1.7,26.4,0.7,22.4,59.9,,1009,0,0.017,0.000,0.003,0.003,,,21
03/01/2016,00:00,158,2.5,16.6,0.8,22.4,58.5,,1009,0,,,,,6.5,3.3,
03/01/2016,01:00,175,1.7,19.1,0.7,22.1,59.8,,1008,0,0.017,0.000,0.001,0.001,13.9,3.8,14
03/01/2016,02:00,200,1.8,13.1,0.4,21.7,60.9,,1008,0,0.017,0.000,0.001,0.001,20.6,6.3,19
03/01/2016,03:00,220,1.4,13.4,0.5,21.3,62.3,,1008,0,0.015,0.000,0.001,0.001,13.9,3.2,18
03/01/2016,04:00,221,1.0,36.8,0.5,21.1,63.6,,1008,0,0.015,0.000,0.001,0.001,19.6,3.9,19
03/01/2016,05:00,212,1.7,10.8,0.8,20.9,65.7,,1009,18,0.013,0.000,0.001,0.001,5.4,3.8,19
03/01/2016,06:00,196,2.2,14.0,0.6,20.9,67.0,,1009,64,0.013,0.000,0.001,0.001,13.1,4.8,19
