Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Carbon Monoxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3)
01/01/2016,00:00,214,1.3,30.1,0.6,21.4,62.3,,,,,12.9,2.4
01/01/2016,01:00,239,1.6,20.8,0.7,20.4,65.2,0.016,0.012,0.028,0.2,16.8,7.1
01/01/2016,02:00,232,1.7,21.3,0.7,19.8,68.0,0.009,0.008,0.017,0.1,18.4,9.7
01/01/2016,03:00,249,2.3,13.9,0.7,19.4,69.1,0.006,0.006,0.012,0.1,15.0,7.3
01/01/2016,04:00,238,2.0,16.2,0.7,19.2,70.6,0.004,0.004,0.008,0.1,12.1,4.0
01/01/2016,05:00,247,1.9,15.9,0.6,19.6,69.6,0.006,0.005,0.011,0.1,9.5,0.8
01/01/2016,06:00,228,2.3,27.3,1.0,21.5,63.9,0.005,0.004,0.009,0.1,11.2,1.9
01/01/2016,07:00,222,2.5,27.0,1.1,23.9,56.4,0.005,0.002,0.007,0.0,12.3,2.2
01/01/2016,08:00,190,2.7,31.8,1.2,24.9,52.2,0.005,0.004,0.009,0.0,14.6,3.4
01/01/2016,09:00,183,2.4,32.9,1.1,26.1,48.7,0.009,0.006,0.015,0.1,16.3,4.8
01/01/2016,10:00,195,1.8,50.4,1.3,26.6,46.2,0.007,0.006,0.013,0.0,20.7,8.4
01/01/2016,11:00,181,1.5,52.0,1.0,28.0,41.7,0.009,0.007,0.016,0.1,16.5,3.5
01/01/2016,12:00,173,1.6,50.8,1.1,29.0,38.8,0.008,0.007,0.015,0.1,11.9,-0.3
01/01/2016,13:00,188,1.4,55.7,1.0,29.6,37.5,0.006,0.006,0.012,0.0,15.1,4.2
01/01/2016,14:00,148,0.9,85.2,1.0,31.0,36.1,0.004,0.005,0.009,0.0,13.1,2.1
01/01/2016,15:00,125,2.9,27.3,1.3,29.2,44.1,0.004,0.003,0.007,0.0,20.4,6.0
01/01/2016,16:00,126,3.0,24.4,1.3,28.5,43.9,0.004,0.003,0.007,0.0,23.3,7.3
01/01/2016,17:00,113,2.1,26.8,1.0,26.1,49.5,0.003,0.002,0.005,0.0,20.2,4.8
01/01/2016,18:00,111,1.7,27.8,0.9,24.4,54.4,0.001,0.003,0.004,0.0,20.2,4.9
01/01/2016,19:00,106,1.4,35.3,0.8,23.1,57.0,0.002,0.004,0.006,0.0,19.4,4.4
