Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),RAD (w/m^2),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,142,2.5,14.5,1.0,23.0,55.0,0.0,1011,0,,,,,18.7,5.4,
01/01/2016,01:00,148,2.2,16.6,0.9,22.5,57.0,0.0,1010,0,0.000,0.002,0.002,,17.0,5.1,16
01/01/2016,02:00,160,1.7,22.3,0.7,21.9,58.7,0.0,1010,0,0.000,0.001,0.001,,15.9,3.6,20
01/01/2016,03:00,156,1.8,17.7,0.7,21.7,59.4,0.0,1010,0,0.000,0.002,0.002,,13.7,1.8,22
01/01/2016,04:00,154,2.2,18.6,0.9,21.6,61.5,0.0,1010,0,0.000,0.001,0.001,,17.4,4.9,24
01/01/2016,05:00,157,2.1,17.3,0.8,21.7,62.8,0.0,1010,33,0.001,0.002,0.002,,21.4,6.3,26
01/01/2016,06:00,150,2.2,19.4,1.0,22.4,61.1,0.0,1011,215,0.001,0.002,0.002,,20.8,5.0,27
01/01/2016,07:00,144,2.6,20.8,1.2,24.0,53.9,0.0,1011,434,0.001,0.001,0.002,,19.4,3.4,25
01/01/2016,08:00,113,2.8,22.7,1.0,25.6,45.9,0.0,1011,731,0.000,0.001,0.001,,21.3,5.5,18
01/01/2016,09:00,103,2.5,18.5,1.0,26.5,43.9,0.0,1011,935,0.004,0.002,0.006,,17.2,1.7,17
01/01/2016,10:00,53,3.0,27.5,1.2,27.1,42.4,0.0,1010,1069,0.003,0.003,0.006,,22.2,6.8,18
01/01/2016,11:00,42,3.9,13.0,1.1,27.3,43.7,0.0,1009,1137,0.002,0.001,0.003,,28.0,7.6,18
01/01/2016,12:00,47,3.7,15.6,1.1,27.2,44.9,0.0,1009,1132,0.001,0.001,0.002,,20.0,6.7,16
01/01/2016,13:00,56,4.1,15.2,1.3,27.2,46.7,0.0,1008,1048,0.001,0.001,0.002,,17.4,5.0,15
01/01/2016,14:00,61,4.0,14.9,1.3,27.4,45.5,0.0,1007,897,0.001,0.001,0.002,,15.5,2.0,14
01/01/2016,15:00,53,4.1,14.7,1.3,27.2,45.6,0.0,1007,692,0.002,0.002,0.003,,15.7,3.6,13
01/01/2016,16:00,41,3.2,16.5,1.1,27.0,48.0,0.0,1007,453,0.002,0.001,0.003,,17.1,5.7,13
