Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Air Temperature (degC),Relative Humidity (%),Barometric Pressure (hPa),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Benzene (ppb),Toluene (ppb),Xylenes (total) (ppb),Formaldehyde (ppb)
01/01/2016,00:00,161,0.5,36.9,18.6,,,0.008,,0.004,0.001,16.6,4.5,1.4,8.8,14.0,5.7
01/01/2016,01:00,234,0.6,17.0,17.8,,,0.005,,0.007,0.001,14.3,5.0,1.1,10.7,18.4,7.0
01/01/2016,02:00,244,1.1,13.8,17.8,,,0.007,,0.006,0.001,18.0,7.2,1.4,8.7,13.5,6.4
01/01/2016,03:00,226,0.6,13.9,17.2,,,0.007,,0.004,0.001,17.0,5.7,1.0,7.1,8.9,7.0
01/01/2016,04:00,217,0.7,26.7,17.1,,,0.008,,0.003,0.001,15.1,5.2,0.8,6.1,5.6,7.3
01/01/2016,05:00,206,0.6,19.5,18.2,,,0.009,,0.002,0.001,15.4,4.6,0.6,6.0,5.2,6.5
01/01/2016,06:00,198,1.2,10.5,22.8,,,0.010,,0.002,0.001,15.1,3.8,0.9,4.9,3.3,6.3
01/01/2016,07:00,199,1.7,15.6,24.3,,,0.012,,0.001,0.001,18.1,5.8,0.9,4.9,7.1,7.0
01/01/2016,08:00,183,2.7,14.4,25.1,,,0.014,,0.001,0.001,16.7,4.3,0.9,3.7,5.5,3.7
01/01/2016,09:00,172,2.8,20.4,25.5,,,0.015,,0.001,0.000,18.5,5.1,1.1,4.1,7.7,3.7
01/01/2016,10:00,151,2.3,38.5,26.2,,,0.018,,0.001,0.001,14.8,2.7,1.4,5.2,10.8,4.0
01/01/2016,11:00,174,2.0,41.9,26.3,,,0.018,,0.001,0.001,20.6,3.8,1.1,2.9,9.7,4.6
01/01/2016,12:00,189,2.1,27.9,27.0,,,0.019,,0.001,0.001,19.6,4.5,1.0,2.2,6.1,3.7
01/01/2016,13:00,145,2.3,34.0,27.5,,,0.022,,0.001,0.001,21.3,4.8,0.9,,6.1,4.2
01/01/2016,14:00,105,3.9,15.9,26.8,,,0.021,,0.001,0.001,30.3,8.8,0.9,1.8,7.9,5.0
01/01/2016,15:00,112,4.5,14.2,25.7,,,0.018,,0.001,0.001,24.4,6.5,1.0,4.2,14.7,7.9
01/01/2016,16:00,97,5.4,9.7,24.2,,,0.017,,0.001,0.002,26.0,5.7,1.0,4.5,10.9,7.1
01/01/2016,17:00,107,4.7,11.3,23.2,,,0.016,,0.001,0.001,28.7,8.1,1.0,5.1,6.9,6.5
01/01/2016,18:00,117,4.8,7.0,21.9,,,0.016,,0.001,0.000,20.5,5.2,1.4,3.4,10.7,6.6
01/01/2016,19:00,112,4.4,4.9,21.0,,,0.017,,0.001,0.001,23.5,5.8,0.5,5.6,5.8,6.4
01/01/2016,20:00,114,4.2,4.3,20.6,,,0.017,,0.002,0.001,23.4,6.4,0.6,4.8,5.8,5.8
01/01/2016,21:00,125,2.6,9.1,20.0,,,0.014,,0.002,0.001,25.5,5.8,0.3,4.4,4.1,6.1
01/01/2016,22:00,139,2.5,12.9,19.8,,,0.015,,0.002,0.001,21.8,5.1,0.7,5.3,3.7,6.6
01/01/2016,23:00,171,1.1,16.1,19.3,,,0.012,,0.003,0.001,18.3,3.6,1.2,5.2,3.8,5.5
02/01/2016,00:00,166,0.7,19.1,18.5,,,0.009,,0.004,0.001,19.0,4.8,0.9,5.0,5.1,5.3
02/01/2016,01:00,195,0.7,14.4,18.0,,,0.010,,0.003,0.001,15.5,3.4,0.6,5.7,5.4,5.7
02/01/2016,02:00,181,0.6,18.0,17.4,,,0.009,,0.003,0.001,15.0,3.5,1.0,5.4,8.1,6.8
02/01/2016,03:00,191,0.7,16.3,16.7,,,0.009,,0.003,0.001,15.5,4.5,1.0,5.3,6.1,7.0
02/01/2016,04:00,185,0.6,26.9,16.5,,,0.009,,0.003,0.001,15.9,4.7,1.3,5.9,7.7,7.0
02/01/2016,05:00,210,0.3,59.8,17.2,,,0.006,,0.006,0.001,16.6,5.0,0.5,4.9,3.6,7.7
02/01/2016,06:00,192,1.0,11.0,22.3,,,0.010,,0.006,0.001,18.6,5.7,0.8,5.0,2.9,7.8
02/01/2016,07:00,195,1.6,15.7,24.6,,,0.014,,0.003,0.001,19.5,6.6,0.8,4.9,7.4,9.1
02/01/2016,08:00,187,1.5,38.2,25.8,,,0.017,,0.001,0.001,12.9,3.5,1.3,5.4,7.9,8.5
02/01/2016,09:00,186,1.2,55.9,27.2,,,0.019,,0.001,0.001,14.2,3.3,1.0,4.4,4.7,7.9
02/01/2016,10:00,186,1.1,60.2,28.4,,,0.023,,0.001,0.001,12.3,3.4,0.9,2.3,8.5,4.6
