Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Sulfur Dioxide (ppm)
01/01/2016,00:00,158,0.7,34.0,0.3,,,,,
01/01/2016,01:00,61,2.1,10.0,0.3,,,,,0.000
01/01/2016,02:00,59,2.2,13.5,0.4,,,,,0.000
01/01/2016,03:00,35,2.2,14.3,0.5,,,,,0.000
01/01/2016,04:00,23,3.1,8.4,0.5,,,,,0.000
01/01/2016,05:00,23,3.3,6.7,0.4,,,,,0.000
01/01/2016,06:00,18,3.1,10.3,0.5,,,,,0.000
01/01/2016,07:00,27,4.3,10.8,1.0,,,,,0.000
01/01/2016,08:00,28,4.4,14.4,1.0,,,,,0.000
01/01/2016,09:00,30,4.4,15.2,1.1,,,,,0.000
01/01/2016,10:00,40,4.1,19.1,1.3,,,,,0.000
01/01/2016,11:00,34,4.4,17.3,1.2,,,,,0.000
01/01/2016,12:00,34,5.1,15.2,1.1,,,,,0.000
01/01/2016,13:00,35,4.9,16.4,1.2,27.9,59.8,0.0,1008,0.000
01/01/2016,14:00,43,5.1,15.2,1.2,28.2,57.7,0.0,1007,0.000
01/01/2016,15:00,43,5.4,12.4,1.0,27.6,61.3,0.0,1007,0.000
01/01/2016,16:00,43,5.2,12.1,1.2,27.8,58.6,0.0,1007,0.000
01/01/2016,17:00,40,4.7,10.6,0.9,27.6,56.3,0.0,1007,0.000
01/01/2016,18:00,29,4.4,8.5,0.8,27.1,58.0,0.0,1008,0.000
01/01/2016,19:00,20,3.1,6.6,0.5,26.3,62.2,0.0,1008,0.000
01/01/2016,20:00,29,2.7,6.0,0.3,26.1,64.8,0.0,1009,0.000
01/01/2016,21:00,30,3.1,6.5,0.4,26.2,65.9,0.0,1009,0.000
01/01/2016,22:00,29,2.9,4.6,0.3,25.9,67.8,0.0,1009,0.000
01/01/2016,23:00,32,2.9,5.6,0.4,25.9,68.5,0.0,1009,0.000
02/01/2016,00:00,27,3.2,8.0,0.6,25.8,69.1,0.0,1008,
02/01/2016,01:00,19,3.5,5.4,0.4,25.8,68.9,0.0,1008,0.000
02/01/2016,02:00,19,2.7,5.8,0.5,25.5,68.2,0.0,1007,0.000
02/01/2016,03:00,11,2.5,175.0,0.4,24.7,63.9,0.0,1006,0.000
02/01/2016,04:00,359,3.0,13.6,0.4,,,,,0.000
02/01/2016,05:00,16,3.6,7.2,0.3,,,,,0.000
02/01/2016,06:00,30,3.4,9.9,0.7,,,,,0.000
02/01/2016,07:00,33,4.8,8.1,1.0,,,,,0.000
02/01/2016,08:00,42,5.2,11.7,1.2,,,,,0.000
02/01/2016,09:00,41,5.3,13.0,1.2,,,,,0.000
02/01/2016,10:00,46,5.8,12.9,1.3,28.0,61.2,0.0,1008,0.000
02/01/2016,11:00,45,5.9,12.3,1.2,27.7,62.3,0.0,1007,0.000
02/01/2016,12:00,42,5.6,10.2,1.1,27.7,63.0,0.0,1006,0.000
02/01/2016,13:00,43,6.0,10.7,1.2,28.1,62.6,0.0,1006,0.000
02/01/2016,14:00,46,6.1,11.5,1.2,27.9,64.7,0.0,1005,0.000
02/01/2016,15:00,51,6.2,10.1,1.2,27.9,66.4,0.0,1004,0.000
02/01/2016,16:00,60,6.1,9.6,1.3,27.4,70.0,0.0,1004,0.000
02/01/2016,17:00,63,5.7,7.0,1.2,27.2,72.4,0.0,1004,0.000
02/01/2016,18:00,63,5.6,8.2,1.2,26.6,76.8,0.0,1004,0.000
02/01/2016,19:00,64,5.6,8.9,1.3,26.8,76.5,0.4,1004,0.000
02/01/2016,20:00,57,6.1,7.9,1.4,,,,,0.000
02/01/2016,21:00,54,6.4,8.2,1.3,,,,,0.000
02/01/2016,22:00,37,6.7,6.0,1.2,,,,,0.000
02/01/2016,23:00,23,5.2,17.6,1.5,,,,,0.000
03/01/2016,00:00,10,5.2,7.8,1.2,,,,,
03/01/2016,01:00,5,4.1,176.4,0.6,,,,,0.000
03/01/2016,02:00,359,3.9,36.7,1.5,,,,,0.000
03/01/2016,03:00,7,3.8,12.1,1.4,,,,,0.000
03/01/2016,04:00,358,2.4,13.5,0.6,,,,,0.000
03/01/2016,05:00,317,0.9,47.6,0.7,,,,,0.000
03/01/2016,06:00,346,1.2,28.1,0.4,,,,,0.000
03/01/2016,07:00,334,1.5,38.2,0.6,,,,,0.000
03/01/2016,08:00,339,3.0,15.7,0.7,,,,,0.000
03/01/2016,09:00,336,4.6,12.2,1.0,29.0,66.6,0.0,1004,0.000
03/01/2016,10:00,358,5.3,12.3,1.2,29.1,66.1,0.0,1004,0.000
03/01/2016,11:00,354,6.1,10.0,1.0,29.3,63.9,0.0,1004,0.000
03/01/2016,12:00,357,6.6,9.4,1.1,29.9,59.8,0.0,1003,0.000
03/01/2016,13:00,8,5.8,166.9,1.1,30.3,59.5,0.0,1002,0.000
03/01/2016,14:00,22,6.5,11.0,1.2,30.2,65.2,0.0,1001,0.000
03/01/2016,15:00,23,6.5,9.3,1.0,30.0,65.9,0.0,1001,0.000
03/01/2016,16:00,9,6.5,168.8,0.9,29.7,67.8,0.0,1001,0.000
03/01/2016,17:00,351,6.0,8.2,0.9,29.1,71.1,0.0,1002,0.000
03/01/2016,18:00,352,5.2,6.6,1.0,28.5,74.8,0.0,1002,0.000
03/01/2016,19:00,354,5.9,5.8,0.9,,,,,0.000
03/01/2016,20:00,352,6.0,6.9,1.2,,,,,0.000
03/01/2016,21:00,341,2.5,17.6,1.1,,,,,0.000
03/01/2016,22:00,319,1.9,21.9,0.6,,,,,0.000
03/01/2016,23:00,3,1.0,31.7,0.2,,,,,0.000
04/01/2016,00:00,260,1.3,44.1,0.4,,,,,
04/01/2016,01:00,210,3.0,38.3,1.6,,,,,0.000
04/01/2016,02:00,304,1.7,41.9,0.9,,,,,0.000
04/01/2016,03:00,200,2.1,49.0,1.3,,,,,0.000
04/01/2016,04:00,,,,,,,,,0.000
04/01/2016,05:00,,,,,,,,,0.000
04/01/2016,06:00,268,3.2,20.9,0.5,,,,,0.001
04/01/2016,07:00,233,1.8,29.4,0.5,,,,,0.000
04/01/2016,08:00,190,3.1,19.7,1.0,,,,,0.000
04/01/2016,09:00,194,2.8,17.7,0.9,28.2,62.2,0.0,1005,0.000
04/01/2016,10:00,191,2.5,23.0,1.2,29.5,57.9,0.0,1005,0.000
04/01/2016,11:00,81,0.7,88.6,1.4,30.1,57.6,0.0,1004,0.000
04/01/2016,12:00,37,4.0,14.5,1.0,30.0,62.0,0.0,1004,0.000
04/01/2016,13:00,33,4.2,12.8,0.9,30.2,60.7,0.0,1003,0.000
04/01/2016,14:00,47,4.1,17.8,0.9,30.9,57.5,0.0,1002,
04/01/2016,15:00,32,4.3,12.3,0.9,30.7,58.8,0.0,1002,0.000
04/01/2016,16:00,27,4.1,12.1,0.8,30.4,61.5,0.0,1002,0.000
04/01/2016,17:00,16,3.3,168.5,0.7,30.4,62.0,0.0,1002,0.000
04/01/2016,18:00,345,3.1,11.0,0.6,29.6,63.2,0.0,1003,0.000
