Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,130,1.1,30.8,0.6,23.2,56.7,0.0,1009,,,,,20.9,4.8,
01/01/2016,01:00,138,0.5,55.2,0.5,22.5,58.5,0.0,1008,0.000,0.006,0.006,0.005,21.8,8.2,16
01/01/2016,02:00,160,0.6,57.9,0.5,22.0,60.3,0.0,1008,0.000,0.001,0.001,0.001,18.7,4.8,18
01/01/2016,03:00,155,0.6,60.7,0.5,21.8,60.6,0.0,1008,0.001,0.001,0.002,0.001,15.8,1.6,19
01/01/2016,04:00,152,0.6,65.3,0.6,22.0,61.7,0.0,1008,0.000,0.002,0.002,0.002,15.6,1.3,21
01/01/2016,05:00,141,0.7,57.0,0.6,22.0,62.7,0.0,1008,0.000,0.002,0.002,0.001,16.3,0.3,22
01/01/2016,06:00,149,0.8,50.8,0.6,22.7,61.3,0.0,1009,0.001,0.001,0.001,0.000,19.2,2.5,23
01/01/2016,07:00,119,1.5,39.7,1.1,24.4,54.3,0.0,1009,0.002,0.003,0.004,0.002,16.0,-0.5,19
01/01/2016,08:00,109,2.1,35.4,1.1,25.7,49.7,0.0,1009,0.002,0.003,0.005,0.003,18.7,1.8,16
01/01/2016,09:00,91,2.8,37.9,1.5,26.5,45.8,0.0,1008,0.007,0.009,0.016,0.009,19.9,3.0,15
01/01/2016,10:00,68,3.0,22.1,1.1,27.2,43.4,0.0,1008,0.005,0.007,0.012,0.008,20.9,4.6,15
01/01/2016,11:00,59,2.4,29.2,1.2,28.4,39.8,0.0,1007,0.004,0.006,0.009,0.006,20.3,4.6,15
01/01/2016,12:00,81,2.9,26.4,1.4,28.9,38.5,0.0,1006,0.002,0.004,0.006,0.004,23.8,7.7,16
01/01/2016,13:00,97,3.4,19.3,1.2,29.0,38.8,0.0,1005,0.001,0.002,0.003,0.002,22.5,7.3,16
01/01/2016,14:00,83,4.6,17.7,1.3,28.3,44.2,0.0,1005,0.001,0.001,0.002,0.000,17.7,3.6,20
