Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Sulfur Dioxide (ppm),PM10 (ug/m^3)
01/01/2016,00:00,29,0.9,25.0,0.4,23.0,,4.3
01/01/2016,01:00,28,1.0,22.6,0.4,22.7,0.000,5.1
01/01/2016,02:00,6,1.0,179.4,0.5,22.4,0.000,9.1
01/01/2016,03:00,14,1.2,19.4,0.5,22.4,0.000,10.8
01/01/2016,04:00,10,1.1,22.7,0.5,22.6,0.000,9.2
01/01/2016,05:00,351,1.6,19.5,0.6,22.6,0.000,10.6
01/01/2016,06:00,10,1.5,19.7,0.8,22.7,0.000,7.4
01/01/2016,07:00,2,1.9,22.4,0.9,23.5,0.000,6.0
01/01/2016,08:00,354,2.9,20.8,1.0,24.1,0.000,7.0
01/01/2016,09:00,340,2.6,24.7,1.0,27.0,0.000,9.8
01/01/2016,10:00,353,2.7,18.8,1.0,27.3,0.000,7.7
01/01/2016,11:00,357,3.5,21.7,1.6,29.9,0.000,9.2
01/01/2016,12:00,7,3.4,176.2,1.7,30.5,0.000,7.7
01/01/2016,13:00,0,3.4,176.2,1.6,31.0,0.000,9.9
01/01/2016,14:00,3,3.0,23.0,1.3,30.3,0.000,9.7
01/01/2016,15:00,282,3.7,31.3,2.0,25.0,0.054,22.2
01/01/2016,16:00,326,2.6,24.9,1.1,27.2,0.002,12.1
01/01/2016,17:00,321,2.1,27.0,1.3,26.5,0.001,13.0
01/01/2016,18:00,296,0.4,126.3,0.5,26.6,0.033,23.0
01/01/2016,19:00,236,1.5,51.8,1.1,25.8,0.171,3.7
01/01/2016,20:00,237,2.1,25.8,1.0,25.5,0.284,7.8
01/01/2016,21:00,226,2.6,20.5,1.0,24.7,0.073,5.6
01/01/2016,22:00,219,2.6,17.6,1.0,23.7,0.002,4.1
01/01/2016,23:00,220,2.1,16.1,0.7,22.8,0.001,3.1
02/01/2016,00:00,209,0.9,24.2,0.5,21.8,,2.1
02/01/2016,01:00,188,0.7,24.5,0.3,21.0,0.001,2.2
02/01/2016,02:00,273,0.5,79.7,0.8,21.1,0.002,5.8
02/01/2016,03:00,275,2.1,23.7,0.8,21.1,0.037,10.9
02/01/2016,04:00,274,1.9,19.3,0.7,20.6,0.020,13.5
02/01/2016,05:00,299,1.3,27.0,0.5,20.3,0.011,14.7
02/01/2016,06:00,319,1.6,14.7,0.5,20.6,0.001,10.4
02/01/2016,07:00,319,1.9,14.6,0.5,21.0,0.000,12.7
02/01/2016,08:00,339,1.3,159.9,0.6,21.3,0.000,10.0
02/01/2016,09:00,11,1.1,175.0,0.5,23.3,0.000,6.1
02/01/2016,10:00,13,0.9,159.2,0.5,24.1,0.000,7.1
02/01/2016,11:00,29,0.5,163.3,0.7,25.1,0.000,7.7
02/01/2016,12:00,321,1.1,53.3,0.8,27.2,0.000,2.8
02/01/2016,13:00,306,1.1,52.8,0.8,28.5,0.062,8.5
02/01/2016,14:00,317,1.3,82.4,1.3,26.2,0.021,16.6
02/01/2016,15:00,36,0.1,131.7,0.5,29.3,0.231,29.5
02/01/2016,16:00,215,2.7,28.1,1.2,26.2,0.005,4.6
