Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (ug/m^3),TSP (ug/m^3)
01/01/2016,00:00,43,4.0,10.2,0.8,26.6,18.9,27.4
01/01/2016,01:00,46,3.9,10.4,0.7,26.4,18.2,25.4
01/01/2016,02:00,45,4.4,8.3,0.8,26.3,19.9,29.7
01/01/2016,03:00,40,4.0,11.1,0.8,26.2,17.1,23.9
01/01/2016,04:00,31,3.3,12.2,1.0,26.1,17.7,22.1
01/01/2016,05:00,31,3.2,13.4,1.0,26.1,20.0,27.4
01/01/2016,06:00,27,2.6,14.7,0.9,26.6,17.6,24.0
01/01/2016,07:00,23,2.7,15.4,0.7,27.7,16.9,23.1
01/01/2016,08:00,30,3.1,12.9,0.8,27.8,23.1,30.6
01/01/2016,09:00,34,3.5,12.4,0.9,28.3,18.2,21.2
01/01/2016,10:00,31,3.3,12.5,0.8,28.7,22.9,30.1
01/01/2016,11:00,28,3.5,12.8,1.0,28.8,13.4,17.1
01/01/2016,12:00,35,4.4,9.7,0.9,28.5,24.4,34.8
01/01/2016,13:00,37,4.5,8.8,0.8,28.7,19.4,25.2
01/01/2016,14:00,38,4.6,9.2,0.9,29.0,20.9,30.8
01/01/2016,15:00,34,4.9,10.3,1.2,28.5,21.9,29.7
01/01/2016,16:00,35,4.9,10.4,1.3,28.5,13.5,15.1
01/01/2016,17:00,33,4.1,10.6,1.1,28.5,24.6,33.5
01/01/2016,18:00,21,3.2,14.9,1.0,27.7,16.1,20.6
01/01/2016,19:00,10,3.1,12.4,0.8,27.2,15.1,20.8
01/01/2016,20:00,20,2.6,15.8,0.9,27.1,30.2,42.1
01/01/2016,21:00,17,2.9,15.2,0.9,27.0,22.0,28.0
01/01/2016,22:00,12,2.8,14.5,0.8,26.8,19.5,24.9
01/01/2016,23:00,18,3.0,15.2,0.9,26.7,19.6,25.8
02/01/2016,00:00,14,3.2,15.6,0.9,26.7,16.9,20.1
02/01/2016,01:00,13,3.1,15.9,0.8,26.5,15.9,20.9
02/01/2016,02:00,12,3.1,16.8,0.8,26.5,12.5,14.5
02/01/2016,03:00,11,2.8,19.4,0.8,26.4,17.2,21.5
02/01/2016,04:00,14,2.6,22.8,0.7,26.4,18.1,22.9
02/01/2016,05:00,18,2.5,24.3,0.7,26.5,19.2,25.9
02/01/2016,06:00,31,2.9,19.4,1.0,26.8,25.3,33.9
02/01/2016,07:00,28,3.1,25.9,1.1,27.2,21.8,29.9
02/01/2016,08:00,37,4.6,12.2,1.0,28.1,20.0,24.9
02/01/2016,09:00,35,4.8,11.0,1.0,28.1,23.2,29.1
02/01/2016,10:00,36,5.4,10.1,1.0,28.3,23.1,29.5
02/01/2016,11:00,36,5.2,10.4,1.0,28.1,23.9,35.5
02/01/2016,12:00,35,5.3,16.3,1.1,28.0,18.3,24.2
02/01/2016,13:00,34,5.4,13.7,1.2,28.3,23.1,30.7
02/01/2016,14:00,36,5.5,10.5,1.1,28.0,24.0,32.7
02/01/2016,15:00,40,6.3,7.8,1.0,27.8,22.7,31.8
02/01/2016,16:00,45,6.1,6.9,1.0,27.5,22.0,30.5
02/01/2016,17:00,42,6.4,7.0,0.9,27.2,23.5,32.3
02/01/2016,18:00,42,6.6,8.0,1.1,26.8,27.5,40.3
02/01/2016,19:00,41,6.3,8.4,1.1,26.9,23.9,34.4
02/01/2016,20:00,40,6.9,7.9,1.2,26.8,25.6,34.6
02/01/2016,21:00,36,7.1,8.0,1.4,26.9,23.4,36.3
02/01/2016,22:00,26,4.9,12.6,1.4,26.9,22.5,36.6
02/01/2016,23:00,13,4.6,11.4,1.3,26.8,20.5,30.2
03/01/2016,00:00,9,4.6,9.5,1.0,27.1,11.4,13.4
03/01/2016,01:00,9,5.1,9.7,1.3,27.2,4.9,
03/01/2016,02:00,7,4.0,17.9,1.6,26.9,19.4,28.6
03/01/2016,03:00,357,1.9,183.4,1.4,26.8,20.5,28.9
03/01/2016,04:00,310,1.6,56.1,1.3,26.9,18.7,27.6
03/01/2016,05:00,293,1.5,32.0,1.0,26.7,,
03/01/2016,06:00,293,0.8,37.2,0.5,26.9,26.0,38.1
03/01/2016,07:00,308,1.9,20.8,0.7,28.6,16.1,24.1
03/01/2016,08:00,306,2.3,19.3,0.8,28.8,12.4,12.8
03/01/2016,09:00,304,2.5,21.6,1.0,29.1,9.0,8.4
03/01/2016,10:00,307,2.8,17.2,0.9,29.7,3.1,
03/01/2016,11:00,303,2.5,24.3,1.1,30.0,,
03/01/2016,12:00,312,2.6,34.6,1.4,31.0,,
03/01/2016,13:00,341,1.7,48.1,1.2,32.0,19.8,29.6
03/01/2016,14:00,6,3.1,20.5,1.3,31.0,29.0,43.8
03/01/2016,15:00,359,2.2,180.6,1.1,32.0,21.4,31.7
03/01/2016,16:00,318,2.0,42.7,1.2,31.2,26.6,39.2
03/01/2016,17:00,330,1.3,58.3,1.1,30.9,25.9,37.1
03/01/2016,18:00,317,1.7,46.5,1.2,29.2,15.3,21.9
03/01/2016,19:00,310,1.8,56.4,1.5,28.5,36.6,53.5
03/01/2016,20:00,308,2.2,50.6,1.6,28.4,29.4,40.4
03/01/2016,21:00,312,3.4,16.6,1.4,28.4,26.3,36.0
03/01/2016,22:00,298,2.8,21.2,1.4,28.2,,
03/01/2016,23:00,288,1.3,24.1,0.6,28.3,18.7,25.9
04/01/2016,00:00,257,1.5,23.6,0.7,28.0,21.9,32.2
04/01/2016,01:00,203,2.6,31.8,1.3,26.7,,
04/01/2016,02:00,262,2.5,32.9,1.3,25.2,,
04/01/2016,03:00,217,3.0,13.4,0.8,24.5,,
04/01/2016,04:00,225,1.9,23.2,0.9,25.0,,
04/01/2016,05:00,230,2.4,14.7,0.9,25.5,,
04/01/2016,06:00,190,2.1,14.9,0.8,25.4,,
04/01/2016,07:00,189,2.1,18.2,0.7,26.4,,
04/01/2016,08:00,224,1.1,48.3,0.8,28.5,,
04/01/2016,09:00,225,1.3,50.7,0.9,29.8,,
04/01/2016,10:00,30,1.4,117.0,1.4,30.4,,
04/01/2016,11:00,15,2.4,21.6,0.7,30.4,,
04/01/2016,12:00,10,2.6,173.7,0.8,31.0,,
04/01/2016,13:00,357,2.1,175.9,0.9,31.8,,
04/01/2016,14:00,344,1.9,36.9,1.0,32.3,,
04/01/2016,15:00,304,2.2,29.3,1.1,32.6,19.1,31.2
04/01/2016,16:00,339,1.8,40.2,0.9,32.2,21.8,36.6
04/01/2016,17:00,315,2.0,35.9,1.0,31.4,9.5,11.7
04/01/2016,18:00,304,2.5,24.3,1.1,30.4,14.9,20.4
04/01/2016,19:00,301,2.0,30.6,1.1,28.8,18.6,23.6
04/01/2016,20:00,351,1.0,56.6,0.8,28.6,22.5,32.1
04/01/2016,21:00,308,1.8,32.9,1.0,28.6,,
04/01/2016,22:00,292,2.0,18.0,0.8,28.8,,
04/01/2016,23:00,290,1.7,22.6,0.8,28.6,,
05/01/2016,00:00,280,1.3,32.1,0.7,28.2,11.3,14.9
05/01/2016,01:00,276,1.0,31.4,0.4,27.8,10.4,15.4
05/01/2016,02:00,244,1.3,18.8,0.5,27.5,8.0,10.8
05/01/2016,03:00,188,1.5,23.9,0.4,27.1,8.5,12.0
05/01/2016,04:00,214,0.6,48.9,0.4,26.9,8.3,10.7
05/01/2016,05:00,256,1.4,26.0,0.7,27.5,,
05/01/2016,06:00,242,2.4,9.3,0.6,28.6,,
05/01/2016,07:00,242,2.8,14.6,0.9,29.8,,
05/01/2016,08:00,228,3.3,13.8,0.9,30.8,,
05/01/2016,09:00,222,3.6,22.0,1.1,32.0,,
05/01/2016,10:00,224,2.9,35.3,1.3,33.3,,
05/01/2016,11:00,237,2.7,24.0,1.1,34.7,,
05/01/2016,12:00,226,4.3,19.2,1.4,35.5,,
05/01/2016,13:00,215,4.4,22.6,1.5,36.1,,
05/01/2016,14:00,225,4.4,24.8,1.6,36.6,,
05/01/2016,15:00,223,5.0,18.3,1.6,37.2,,
05/01/2016,16:00,214,4.7,20.8,1.5,37.6,5.9,11.8
05/01/2016,17:00,208,4.3,16.8,1.3,37.5,12.5,19.2
05/01/2016,18:00,204,3.0,15.0,1.1,36.8,12.2,21.1
05/01/2016,19:00,227,1.4,17.8,0.5,35.2,14.3,21.4
05/01/2016,20:00,241,0.9,18.0,0.3,33.8,16.0,26.8
05/01/2016,21:00,289,1.0,44.6,0.7,31.7,122.3,191.0
05/01/2016,22:00,287,1.5,16.8,0.7,29.6,29.8,38.8
05/01/2016,23:00,303,2.4,19.0,1.0,29.4,25.9,35.6
06/01/2016,00:00,295,2.2,18.1,1.0,29.0,,
06/01/2016,01:00,271,0.9,34.4,0.5,28.5,,
06/01/2016,02:00,208,0.6,57.3,0.4,27.9,12.1,12.9
06/01/2016,03:00,189,0.8,23.6,0.3,26.8,14.3,20.4
06/01/2016,04:00,219,0.5,49.6,0.3,26.3,6.0,5.7
06/01/2016,05:00,211,0.6,38.2,0.4,25.8,7.9,9.7
06/01/2016,06:00,168,1.3,47.4,1.0,26.2,,
06/01/2016,07:00,296,0.3,90.6,0.5,29.5,14.4,26.7
06/01/2016,08:00,331,1.4,38.5,0.6,31.8,,23.6
06/01/2016,09:00,325,2.0,22.3,0.7,33.3,,
06/01/2016,10:00,338,1.8,33.8,0.8,34.1,,
06/01/2016,11:00,3,2.5,173.7,1.2,33.5,52.3,69.9
06/01/2016,12:00,10,2.6,171.1,0.8,33.3,30.1,48.9
06/01/2016,13:00,354,2.0,174.5,0.9,34.3,,
06/01/2016,14:00,33,3.3,12.2,1.0,34.9,30.1,46.5
06/01/2016,15:00,48,5.5,11.7,1.0,33.4,,92.0
06/01/2016,16:00,46,5.0,7.1,0.9,32.9,68.2,104.0
06/01/2016,17:00,46,3.8,8.8,1.0,32.4,33.0,49.3
06/01/2016,18:00,45,2.1,12.5,0.7,32.0,,
06/01/2016,19:00,293,0.4,137.2,0.3,31.3,10.1,17.0
06/01/2016,20:00,285,0.8,41.0,0.5,30.7,27.0,39.7
06/01/2016,21:00,293,1.2,24.3,0.7,30.3,,
06/01/2016,22:00,299,0.8,34.2,0.5,29.7,35.3,51.8
06/01/2016,23:00,258,0.8,22.2,0.3,29.1,,
07/01/2016,00:00,252,0.4,54.8,0.3,28.8,14.2,18.4
07/01/2016,01:00,230,0.3,65.8,0.2,28.3,17.2,21.4
07/01/2016,02:00,194,1.2,9.9,0.2,27.4,12.4,15.5
07/01/2016,03:00,188,1.9,6.3,0.7,26.5,10.4,11.3
07/01/2016,04:00,191,1.6,8.3,0.4,26.3,8.8,10.1
07/01/2016,05:00,190,1.6,8.9,0.3,26.5,27.7,44.9
07/01/2016,06:00,188,1.7,9.4,0.6,27.0,25.8,44.6
07/01/2016,07:00,180,1.6,20.7,0.4,29.6,21.2,39.9
07/01/2016,08:00,90,1.3,37.3,0.4,31.8,76.3,146.5
07/01/2016,09:00,42,2.6,8.5,0.6,31.9,23.8,37.8
07/01/2016,10:00,,,,,,,
07/01/2016,11:00,42,5.1,7.4,0.9,30.6,,
07/01/2016,12:00,42,5.1,7.6,1.0,30.7,24.5,23.7
07/01/2016,13:00,38,6.2,7.2,1.1,30.8,16.0,17.2
07/01/2016,14:00,38,6.8,6.4,1.1,30.7,13.0,14.9
07/01/2016,15:00,35,6.0,6.8,1.1,31.0,21.8,29.2
07/01/2016,16:00,38,6.2,6.9,1.0,30.8,37.5,51.3
07/01/2016,17:00,39,6.2,6.9,1.0,30.3,44.1,59.1
07/01/2016,18:00,38,4.3,18.8,1.5,29.7,27.2,32.0
07/01/2016,19:00,34,3.5,12.0,0.9,29.3,16.8,15.7
07/01/2016,20:00,37,3.7,7.8,0.7,29.0,22.8,26.7
07/01/2016,21:00,35,2.2,31.9,1.3,28.9,,
07/01/2016,22:00,29,2.4,24.2,0.8,28.9,25.8,33.1
07/01/2016,23:00,35,2.4,15.3,0.8,28.7,15.8,16.0
08/01/2016,00:00,21,2.2,16.7,0.6,28.5,18.7,32.0
08/01/2016,01:00,9,2.2,12.2,0.6,28.3,13.8,13.4
08/01/2016,02:00,11,2.8,12.3,0.7,28.2,15.2,17.0
08/01/2016,03:00,8,2.5,11.3,0.8,28.1,9.9,8.1
08/01/2016,04:00,7,1.2,23.3,0.6,28.0,17.9,22.7
08/01/2016,05:00,101,0.6,61.5,0.5,27.8,22.8,27.7
08/01/2016,06:00,44,2.0,14.6,0.7,28.2,24.5,30.4
08/01/2016,07:00,43,3.0,9.0,0.6,29.4,18.4,22.5
08/01/2016,08:00,46,3.2,11.1,0.6,29.8,26.4,34.3
08/01/2016,09:00,41,3.5,9.4,0.6,30.2,29.8,38.9
08/01/2016,10:00,42,4.2,8.9,0.6,30.5,23.0,26.3
08/01/2016,11:00,42,4.4,8.1,0.7,30.3,26.9,36.5
08/01/2016,12:00,39,4.8,8.8,0.8,30.7,24.3,29.8
08/01/2016,13:00,39,5.0,9.0,1.0,31.0,26.8,32.3
08/01/2016,14:00,39,5.7,8.0,1.0,30.8,32.1,45.2
08/01/2016,15:00,39,5.6,9.0,1.0,30.8,15.5,19.7
08/01/2016,16:00,40,4.8,9.1,0.9,30.9,26.4,32.4
08/01/2016,17:00,42,4.9,10.0,1.0,30.1,24.7,26.2
08/01/2016,18:00,46,4.8,9.7,1.0,29.3,29.9,37.6
08/01/2016,19:00,47,4.8,9.7,0.8,29.1,27.5,34.1
08/01/2016,20:00,42,4.9,9.1,0.9,29.0,27.7,35.8
08/01/2016,21:00,31,4.0,13.3,1.3,29.1,25.5,30.2
08/01/2016,22:00,32,5.1,11.0,1.4,28.9,18.6,22.5
08/01/2016,23:00,34,4.4,13.8,1.3,28.9,16.0,16.7
09/01/2016,00:00,36,4.4,11.2,1.0,28.6,22.4,28.2
09/01/2016,01:00,40,4.5,8.4,0.9,28.5,16.9,17.1
09/01/2016,02:00,41,4.8,9.0,0.9,28.4,,
09/01/2016,03:00,38,4.7,10.6,0.9,28.2,22.9,27.0
09/01/2016,04:00,36,3.9,17.5,1.1,28.2,16.1,18.4
09/01/2016,05:00,40,3.9,13.5,0.9,28.2,15.2,17.5
09/01/2016,06:00,44,4.4,10.6,0.8,28.4,28.5,34.6
09/01/2016,07:00,40,4.7,11.5,0.8,29.1,21.2,26.0
09/01/2016,08:00,45,4.5,10.3,0.7,29.5,17.6,23.4
09/01/2016,09:00,42,4.2,12.1,0.7,29.9,20.6,25.4
09/01/2016,10:00,42,4.7,8.2,0.8,30.2,25.2,30.7
09/01/2016,11:00,39,4.9,11.0,0.8,30.1,18.0,23.8
09/01/2016,12:00,38,4.8,12.2,0.9,30.4,19.2,23.1
09/01/2016,13:00,41,5.5,8.5,0.8,30.4,13.4,16.7
09/01/2016,14:00,43,6.0,7.8,0.9,30.3,17.4,25.2
09/01/2016,15:00,43,5.8,8.8,0.9,30.1,18.6,23.1
09/01/2016,16:00,43,5.2,9.9,0.9,29.6,8.8,7.6
09/01/2016,17:00,43,5.7,8.4,0.9,29.3,32.7,45.6
09/01/2016,18:00,45,5.6,9.1,0.9,28.9,26.5,34.0
09/01/2016,19:00,45,5.1,8.3,0.9,28.6,26.4,34.9
09/01/2016,20:00,40,5.0,10.5,1.0,28.7,19.3,23.1
09/01/2016,21:00,37,4.6,15.9,1.0,28.5,17.7,25.2
09/01/2016,22:00,24,4.8,13.2,1.5,27.2,,
09/01/2016,23:00,17,3.5,15.0,1.1,28.1,22.9,32.9
10/01/2016,00:00,44,4.7,14.5,1.0,28.4,20.8,25.9
10/01/2016,01:00,112,2.5,41.0,1.2,26.3,,25.3
10/01/2016,02:00,201,1.2,47.8,1.0,25.0,9.2,
10/01/2016,03:00,202,1.0,69.2,1.0,25.5,,
10/01/2016,04:00,169,2.3,18.4,0.7,25.2,17.2,21.6
10/01/2016,05:00,166,2.4,24.7,0.7,25.1,13.0,14.4
10/01/2016,06:00,89,0.8,78.9,1.2,26.2,,26.1
10/01/2016,07:00,276,1.4,72.9,1.3,24.8,39.2,56.1
10/01/2016,08:00,7,1.9,172.3,1.6,24.9,25.1,28.8
10/01/2016,09:00,13,3.2,15.6,1.0,26.3,,
10/01/2016,10:00,37,3.3,19.5,0.9,28.1,,
10/01/2016,11:00,61,2.6,30.1,0.9,28.3,,
10/01/2016,12:00,60,3.7,29.0,1.5,28.4,,
10/01/2016,13:00,34,4.1,17.1,1.5,26.8,,
10/01/2016,14:00,16,1.8,20.2,0.6,28.1,,
10/01/2016,15:00,51,3.3,18.6,1.3,28.4,,
10/01/2016,16:00,62,3.9,13.7,1.0,27.2,,
10/01/2016,17:00,84,3.0,23.8,0.8,27.7,14.7,17.5
10/01/2016,18:00,67,2.7,17.3,0.9,27.5,19.1,23.1
10/01/2016,19:00,61,3.3,13.1,0.9,27.8,16.3,18.9
10/01/2016,20:00,50,4.4,10.5,0.8,28.0,22.6,27.2
10/01/2016,21:00,51,4.6,10.2,0.9,27.9,25.3,31.8
10/01/2016,22:00,54,4.6,10.7,0.8,27.8,20.7,25.3
10/01/2016,23:00,59,4.1,10.0,0.8,27.7,12.1,12.0
11/01/2016,00:00,62,4.4,11.0,0.9,27.5,12.2,13.4
11/01/2016,01:00,64,3.7,12.9,0.9,27.3,,
11/01/2016,02:00,65,3.6,12.8,0.9,27.2,,
11/01/2016,03:00,111,1.7,40.7,1.0,26.2,23.3,31.5
11/01/2016,04:00,122,2.0,32.2,1.0,25.9,22.2,29.2
11/01/2016,05:00,135,2.1,25.6,0.8,25.4,17.1,20.7
11/01/2016,06:00,154,2.2,20.5,0.8,25.7,17.9,21.1
11/01/2016,07:00,110,2.6,22.2,0.9,27.5,18.3,29.0
11/01/2016,08:00,88,3.4,19.1,0.8,28.2,10.8,7.8
11/01/2016,09:00,75,2.8,24.9,0.9,29.1,23.9,33.6
11/01/2016,10:00,54,3.6,12.6,0.9,29.4,27.2,40.6
11/01/2016,11:00,46,3.8,13.3,0.8,29.6,19.9,26.3
11/01/2016,12:00,41,4.6,10.1,0.8,29.5,22.6,37.2
11/01/2016,13:00,40,5.1,10.7,0.9,29.7,10.8,9.1
11/01/2016,14:00,37,4.7,10.4,0.9,30.0,22.9,32.0
11/01/2016,15:00,38,4.6,12.2,1.0,29.8,12.2,12.0
11/01/2016,16:00,28,3.6,14.5,1.0,29.9,17.5,21.9
11/01/2016,17:00,29,3.3,14.8,1.0,29.6,11.9,9.6
11/01/2016,18:00,27,2.6,15.9,0.9,28.7,21.3,26.8
11/01/2016,19:00,26,2.5,17.2,0.8,27.8,17.7,20.5
11/01/2016,20:00,31,2.2,17.0,0.7,27.7,18.8,23.6
11/01/2016,21:00,38,2.6,16.8,0.7,27.6,14.7,18.9
11/01/2016,22:00,42,2.9,13.6,0.8,27.6,16.2,20.8
11/01/2016,23:00,47,3.0,11.2,0.7,27.5,14.0,16.7
12/01/2016,00:00,44,2.8,12.4,0.8,27.3,13.7,16.6
12/01/2016,01:00,48,2.2,17.8,0.6,27.2,14.8,17.6
12/01/2016,02:00,41,1.9,16.2,0.6,27.1,14.3,16.9
12/01/2016,03:00,143,0.8,72.2,0.5,26.5,20.8,27.6
12/01/2016,04:00,175,1.6,10.9,0.3,25.5,14.0,15.5
12/01/2016,05:00,163,1.9,10.3,0.3,24.8,15.9,20.3
12/01/2016,06:00,159,1.8,12.9,0.4,25.4,18.0,21.9
12/01/2016,07:00,146,1.9,22.9,0.6,27.5,18.4,30.4
12/01/2016,08:00,112,2.2,28.8,0.8,28.4,19.1,27.8
12/01/2016,09:00,68,2.2,33.4,0.9,29.2,16.9,24.5
12/01/2016,10:00,81,2.8,29.0,1.0,29.7,,
12/01/2016,11:00,46,4.0,13.7,0.9,29.8,16.1,19.3
12/01/2016,12:00,42,4.6,8.9,0.9,29.8,22.7,28.9
12/01/2016,13:00,43,5.8,7.3,0.8,29.7,21.8,28.1
12/01/2016,14:00,43,6.7,6.2,0.9,30.2,16.8,23.0
12/01/2016,15:00,44,6.3,9.0,1.0,29.5,,
12/01/2016,16:00,47,5.8,10.2,1.0,29.7,15.3,21.2
12/01/2016,17:00,41,5.2,12.2,1.0,29.4,17.7,23.6
12/01/2016,18:00,44,5.0,8.4,0.9,28.7,18.2,21.2
12/01/2016,19:00,46,4.4,10.9,0.7,28.0,15.5,17.9
12/01/2016,20:00,49,3.7,10.8,0.8,27.8,18.2,23.3
12/01/2016,21:00,50,3.2,14.7,0.8,27.6,31.0,50.3
12/01/2016,22:00,61,2.6,17.0,0.8,27.4,32.2,63.0
12/01/2016,23:00,67,2.6,16.8,0.8,27.4,32.5,66.5
13/01/2016,00:00,71,2.4,18.2,0.7,27.2,31.6,58.2
13/01/2016,01:00,110,1.7,39.2,0.7,26.8,18.5,33.2
13/01/2016,02:00,162,1.9,14.3,0.4,25.4,11.6,15.6
13/01/2016,03:00,159,1.8,18.5,0.5,25.1,16.6,25.5
13/01/2016,04:00,182,2.1,9.0,0.5,24.8,15.2,23.7
13/01/2016,05:00,187,2.3,11.1,0.4,24.5,15.0,20.8
13/01/2016,06:00,185,3.1,9.8,0.6,24.1,16.5,20.1
13/01/2016,07:00,177,2.7,14.6,0.6,26.2,16.8,23.1
13/01/2016,08:00,141,2.3,32.5,0.7,27.9,15.2,23.4
13/01/2016,09:00,91,2.7,25.5,0.8,28.8,4.0,
13/01/2016,10:00,59,3.5,15.8,0.9,29.7,14.0,19.9
13/01/2016,11:00,48,3.8,12.3,0.7,29.7,6.9,8.8
13/01/2016,12:00,40,4.0,9.7,0.7,30.4,,
13/01/2016,13:00,41,5.0,7.6,0.9,30.2,18.5,24.8
13/01/2016,14:00,43,5.8,7.4,0.8,30.0,28.7,45.4
13/01/2016,15:00,44,5.7,7.8,0.8,29.8,13.1,22.7
13/01/2016,16:00,43,5.5,8.0,0.9,29.7,10.4,11.3
13/01/2016,17:00,47,5.4,8.2,0.8,29.3,21.9,29.7
