Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Carbon Monoxide (ppm)
01/01/2016,00:00,214,0.7,49.3,0.6,,,,
01/01/2016,01:00,224,0.4,54.5,0.3,0.006,0.008,0.013,0.2
01/01/2016,02:00,215,0.6,50.2,0.5,0.005,0.006,0.011,0.2
01/01/2016,03:00,264,0.4,62.4,0.3,0.007,0.005,0.011,0.2
01/01/2016,04:00,254,0.4,60.9,0.3,0.004,0.003,0.007,0.1
01/01/2016,05:00,279,0.3,61.7,0.3,0.009,0.006,0.014,0.2
01/01/2016,06:00,207,1.0,45.9,0.7,0.006,0.003,0.008,0.1
01/01/2016,07:00,192,1.7,35.8,0.9,0.002,0.000,0.002,0.1
01/01/2016,08:00,188,2.0,39.3,1.2,0.002,0.000,0.002,0.1
01/01/2016,09:00,183,2.0,33.1,1.1,0.003,0.000,0.003,0.2
01/01/2016,10:00,182,1.4,50.8,1.0,0.003,0.001,0.004,0.2
01/01/2016,11:00,184,1.0,61.4,0.9,0.005,0.001,0.006,0.1
01/01/2016,12:00,173,1.5,44.8,0.9,0.004,0.003,0.007,0.1
01/01/2016,13:00,190,0.7,88.4,0.8,0.004,0.003,0.007,0.0
01/01/2016,14:00,156,1.5,54.0,1.1,0.006,0.003,0.009,0.1
01/01/2016,15:00,125,2.8,31.0,1.2,0.008,0.003,0.011,0.1
01/01/2016,16:00,122,3.1,28.4,1.4,0.007,0.002,0.009,0.1
01/01/2016,17:00,118,2.3,29.1,1.1,0.007,0.005,0.011,0.1
01/01/2016,18:00,119,2.3,27.2,1.0,0.005,0.002,0.007,0.0
01/01/2016,19:00,119,1.5,37.0,0.8,0.007,0.005,0.012,0.1
01/01/2016,20:00,125,1.7,33.5,0.9,0.005,0.003,0.008,0.0
01/01/2016,21:00,142,1.2,39.1,0.8,0.005,0.005,0.009,0.1
01/01/2016,22:00,161,0.9,43.3,0.6,0.006,0.006,0.012,0.0
01/01/2016,23:00,216,0.6,47.8,0.4,0.001,0.004,0.005,0.0
02/01/2016,00:00,271,0.5,42.6,0.3,,,,
02/01/2016,01:00,264,0.3,59.0,0.2,0.002,0.006,0.008,0.2
02/01/2016,02:00,220,0.4,53.6,0.4,0.001,0.005,0.006,0.2
02/01/2016,03:00,225,0.5,44.5,0.3,0.002,0.003,0.005,0.2
02/01/2016,04:00,277,0.5,47.0,0.3,0.003,0.003,0.005,0.2
02/01/2016,05:00,259,0.5,45.6,0.3,0.006,0.003,0.009,0.2
02/01/2016,06:00,216,0.7,42.6,0.5,0.006,0.004,0.010,0.2
02/01/2016,07:00,190,1.4,41.5,0.8,0.006,0.002,0.007,0.3
02/01/2016,08:00,193,0.6,83.5,0.6,0.006,0.004,0.010,0.3
02/01/2016,09:00,297,0.2,87.5,0.5,0.009,0.007,0.016,0.3
02/01/2016,10:00,105,0.3,113.5,0.7,0.008,0.006,0.014,0.4
02/01/2016,11:00,55,0.8,66.7,0.8,0.007,0.008,0.015,0.4
02/01/2016,12:00,71,2.2,37.7,0.9,0.013,0.011,0.024,0.4
02/01/2016,13:00,82,2.7,32.2,1.0,0.009,0.005,0.014,0.4
02/01/2016,14:00,65,2.8,31.0,1.2,0.009,0.006,0.014,0.4
02/01/2016,15:00,74,2.7,31.3,1.2,0.009,0.005,0.014,0.4
02/01/2016,16:00,87,2.8,30.9,1.2,0.009,0.006,0.014,0.4
02/01/2016,17:00,96,2.3,30.9,0.9,0.010,0.006,0.016,0.4
02/01/2016,18:00,111,2.1,29.6,0.9,0.008,0.005,0.013,0.3
02/01/2016,19:00,111,1.9,28.5,0.8,0.008,0.004,0.011,0.3
02/01/2016,20:00,101,1.2,35.5,0.6,0.009,0.006,0.015,0.4
02/01/2016,21:00,114,1.1,29.4,0.5,0.009,0.006,0.015,0.3
02/01/2016,22:00,92,1.0,36.1,0.5,0.010,0.006,0.016,0.4
02/01/2016,23:00,149,1.1,37.8,0.7,0.005,0.004,0.009,0.3
03/01/2016,00:00,138,1.0,34.6,0.5,,,,
03/01/2016,01:00,164,0.9,48.0,0.5,0.002,0.002,0.004,0.1
03/01/2016,02:00,184,1.0,32.7,0.5,0.001,0.001,0.001,0.1
03/01/2016,03:00,191,1.0,29.2,0.5,0.001,0.000,0.001,0.1
03/01/2016,04:00,207,0.9,31.2,0.6,0.001,0.001,0.002,0.0
03/01/2016,05:00,214,0.8,30.2,0.4,0.001,0.001,0.002,0.1
03/01/2016,06:00,199,1.1,27.9,0.7,0.001,0.003,0.004,0.1
03/01/2016,07:00,211,0.7,48.7,0.6,0.004,0.003,0.007,0.1
03/01/2016,08:00,200,0.8,61.9,0.7,0.007,0.004,0.011,0.1
03/01/2016,09:00,136,0.7,63.9,0.6,0.016,0.009,0.025,0.3
03/01/2016,10:00,153,1.5,37.1,0.8,0.009,0.005,0.014,0.2
03/01/2016,11:00,109,1.6,42.3,0.8,0.009,0.006,0.015,0.3
03/01/2016,12:00,122,1.6,40.0,0.9,0.012,0.007,0.018,0.2
03/01/2016,13:00,101,1.7,36.0,0.9,0.012,0.006,0.018,0.3
03/01/2016,14:00,101,2.0,31.3,0.8,0.009,0.005,0.014,0.3
03/01/2016,15:00,112,2.0,34.1,0.9,0.009,0.006,0.015,0.3
03/01/2016,16:00,143,2.2,26.0,1.0,0.009,0.005,0.013,0.2
03/01/2016,17:00,150,2.4,25.1,1.1,0.008,0.005,0.013,0.2
03/01/2016,18:00,157,2.1,24.5,1.0,0.006,0.005,0.011,0.3
03/01/2016,19:00,174,1.3,39.9,0.8,0.004,0.006,0.009,0.2
03/01/2016,20:00,200,1.3,32.7,0.7,0.001,0.003,0.004,0.2
03/01/2016,21:00,201,1.7,26.6,0.8,0.001,0.001,0.002,0.2
03/01/2016,22:00,199,1.2,38.8,0.7,0.003,0.003,0.006,0.2
03/01/2016,23:00,181,0.7,59.0,0.6,0.002,0.003,0.005,0.2
04/01/2016,00:00,193,1.0,34.7,0.6,,,,
04/01/2016,01:00,223,0.6,45.7,0.4,0.001,0.002,0.003,0.1
04/01/2016,02:00,195,1.6,27.0,0.8,0.001,0.001,0.001,0.1
04/01/2016,03:00,207,0.7,48.0,0.5,0.001,0.001,0.002,0.1
04/01/2016,04:00,207,0.8,35.7,0.5,0.003,0.004,0.007,0.1
04/01/2016,05:00,201,0.7,42.5,0.4,0.014,0.007,0.021,0.2
04/01/2016,06:00,193,1.1,33.4,0.6,0.016,0.010,0.026,0.2
04/01/2016,07:00,193,1.6,23.5,0.7,0.014,0.008,0.021,0.2
04/01/2016,08:00,197,1.4,30.1,0.7,0.014,0.007,0.021,0.2
04/01/2016,09:00,191,1.3,41.9,0.8,0.015,0.008,0.022,0.2
04/01/2016,10:00,170,0.8,68.6,0.8,0.022,0.011,0.033,0.3
04/01/2016,11:00,122,0.9,53.5,0.7,0.030,0.018,0.048,0.5
04/01/2016,12:00,129,1.3,62.8,1.0,0.027,0.017,0.044,0.4
04/01/2016,13:00,328,0.4,48.1,0.3,0.020,0.014,0.033,0.4
04/01/2016,14:00,46,0.7,145.4,0.9,0.033,0.015,0.047,0.5
04/01/2016,15:00,50,2.1,29.8,0.9,0.034,0.016,0.049,0.5
04/01/2016,16:00,26,1.4,24.7,0.7,0.052,0.023,0.075,0.7
04/01/2016,17:00,27,0.8,172.4,0.5,0.057,0.023,0.079,0.9
04/01/2016,18:00,345,0.5,58.9,0.3,0.038,0.017,0.054,0.5
04/01/2016,19:00,318,0.2,75.8,0.3,0.016,0.014,0.030,0.4
04/01/2016,20:00,300,0.2,58.2,0.2,0.015,0.014,0.029,0.3
04/01/2016,21:00,303,0.2,57.5,0.3,0.012,0.011,0.023,0.3
04/01/2016,22:00,261,0.2,51.9,0.2,0.010,0.009,0.019,0.3
04/01/2016,23:00,209,0.4,32.9,0.3,0.005,0.008,0.013,0.2
05/01/2016,00:00,207,0.8,28.1,0.4,,,,
05/01/2016,01:00,249,0.4,41.0,0.3,0.001,0.005,0.006,0.2
05/01/2016,02:00,186,0.7,44.4,0.5,0.002,0.005,0.007,0.2
05/01/2016,03:00,130,1.1,31.2,0.6,0.003,0.003,0.006,0.1
05/01/2016,04:00,184,0.5,51.6,0.4,0.005,0.003,0.008,0.2
05/01/2016,05:00,150,0.2,98.1,0.5,0.026,0.008,0.033,0.3
05/01/2016,06:00,17,0.2,123.6,0.3,0.055,0.015,0.070,0.5
05/01/2016,07:00,93,1.5,30.9,0.7,0.061,0.023,0.084,0.5
05/01/2016,08:00,87,1.3,29.7,0.6,0.059,0.021,0.080,0.5
05/01/2016,09:00,105,1.8,29.8,0.9,0.032,0.015,0.046,0.3
05/01/2016,10:00,105,1.8,30.7,0.9,0.038,0.014,0.052,0.4
05/01/2016,11:00,135,1.3,42.8,0.7,0.034,0.014,0.048,0.3
05/01/2016,12:00,131,1.3,39.0,0.7,0.037,0.014,0.051,0.4
05/01/2016,13:00,115,1.0,49.5,0.6,0.039,0.014,0.053,0.4
05/01/2016,14:00,41,1.2,32.1,0.5,0.052,0.017,0.069,0.5
05/01/2016,15:00,89,0.9,35.7,0.4,0.068,0.023,0.090,0.8
05/01/2016,16:00,80,1.4,25.8,0.7,0.059,0.020,0.079,0.7
05/01/2016,17:00,64,2.0,22.0,0.7,0.040,0.017,0.057,0.6
05/01/2016,18:00,56,1.0,61.2,0.7,0.026,0.015,0.041,0.5
05/01/2016,19:00,148,0.3,74.6,0.4,0.020,0.011,0.031,0.4
05/01/2016,20:00,255,0.3,54.9,0.2,0.011,0.011,0.022,0.4
05/01/2016,21:00,268,0.5,41.6,0.3,0.007,0.009,0.015,0.3
05/01/2016,22:00,262,0.5,41.9,0.2,0.010,0.009,0.019,0.2
05/01/2016,23:00,268,0.4,52.0,0.3,0.009,0.007,0.016,0.3
06/01/2016,00:00,235,0.6,51.0,0.4,,,,
06/01/2016,01:00,205,0.4,60.9,0.4,0.004,0.003,0.007,0.2
06/01/2016,02:00,115,0.5,71.0,0.5,0.005,0.004,0.009,0.1
06/01/2016,03:00,249,0.3,67.5,0.3,0.003,0.004,0.007,0.1
06/01/2016,04:00,178,0.3,81.4,0.3,0.011,0.009,0.020,0.2
06/01/2016,05:00,276,0.4,38.3,0.2,0.012,0.007,0.019,0.2
06/01/2016,06:00,281,0.6,42.1,0.3,0.019,0.007,0.026,0.3
06/01/2016,07:00,279,0.5,58.2,0.5,0.020,0.011,0.031,0.9
06/01/2016,08:00,271,0.7,55.2,0.6,0.016,0.010,0.026,0.4
06/01/2016,09:00,270,0.4,76.3,0.6,0.019,0.011,0.030,0.3
06/01/2016,10:00,272,0.5,72.7,0.7,0.014,0.011,0.025,0.3
06/01/2016,11:00,287,0.5,72.4,0.5,0.016,0.014,0.030,0.3
06/01/2016,12:00,276,0.6,71.1,0.6,0.014,0.012,0.025,0.3
06/01/2016,13:00,283,0.6,73.8,0.7,0.013,0.011,0.024,0.3
06/01/2016,14:00,280,0.4,83.7,0.6,0.015,0.015,0.029,0.5
06/01/2016,15:00,287,0.5,74.4,0.6,0.027,0.018,0.045,0.6
