Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3)
01/01/2016,00:00,203,2.0,16.4,19.7,69.6,0.0,1010,0.000,0.002,0.002,0.000,12.1,1.8
01/01/2016,01:00,210,2.2,11.1,19.5,69.8,0.0,1009,,,,,12.6,2.3
01/01/2016,02:00,219,2.6,12.6,19.4,66.8,0.0,1009,0.000,0.005,0.005,0.000,11.9,4.8
01/01/2016,03:00,212,2.8,9.6,18.8,69.7,0.0,1009,0.000,0.004,0.004,0.000,10.8,2.6
01/01/2016,04:00,209,3.0,11.6,18.6,71.0,0.0,1009,0.000,0.004,0.004,0.000,12.4,2.4
01/01/2016,05:00,213,2.8,12.6,19.1,70.4,0.0,1009,0.001,0.003,0.004,0.000,14.6,4.3
01/01/2016,06:00,201,2.8,13.8,20.8,64.5,0.0,1010,0.001,0.002,0.003,0.000,18.2,6.5
01/01/2016,07:00,180,3.0,19.4,22.6,58.9,0.0,1010,0.001,0.001,0.002,0.000,16.4,4.2
01/01/2016,08:00,163,3.0,24.6,24.2,53.2,0.0,1010,0.000,0.001,0.001,0.000,,
01/01/2016,09:00,155,3.4,26.3,25.1,48.0,0.0,1010,0.001,0.001,0.001,0.000,,
01/01/2016,10:00,133,2.5,29.5,25.7,45.6,0.0,1010,0.001,0.001,0.002,0.000,17.6,4.3
01/01/2016,11:00,95,3.6,22.1,26.2,48.0,0.0,1009,0.001,0.001,0.001,0.000,25.8,3.5
01/01/2016,12:00,94,4.7,15.5,25.6,55.8,0.0,1008,0.000,0.001,0.001,0.000,25.2,2.4
01/01/2016,13:00,94,5.4,13.7,25.6,57.8,0.0,1007,0.000,0.001,0.001,0.000,25.4,5.9
01/01/2016,14:00,98,6.0,13.1,25.7,56.2,0.0,1007,0.001,0.001,0.001,0.000,20.7,3.1
01/01/2016,15:00,101,5.9,14.5,25.5,55.0,0.0,1007,0.000,0.001,0.001,0.000,19.6,3.5
01/01/2016,16:00,104,5.5,14.3,25.1,53.9,0.0,1006,0.000,0.001,0.001,0.000,19.2,3.1
01/01/2016,17:00,108,4.5,18.0,24.4,56.0,0.0,1007,0.000,0.001,0.001,0.000,21.8,3.6
01/01/2016,18:00,119,2.8,25.6,23.7,55.5,0.0,1008,0.000,0.001,0.001,0.000,17.5,3.2
01/01/2016,19:00,122,2.4,26.8,22.9,58.0,0.0,1008,0.000,0.001,0.001,0.000,22.1,4.8
