Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3)
01/01/2016,00:00,202,2.4,15.4,20.4,66.8,0.0,1013,0.000,12.0,1.2
01/01/2016,01:00,203,1.6,17.8,20.3,67.0,0.0,1012,0.000,13.0,2.4
01/01/2016,02:00,220,2.0,23.2,20.1,64.4,0.0,1011,,12.1,3.5
01/01/2016,03:00,203,1.6,25.4,19.5,68.0,0.0,1011,0.000,12.0,3.1
01/01/2016,04:00,201,2.3,18.1,19.2,69.0,0.0,1012,0.000,12.4,3.0
01/01/2016,05:00,204,2.2,25.0,19.8,67.9,0.0,1012,0.000,17.1,3.4
01/01/2016,06:00,197,2.4,21.7,21.7,60.8,0.0,1012,0.000,19.4,4.3
01/01/2016,07:00,171,3.0,22.5,23.5,54.8,0.0,1012,0.000,16.9,3.7
01/01/2016,08:00,171,3.8,23.8,25.2,49.3,0.0,1012,0.000,16.0,2.4
01/01/2016,09:00,157,3.4,28.3,26.7,43.5,0.0,1012,0.000,16.4,2.5
01/01/2016,10:00,138,3.0,29.7,26.7,41.9,0.0,1012,0.000,16.7,2.6
01/01/2016,11:00,128,2.6,33.0,27.5,41.9,0.0,1011,0.000,18.8,1.7
01/01/2016,12:00,103,2.5,34.1,28.1,42.6,0.0,1010,0.000,18.7,1.4
01/01/2016,13:00,102,4.7,19.2,26.9,53.1,0.0,1009,0.000,25.5,3.5
01/01/2016,14:00,106,5.3,24.2,27.1,50.6,0.0,1009,0.000,22.4,2.3
01/01/2016,15:00,107,4.9,20.9,27.2,47.6,0.0,1009,0.000,20.5,3.7
01/01/2016,16:00,113,5.0,24.5,26.6,48.0,0.0,1008,0.000,21.4,3.2
01/01/2016,17:00,126,3.6,26.9,25.8,50.5,0.0,1009,0.000,20.9,3.7
01/01/2016,18:00,127,2.1,32.4,24.4,52.8,0.0,1010,0.000,19.9,3.5
01/01/2016,19:00,126,2.0,32.7,23.3,57.0,0.0,1010,0.000,21.1,4.5
01/01/2016,20:00,138,2.0,29.5,22.9,59.2,0.0,1011,0.000,20.0,3.8
01/01/2016,21:00,151,1.6,25.8,22.3,61.8,0.0,1011,0.000,19.8,3.4
01/01/2016,22:00,153,2.0,23.8,21.5,64.2,0.0,1011,0.000,19.1,3.4
01/01/2016,23:00,202,1.9,18.7,20.9,64.2,0.0,1011,0.000,15.0,1.3
02/01/2016,00:00,212,1.9,12.3,20.1,67.1,0.0,1010,0.000,15.0,1.9
02/01/2016,01:00,232,1.2,24.8,19.5,70.0,0.0,1010,0.000,14.6,1.7
02/01/2016,02:00,214,1.3,15.7,18.8,71.7,0.0,1009,,12.6,2.1
02/01/2016,03:00,208,1.7,13.8,18.2,73.8,0.0,1009,0.000,14.0,3.5
02/01/2016,04:00,212,1.6,18.6,17.9,76.3,0.0,1010,0.000,16.8,5.9
02/01/2016,05:00,212,1.3,30.9,18.3,75.5,0.0,1010,0.000,18.0,3.6
